1,u'coffee ice', u'coffee'
1,u'soave wine', u'soave', u'wine'
1,u'spaghetti pasta', u'spaghetti', u'pasta'
1,u'beet juice', u'beet', u'juice'
1,u'citrus liqueur', u'citrus', u'liqueur'
1,u'pepper oil', u'pepper', u'oil'
1,u'almond toffee', u'almond', u'toffee'
1,u'linguine pasta', u'linguine', u'pasta'
1,u'pork shoulder', u'pork', u'shoulder'
1,u'bacon dripping', u'bacon'
1,u'champagne wine', u'champagne', u'wine'
1,u'chocolate wafer', u'chocolate', u'wafer'
1,u'veal shoulder', u'veal', u'shoulder'
1,u'dinner roll', u'dinner'
1,u'chocolate sandwich', u'chocolate', u'sandwich'
1,u'spinach lasagne', u'spinach', u'lasagne'
1,u'garlic green', u'garlic'
1,u'beef schnitzel', u'beef', u'schnitzel'
1,u'fig jam', u'fig'
1,u'wasabi paste', u'wasabi', u'paste'
1,u'basil fettuccine', u'basil', u'fettuccine'
1,u'venison shoulder', u'venison', u'shoulder'
1,u'lemon liqueur', u'lemon', u'liqueur'
1,u'fennel sprout', u'fennel', u'sprout'
1,u'celery cress', u'celery', u'cress'
1,u'anchovy puree', u'anchovy', u'puree'
1,u'corn schnapps', u'corn', u'schnapps'
1,u'gravy beef', u'gravy', u'beef'
1,u'jack cheese', 'cheese'
1,u'buckwheat honey', u'buckwheat', u'honey'
1,u'chardonnay vinegar', u'chardonnay', u'vinegar'
1,u'chocolate liqueur', u'chocolate', u'liqueur'
1,u'curry paste', u'curry', u'paste'
1,u'tangerine juice', u'tangerine', u'juice'
1,u'buffalo mozzarella', u'buffalo', u'mozzarella'
1,u'pork rib', u'pork', u'rib'
1,u'lamb liver', u'lamb', u'liver'
1,u'meat gravy', u'meat', u'gravy'
1,u'spinach ravioli', u'spinach', u'ravioli'
1,u'salmon caviar', u'salmon', u'caviar'
1,u'rice cracker', u'rice', u'cracker'
1,u'clam juice', u'clam', u'juice'
1,u'fennel salami', u'fennel', u'salami'
1,u'green grape', u'grape'
1,u'apple cider', u'apple', u'cider'
1,u'lamb loin', u'lamb', u'loin'
1,u'chocolate drink', u'chocolate'
1,u'penne pasta', u'penne', u'pasta'
1,u'duck heart', u'duck'
1,u'medium sherry', u'sherry'
1,u'buffalo ricotta', u'buffalo', u'ricotta'
1,u'salad mix', u'salad', u'mix'
1,u'sage honey', u'sage', u'honey'
1,u'mushroom soup', u'mushroom', u'soup'
1,u'swordfish fillet', u'swordfish', u'fillet'
1,u'pork liver', u'pork', u'liver'
1,u'pumpkin ravioli', u'pumpkin', u'ravioli'
1,u'peach jell-o', u'peach', u'jell-o'
1,u'pomegranate molasses', u'pomegranate', u'molasses'
1,u'gingersnap cooky', u'gingersnap', u'cooky'
1,u'fish stock', u'fish'
1,u'wheat penne', u'wheat', u'penne'
1,u'beef rib', u'beef', u'rib'
1,u'tart cherry', u'tart', u'cherry'
1,u'grape tomato', u'grape', u'tomato'
1,u'quahog clam', u'quahog', u'clam'
1,u'pistachio paste', u'pistachio', u'paste'
1,u'hazelnut wafer', u'hazelnut', u'wafer'
1,u'brie cheese', u'brie', u'cheese'
1,u'veal demiglace', u'veal', u'demiglace'
1,u'horseradish cream', u'horseradish', u'cream'
1,u'rigatoni pasta', u'rigatoni', u'pasta'
1,u'cherry jam', u'cherry'
1,u'chocolate caramel', u'chocolate', u'caramel'
1,u'green mango', u'mango'
1,u'spinach tagliatelle', u'spinach', u'tagliatelle'
1,u'prune plum', u'prune', u'plum'
1,u'meatloaf mix', u'meatloaf', u'mix'
1,u'sugar pumpkin', u'sugar', u'pumpkin'
1,u'wheat cracker', u'wheat', u'cracker'
1,u'green prawn', u'prawn'
1,u'wheat macaroni', u'wheat', u'macaroni'
1,u'lamb shoulder', u'lamb', u'shoulder'
1,u'rice penne', u'rice', u'penne'
1,u'vanilla paste', u'vanilla', u'paste'
1,u'bread starter', u'bread', u'starter'
1,u'vegetable bouillon', u'vegetable', u'bouillon'
1,u'marsala wine', u'marsala', u'wine'
1,u'hazelnut oil', u'hazelnut', u'oil'
1,u'bean paste', u'bean', u'paste'
1,u'cherry pie', u'cherry', u'pie'
1,u'rabbit liver', u'rabbit', u'liver'
1,u'pork leg', u'pork', u'leg'
1,u'spinach pasta', u'spinach', u'pasta'
1,u'merlot wine', u'merlot', u'wine'
1,u'roast chicken', u'roast', u'chicken'
1,u'peanut potato', u'peanut', u'potato'
1,u'sorghum flour', u'sorghum', u'flour'
1,u'tapioca flour', u'tapioca', u'flour'
1,u'bread mix', u'bread', u'mix'
1,u'banana pepper', u'banana', u'pepper'
1,u'veal scallop', u'veal', u'scallop'
1,u'venison tenderloin', u'venison', u'tenderloin'
1,u'sugar plum', u'sugar', u'plum'
1,u'sweet onion', u'sweet', u'onion'
1,u'praline candy', u'praline', u'candy'
1,u'spaghettini pasta', u'spaghettini', u'pasta'
1,u'vegetable broth', u'vegetable', u'broth'
1,u'sesame cracker', u'sesame', u'cracker'
1,u'lamb tongue', u'lamb'
1,u'pistachio oil', u'pistachio', u'oil'
1,u'rock sugar', u'sugar'
1,u'mustard syrup', u'mustard', u'syrup'
1,u'quince paste', u'quince', u'paste'
1,u'cheese ravioli', u'cheese', u'ravioli'
1,u'vinegar pepper', u'vinegar', u'pepper'
1,u'sweet sherry', u'sweet', u'sherry'
