1,u'coffee ice', u'coffee'
1,u'tamarind paste', u'tamarind', u'paste'
1,u'spaghetti pasta', u'spaghetti', u'pasta'
1,u'coral mushroom', u'coral', u'mushroom'
1,u'linguine pasta', u'linguine', u'pasta'
1,u'pork shoulder', u'pork', u'shoulder'
1,u'bacon dripping', u'bacon'
1,u'champagne wine', u'champagne', u'wine'
1,u'chocolate wafer', u'chocolate', u'wafer'
1,u'vegetable broth', u'vegetable', u'broth'
1,u'coconut ice', u'coconut'
1,u'garlic vinegar', u'garlic', u'vinegar'
1,u'jack cheese', 'cheese'
1,u'chocolate liqueur', u'chocolate', u'liqueur'
1,u'curry paste', u'curry', u'paste'
1,u'tangerine juice', u'tangerine', u'juice'
1,u'pork rib', u'pork', u'rib'
1,u'meat gravy', u'meat', u'gravy'
1,u'buffalo sausage', u'buffalo', u'sausage'
1,u'clam juice', u'clam', u'juice'
1,u'green grape', u'grape'
1,u'apple cider', u'apple', u'cider'
1,u'lamb loin', u'lamb', u'loin'
1,u'mustard pickle', u'mustard', u'pickle'
1,u'veal rib', u'veal', u'rib'
1,u'penne pasta', u'penne', u'pasta'
1,u'salad mix', u'salad', u'mix'
1,u'mushroom soup', u'mushroom', u'soup'
1,u'pork liver', u'pork', u'liver'
1,u'pomegranate molasses', u'pomegranate', u'molasses'
1,u'gingersnap cooky', u'gingersnap', u'cooky'
1,u'fish stock', u'fish'
1,u'wheat penne', u'wheat', u'penne'
1,u'beef rib', u'beef', u'rib'
1,u'garlic chile', u'garlic', u'chile'
1,u'guava paste', u'guava', u'paste'
1,u'grape tomato', u'grape', u'tomato'
1,u'brie cheese', u'brie', u'cheese'
1,u'rigatoni pasta', u'rigatoni', u'pasta'
1,u'cherry jam', u'cherry'
1,u'green mango', u'mango'
1,u'sugar pumpkin', u'sugar', u'pumpkin'
1,u'vanilla paste', u'vanilla', u'paste'
1,u'marsala wine', u'marsala', u'wine'
1,u'hazelnut oil', u'hazelnut', u'oil'
1,u'pork leg', u'pork', u'leg'
1,u'torpedo onion', u'onion'
1,u'merlot wine', u'merlot', u'wine'
1,u'roast chicken', u'roast', u'chicken'
1,u'tomatillo sauce', u'tomatillo', u'sauce'
1,u'whiskey fennel', u'whiskey', u'fennel'
1,u'anjou pear', u'anjou', u'pear'
1,u'sweet onion', u'sweet', u'onion'
1,u'peach bitter', u'peach'
1,u'zinfandel wine', u'zinfandel', u'wine'
1,u'pepper vodka', u'pepper', u'vodka'
1,u'guava juice', u'guava', u'juice'
1,u'pekoe tea', u'pekoe', u'tea'
1,u'quince paste', u'quince', u'paste'
1,u'rice cereal', u'rice', u'cereal'
1,u'sweet sherry', u'sweet', u'sherry'
1,u'salmon caviar', u'salmon', u'caviar'
1,u'beef marrow', u'beef', u'marrow'
1,u'pork broth', u'pork', u'broth'
1,u'anise water', u'anise'
1,u'kosher salt', u'kosher', u'salt'
1,u'fish sauce', u'fish', u'sauce'
1,u'tuna loin', u'tuna', u'loin'
1,u'pickle juice', u'pickle', u'juice'
1,u'lamb rib', u'lamb', u'rib'
1,u'veal stock', u'veal'
1,u'sage sausage', u'sage', u'sausage'
1,u'tamale flour', u'tamale', u'flour'
1,u'green chilli', u'chilli'
1,u'orange bitter', u'orange'
1,u'buffalo shoulder', u'buffalo', u'shoulder'
1,u'rioja wine', u'rioja', u'wine'
1,u'phyllo pastry', u'phyllo', u'pastry'
1,u'catfish fillet', u'catfish', u'fillet'
1,u'walnut meal', u'walnut', u'meal'
1,u'beef heart', u'beef'
1,u'vanilla sugar', u'vanilla', u'sugar'
1,u'cod roe', u'cod', u'roe'
1,u'pecan ice', u'pecan'
1,u'chile honey', u'chile', u'honey'
1,u'beef sausage', u'beef', u'sausage'
1,u'mate tea', u'tea'
1,u'sour mix', u'mix'
1,u'duck leg', u'duck', u'leg'
1,u'raspberry jam', u'raspberry'
1,u'chile puree', u'chile', u'puree'
1,u'blackberry liqueur', u'blackberry', u'liqueur'
1,u'pear syrup', u'pear', u'syrup'
1,u'green squash', u'squash'
1,u'green plantain', u'plantain'
1,u'lobster mushroom', u'lobster', u'mushroom'
1,u'pretzel cracker', u'pretzel', u'cracker'
1,u'medium grain', u'grain'
1,u'drink mix', u'mix'
1,u'peach schnapps', u'peach', u'schnapps'
1,u'corn cereal', u'corn', u'cereal'
1,u'chile oil', u'chile', u'oil'
1,u'vanilla wafer', u'vanilla', u'wafer'
1,u'apricot jam', u'apricot'
1,u'grain rice', u'grain', u'rice'
1,u'parmesan cheese', u'parmesan', u'cheese'
1,u'pork tripe', u'pork', u'tripe'
1,u'vegetable juice', u'vegetable', u'juice'
1,u'lamb shoulder', u'lamb', u'shoulder'
1,u'sweet paprika', u'sweet', u'paprika'
1,u'fettuccine pasta', u'fettuccine', u'pasta'
1,u'cabbage mix', u'cabbage', u'mix'
1,u'pear tomato', u'pear', u'tomato'
1,u'veal tongue', u'veal'
1,u'rhubarb syrup', u'rhubarb', u'syrup'
1,u'hamburger patty', u'hamburger', u'patty'
1,u'green papaya', u'papaya'
1,u'vanilla syrup', u'vanilla', u'syrup'
1,u'blackberry jam', u'blackberry'
1,u'lemon pepper', u'lemon', u'pepper'
1,u'bean sauce', u'bean', u'sauce'
1,u'cheese soup', u'cheese', u'soup'
1,u'pork sparerib', u'pork', u'sparerib'
1,u'lasagne pasta', u'lasagne', u'pasta'
1,u'vegetable stock', u'vegetable'
1,u'meat dripping', u'meat'
1,u'amaranth grain', u'amaranth', u'grain'
1,u'orange pepper', u'orange', u'pepper'
1,u'pineapple vinegar', u'pineapple', u'vinegar'
1,u'lemonade concentrate', u'lemonade'
1,u'malt vinegar', u'malt', u'vinegar'
1,u'champagne vinegar', u'champagne', u'vinegar'
1,u'amaranth flour', u'amaranth', u'flour'
1,u'green coconut', u'coconut'
1,u'celery heart', u'celery'
1,u'adobo sauce', u'adobo', u'sauce'
1,u'cinnamon oil', u'cinnamon', u'oil'
1,u'fennel sausage', u'fennel', u'sausage'
1,u'lime oil', u'lime', u'oil'
1,u'loin chop', u'loin'
1,u'muenster cheese', u'muenster', u'cheese'
1,u'chorizo sausage', u'chorizo', u'sausage'
1,u'game hen', u'hen'
1,u'pancake mix', u'pancake', u'mix'
1,u'beef rump', u'beef', u'rump'
1,u'cornbread mix', u'cornbread', u'mix'
1,u'chile dip', u'chile'
1,u'roast turkey', u'roast', u'turkey'
1,u'seltzer water', u'seltzer'
1,u'manicotti pasta', u'manicotti', u'pasta'
1,u'green mole', u'mole'
1,u'green cilantro', u'cilantro'
1,u'green lentil', u'lentil'
1,u'pear nectar', u'pear', u'nectar'
1,u'madeira wine', u'madeira', u'wine'
1,u'sweet chocolate', u'sweet', u'chocolate'
1,u'turkey broth', u'turkey', u'broth'
1,u'velveeta cheese', u'velveeta', u'cheese'
1,u'rice wafer', u'rice', u'wafer'
