node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
orange_peel,14,0.042042042042,0.466858960512,-4.36262860645,-1.84496642308,5.55794234831e+28,81.9285714286,0.813186813187
peanut_oil,143,0.429429429429,0.634105369738,-1.61728624704,-0.907146835714,4.17405814367e+30,62.951048951,0.312419974392
safflower,10,0.03003003003,0.468179636496,0,-1.87858168363,4.76078122303e+28,110.0,1.0
fennel_seed,35,0.105105105105,0.519627948199,-4.01546948434,-1.30560248205,6.66250916063e+29,113.485714286,0.831932773109
kale,16,0.048048048048,0.490374819264,-3.77681697818,-1.67726348298,1.20312677824e+29,114.875,0.791666666667
romaine_lettuce,12,0.036036036036,0.471514249292,0,-1.80913662808,6.55495194862e+28,107.416666667,1.0
mackerel,9,0.027027027027,0.46489185815,0,-1.88791432032,4.56048829655e+28,122.333333333,1.0
orange_juice,46,0.138138138138,0.526236888717,-3.5731353812,-1.23868481806,9.06724494202e+29,98.4782608696,0.707246376812
coriander_seed,189,0.567567567568,0.69538446009,-1.45605684123,-0.817873161342,6.29663290026e+30,57.0846560847,0.25593830913
cider_vinegar,16,0.048048048048,0.488205019178,-4.75843024552,-1.63404638285,1.46806902677e+29,123.5625,0.85
squab,4,0.012012012012,0.457186468236,0,-2.13816649057,1.44045968393e+28,166.5,1.0
garbanzo,44,0.132132132132,0.527074845546,-3.63381494988,-1.23444650359,9.24593413226e+29,106.090909091,0.749471458774
cherry tomato,22,0.0660660660661,0.500004536258,-4.75144229448,-1.51396665997,2.55216156839e+29,115.318181818,0.930735930736
wine,12,0.036036036036,0.454050758578,-4.89045997591,-1.8861800168,4.59713253175e+28,86.6666666667,0.878787878788
cumin_seed,143,0.429429429429,0.631685120235,-1.93826584722,-0.879698369768,4.73647679834e+30,67.034965035,0.351029252438
chicken,103,0.309309309309,0.583779546743,-2.25867968108,-0.965130877084,3.19585348438e+30,79.5922330097,0.471159337521
milk,52,0.156156156156,0.526236888717,-2.04308574481,-1.31267980241,6.44891988832e+29,73.8461538462,0.426847662142
caper,13,0.039039039039,0.479714497106,0,-1.72898603772,9.48128489184e+28,123.076923077,1.0
pimiento,122,0.366366366366,0.605124319932,-1.93273794032,-0.932636538247,3.71174639499e+30,70.262295082,0.38436526216
berry,34,0.102102102102,0.506120799699,-3.33718552814,-1.39278432446,4.45937744654e+29,96.6764705882,0.67201426025
grape,15,0.045045045045,0.455927001382,0,-1.81590667066,6.35383776755e+28,75.8666666667,1.0
ham,21,0.0630630630631,0.491102378343,-3.83995089094,-1.61357319538,1.61323376489e+29,95.2857142857,0.785714285714
saffron,53,0.159159159159,0.539092838767,-3.03965530843,-1.17234725588,1.2306905351e+30,102.075471698,0.66908563135
cherry,21,0.0630630630631,0.486769122063,0,-1.62698805335,1.51658300664e+29,94.0952380952,1.0
sunflower_oil,9,0.027027027027,0.475579027303,0,-1.87359640615,4.87132264467e+28,128.222222222,1.0
avocado,62,0.186186186186,0.54085458007,-2.28663909535,-1.17550765541,1.21291088247e+30,85.8387096774,0.494447382337
walnut,37,0.111111111111,0.514779164857,-3.00584744672,-1.38871413086,4.54375063641e+29,91.4054054054,0.566066066066
celery,37,0.111111111111,0.513182950392,-3.15517463275,-1.37868005138,4.7586596148e+29,90.9459459459,0.585585585586
tomato_paste,83,0.249249249249,0.564851540961,-2.46876492743,-1.04754934463,2.18649459211e+30,83.3855421687,0.507493388187
grapefruit,39,0.117117117117,0.518813484331,-2.96318489348,-1.32135647643,6.19627448857e+29,99.1794871795,0.685560053981
fig,26,0.0780780780781,0.492563992564,-4.11012823205,-1.55192124871,2.14289404227e+29,89.1923076923,0.843076923077
ghee,4,0.012012012012,0.448513554205,0,-2.26369173586,8.08073991428e+27,125.75,1.0
melon,15,0.045045045045,0.455927001382,0,-1.81590667066,6.35383776755e+28,75.8666666667,1.0
black_olive,31,0.0930930930931,0.509235389235,-2.53966759141,-1.39949121247,4.32373236809e+29,105.709677419,0.716129032258
rice,85,0.255255255255,0.567758152664,-2.45284785618,-1.03070646804,2.36284272378e+30,83.6470588235,0.513165266106
sauce,6,0.018018018018,0.449732341037,0,-2.15485096006,1.33395742343e+28,96.5,1.0
peppercorn,109,0.327327327327,0.59213417353,-2.10467751391,-0.964874288556,3.1996373681e+30,74.5779816514,0.424396873938
ingredient,144,0.432432432432,0.635322462578,-1.33896322481,-0.934665679092,3.67722869597e+30,59.2222222222,0.269230769231
coffee,37,0.111111111111,0.521264571658,-3.83328517909,-1.2964259763,6.95007490718e+29,112.324324324,0.804804804805
anchovy,26,0.0780780780781,0.502280732933,-4.15132892819,-1.45711177441,3.31603536008e+29,108.692307692,0.796923076923
pistachio_nut,22,0.0660660660661,0.496256376316,-3.43281740628,-1.56573118635,2.01084715484e+29,101.727272727,0.692640692641
jerk,15,0.045045045045,0.455927001382,0,-1.81590667066,6.35383776755e+28,75.8666666667,1.0
fruit_juice,4,0.012012012012,0.380901039129,0,-2.6393700546,1.43255108008e+27,44.0,1.0
flour,93,0.279279279279,0.575657396527,-1.68113644972,-1.09353772207,1.76917921615e+30,67.6666666667,0.353903693315
bok_choy,8,0.024024024024,0.473537915598,0,-1.94161829929,3.56124896178e+28,126.125,1.0
lard,36,0.108108108108,0.511596604332,-2.96112390078,-1.42283334716,3.88308232176e+29,87.3055555556,0.604761904762
foie_gras,29,0.0870870870871,0.497748876696,-3.64299173385,-1.51212043542,2.57397007302e+29,86.1724137931,0.795566502463
snow_pea,6,0.018018018018,0.447906634645,0,-2.14610488585,1.38878104087e+28,98.6666666667,1.0
vegetable,12,0.036036036036,0.478328039022,-3.52244482085,-1.81270309006,6.44808126665e+28,114.666666667,0.681818181818
bean,58,0.174174174174,0.538216265046,-2.48920881104,-1.19565648382,1.1054316865e+30,87.6379310345,0.5444646098
molasses,5,0.015015015015,0.455927001382,0,-2.14674914726,1.38465274205e+28,126.0,1.0
watermelon,22,0.0660660660661,0.496256376316,-4.19888155986,-1.56322432073,2.03420892902e+29,99.6363636364,0.835497835498
peanut_butter,31,0.0930930930931,0.507673317489,-3.92564745207,-1.3931157472,4.45258822579e+29,105.35483871,0.812903225806
ginger_beer,1,0.003003003003,0.325150297645,0,-3.64766755334,1.3789591511e+25,12.0,0.0
plantain,57,0.171171171171,0.539092838767,-2.72035887193,-1.17955489081,1.19051720176e+30,91.1403508772,0.573308270677
applejack,6,0.018018018018,0.409150807173,0,-2.20434493277,1.06209569958e+28,74.1666666667,1.0
bean_sprout,10,0.03003003003,0.47084353201,0,-1.84362870569,5.59222479994e+28,117.4,1.0
white_wine,32,0.0960960960961,0.506120799699,-3.42547610723,-1.40265316416,4.26122342748e+29,103.34375,0.715725806452
mayonnaise,8,0.024024024024,0.434387143049,-4.55639637661,-2.13940524554,1.43231668565e+28,69.625,0.607142857143
marrow,12,0.036036036036,0.477637810971,0,-1.78887048233,7.1961158722e+28,118.083333333,1.0
clam,32,0.0960960960961,0.510020035444,-3.70922122556,-1.40051575368,4.30341104643e+29,100.15625,0.725806451613
coconut_milk,102,0.306306306306,0.581727597545,-1.76417969889,-0.97987388739,2.98607760258e+30,77.1176470588,0.455833818676
onion,181,0.543543543544,0.683890502072,-1.41587136157,-0.844252554093,5.57633876753e+30,56.3922651934,0.251135666053
lettuce,24,0.0720720720721,0.493298067069,-3.96069790409,-1.51315635383,2.56171613437e+29,103.791666667,0.742753623188
hominy,5,0.015015015015,0.449122120764,-5.93843886621,-2.19611273815,1.103105534e+28,110.0,0.9
sea_bass,45,0.135135135135,0.524568942952,-3.25920171863,-1.27011618403,7.84535398051e+29,94.5333333333,0.655555555556
sherry,10,0.03003003003,0.474216336681,-4.39368049751,-1.90770128646,4.16331978584e+28,104.5,0.866666666667
crabmeat,36,0.108108108108,0.517192192192,-3.32228325177,-1.32186636939,6.18171685279e+29,109.194444444,0.734920634921
fennel,5,0.015015015015,0.47084353201,0,-2.05274666625,2.13470534719e+28,170.2,1.0
aniseed,42,0.126126126126,0.523738928802,-2.59110070102,-1.33471741256,5.82652046264e+29,89.3095238095,0.535423925668
star_anise,5,0.015015015015,0.435530267109,0,-2.38595746885,4.60180856058e+27,71.2,1.0
whitefish,4,0.012012012012,0.410164811652,0,-2.32282055014,6.15471766327e+27,90.25,1.0
caraway_seed,47,0.141141141141,0.526236888717,-3.15613818942,-1.26107068801,8.17907266893e+29,91.7021276596,0.622571692877
white_pepper,53,0.159159159159,0.529604804805,-2.99984067571,-1.22306520374,9.74348836085e+29,89.8867924528,0.593613933237
