source,target,weight
chilli,coriander_seed,7.8579e-05
cumin_seed,coriander_seed,7.8579e-05
chilli,ginger,7.8579e-05
ginger,coriander_seed,7.8579e-05
chilli,cumin_seed,7.8579e-05
turmeric,coriander_seed,7.8579e-05
chilli,turmeric,7.8579e-05
ginger,cumin_seed,7.8579e-05
turmeric,cumin_seed,7.8579e-05
ginger,turmeric,7.8579e-05
tomato,coriander_seed,0.00015716
tomato,chilli,0.00023574
tomato,cumin_seed,0.00015716
chilli,mustard_seed,7.8579e-05
red_pepper,cumin_seed,7.8579e-05
tomato,ginger,0.00023574
red_pepper,coriander_seed,7.8579e-05
tomato,turmeric,0.00023574
ginger,onion,7.8579e-05
chilli,onion,7.8579e-05
coriander_seed,onion,7.8579e-05
ginger,garlic,7.8579e-05
ginger,red_pepper,7.8579e-05
mustard_seed,coriander_seed,7.8579e-05
mustard_seed,turmeric,7.8579e-05
cinnamon,cardamon,0.00055006
chilli,garlic,7.8579e-05
ginger,yogurt,7.8579e-05
cinnamon,ginger,0.00055006
red_pepper,turmeric,7.8579e-05
chilli,curry,7.8579e-05
cumin_seed,onion,7.8579e-05
cardamon,ginger,0.00023574
yogurt,coriander_seed,7.8579e-05
chilli,yogurt,7.8579e-05
turmeric,onion,7.8579e-05
garlic,coriander_seed,7.8579e-05
mustard_seed,cumin_seed,7.8579e-05
yogurt,cumin_seed,7.8579e-05
cinnamon,cumin_seed,0.00047148
cinnamon,coriander_seed,0.00047148
cardamon,coriander_seed,0.00023574
cardamon,cumin_seed,0.00023574
mustard_seed,curry,7.8579e-05
chilli,coconut,7.8579e-05
cinnamon,chilli,0.00055006
cumin_seed,garlic,7.8579e-05
coriander_seed,potato,7.8579e-05
turmeric,garlic,7.8579e-05
tomato,onion,0.00015716
coriander_seed,curry,7.8579e-05
turmeric,curry,7.8579e-05
cardamon,chilli,0.00023574
chilli,potato,7.8579e-05
ginger,mustard_seed,7.8579e-05
peppercorn,coriander_seed,7.8579e-05
cinnamon,turmeric,0.00055006
chilli,red_pepper,7.8579e-05
garlic,onion,7.8579e-05
peppercorn,cumin_seed,7.8579e-05
cumin_seed,potato,7.8579e-05
coconut,coriander_seed,7.8579e-05
tomato,red_pepper,0.00023574
chilli,fenugreek_seed,7.8579e-05
cumin_seed,curry,7.8579e-05
chilli,peppercorn,7.8579e-05
ginger,peppercorn,7.8579e-05
cardamon,turmeric,0.00023574
turmeric,potato,7.8579e-05
turmeric,yogurt,7.8579e-05
ginger,potato,7.8579e-05
fenugreek_seed,coriander_seed,7.8579e-05
fenugreek_seed,cumin_seed,7.8579e-05
ginger,curry,7.8579e-05
chilli,tamarind,7.8579e-05
ginger,chicken,7.8579e-05
coconut,turmeric,7.8579e-05
turmeric,fenugreek_seed,7.8579e-05
coriander_seed,ghee,7.8579e-05
chilli,ghee,7.8579e-05
tomato,garlic,0.00015716
tamarind,coriander_seed,7.8579e-05
coconut,mustard_seed,7.8579e-05
cinnamon,onion,0.00047148
cardamon,yogurt,0.00023574
flour,chilli,0.00015716
ginger,ghee,7.8579e-05
lamb,ginger,0.00023574
coconut,cumin_seed,7.8579e-05
lime,chilli,0.0003929
tomato,mustard_seed,0.00023574
cumin_seed,ghee,7.8579e-05
soy_sauce,ginger,0.0010605
soy_sauce,spring_onion,0.001157
ginger,spring_onion,9.6413e-05
soy_sauce,sesame_oil,0.0010605
sesame_oil,ginger,9.6413e-05
sesame_oil,spring_onion,9.6413e-05
soy_sauce,peanut_oil,0.0010605
peanut_oil,ginger,0.00019283
peanut_oil,spring_onion,0.00019283
soy_sauce,rice,0.0010605
soy_sauce,chilli,0.0010605
pork,soy_sauce,0.0020247
ginger,rice,9.6413e-05
peanut_oil,sesame_oil,0.00019283
ginger,chicken,9.6413e-05
soy_sauce,chicken,0.0010605
soy_sauce,sauce,0.001157
rice,spring_onion,9.6413e-05
chilli,ginger,0.00038565
soy_sauce,sherry,0.0010605
sesame_oil,rice,9.6413e-05
chilli,spring_onion,0.00038565
chicken,spring_onion,9.6413e-05
sauce,oyster,0.00019283
pork,spring_onion,0.0020247
pork,ginger,0.0018319
rice,vinegar,9.6413e-05
sauce,ginger,0.00019283
soy_sauce,vinegar,0.001157
ginger,sherry,9.6413e-05
chilli,sesame_oil,0.00038565
wine,rice,9.6413e-05
ginger,vinegar,9.6413e-05
soy_sauce,chicken_stock,0.0010605
sauce,spring_onion,0.00019283
sauce,sesame_oil,0.00019283
soy_sauce,oyster,0.0010605
chilli,peanut_oil,0.00038565
soy_sauce,garlic,0.0010605
pork,sesame_oil,0.0019283
chicken_stock,ginger,9.6413e-05
sesame_oil,chicken,9.6413e-05
soy_sauce,shrimp,0.00096413
soy_sauce,mushroom,0.0010605
ginger,garlic,9.6413e-05
sesame_oil,vinegar,9.6413e-05
ginger,coriander_seed,9.6413e-05
soy_sauce,wine,0.001157
chicken_stock,spring_onion,9.6413e-05
soy_sauce,coriander_seed,0.0010605
spring_onion,shrimp,9.6413e-05
sherry,spring_onion,9.6413e-05
ginger,wine,9.6413e-05
ginger,shrimp,9.6413e-05
peanut_oil,rice,0.00019283
sesame_oil,sesame,9.6413e-05
ginger,oyster,9.6413e-05
chilli,rice,0.00038565
spring_onion,vinegar,9.6413e-05
spring_onion,coriander_seed,9.6413e-05
peanut_oil,sauce,0.00019283
soy_sauce,carrot,0.001157
spring_onion,garlic,9.6413e-05
soy_sauce,white_pepper,0.00096413
sesame_oil,chicken_stock,9.6413e-05
sesame_oil,shrimp,9.6413e-05
sesame_oil,oyster,9.6413e-05
soy_sauce,bean,0.0010605
pork,peanut_oil,0.0021211
peanut_oil,chicken,0.00019283
vegetable_oil,soy_sauce,0.0026032
sesame_oil,white_pepper,9.6413e-05
chilli,sauce,0.00038565
wine,spring_onion,9.6413e-05
soy_sauce,beef,0.0010605
peanut_oil,garlic,0.00019283
ginger,white_pepper,9.6413e-05
spring_onion,white_pepper,9.6413e-05
carrot,ginger,0.00028924
sesame_oil,garlic,9.6413e-05
ginger,mushroom,9.6413e-05
soy_sauce,sesame,0.0010605
sesame_oil,coriander_seed,9.6413e-05
sesame_oil,sherry,9.6413e-05
chilli,vinegar,0.00038565
oyster,spring_onion,9.6413e-05
soy_sauce,red_pepper,0.0010605
ginger,red_pepper,9.6413e-05
soy_sauce,tofu,0.001157
soy_sauce,bamboo_shoot,0.00096413
spring_onion,mushroom,9.6413e-05
sesame_oil,wine,9.6413e-05
sesame_oil,mushroom,9.6413e-05
ginger,star_anise,9.6413e-05
soy_sauce,star_anise,0.00096413
carrot,spring_onion,0.00028924
chicken,rice,9.6413e-05
ginger,bean,9.6413e-05
carrot,sesame_oil,0.00028924
tomato,chili_con_carne,0.0001846
chili_con_carne,onion,9.2302e-05
chili_con_carne,coriander_seed,9.2302e-05
tomato,onion,0.0001846
chili_con_carne,garlic,9.2302e-05
lime,chili_con_carne,0.00046151
chili_con_carne,corn,9.2302e-05
tomato,coriander_seed,0.0001846
garlic,onion,9.2302e-05
chili_con_carne,cumin_seed,9.2302e-05
chili_con_carne,oregano,9.2302e-05
tortilla,corn,9.2302e-05
coriander_seed,onion,9.2302e-05
lime,coriander_seed,0.00046151
