field,count
Afghan,1
African,1
Afternoon_tea,289
Algerian,1
Appetizers_/_starters,310
Armenian,2
Asian,55
Australian,671
Austrian,5
Baked_&_steamed_desserts,116
Balinese,3
Basque,1
Belgian,3
Beverages_/_drinks_(no-alcohol),26
Brazilian,2
Bread_&_buns__sweet,50
Bread_&_rolls__savory,60
Breakfast_/_brunch,124
British,7
Brownies__slices_&_bars,26
Burmese,2
Cajun_&_Creole,4
Cakes__large,155
Cakes__small,31
Canadian,1
Canapés_/_hors_d'oeuvre,92
Candy_/_sweets,29
Central_Southern_States,1
Cheesecakes,18
Children's_parties,3
Chilean,1
Chili,1
Chinese,75
Christmas,60
Chutneys__pickles_&_relishes,89
Cocktails_/_drinks_(with_alcohol),37
Cookies__biscuits_&_crackers,80
Cooking_ahead,100
Cooking_for_1_or_2,12
Cooking_for_a_crowd,23
Crumbles__cobblers__crisps_&_bettys,13
Curry,47
Cypriot,1
Danish,4
Dessert,514
Dinner_parties/entertaining,126
Dips__spreads_&_salsas,108
Dressings_&_marinades,217
Dutch,4
East_European,3
Easter,5
Egg_dishes,108
Egyptian,1
English,35
European,5
Fall_/_autumn,37
French,238
Fried_doughs,33
Frostings_&_fillings,47
German,15
Greek,42
Grills_&_BBQ,478
Halloween,1
Hawaiian,178
Hungarian,5
Ice_cream_&_frozen_desserts,63
Indian,58
Indonesian,17
Iraqi,1
Irish,4
Italian,265
Jamaican,1
Jams__jellies_&_preserves,72
Japanese,32
Jewish,4
Korean,6
Lebanese,6
Low_fat,10
Lunch,73
Main_course,1453
Malaysian,8
Mediterranean,11
Mexican,4
Middle_Eastern,24
Mongolian,1
Moroccan,8
Mousses__trifles__custards_&_creams,105
New_Zealand,7
North_African,5
North_American,49
Pakistani,1
Pancakes__waffles_&_crêpes,52
Passover,1
Pasta__baked,20
Pasta__doughs_&_sauces,84
Pasta__filled,10
Persian,3
Peruvian,4
Philippine,1
Picnics_&_outdoors,504
Pies__tarts_&_pastries,214
Pizza_&_calzones,15
Polish,3
Portuguese,4
Quick_/_easy,11
Rice_dishes,98
Russian,5
Salads,263
Sandwiches_&_burgers,31
Sauces_for_desserts,63
Sauces_for_fish,137
Sauces_for_meat,81
Sauces_for_poultry,54
Sauces__general,171
Scandinavian,7
Scottish,14
Side_dish,494
Singaporean,5
Small_plates_-_tapas__meze,23
Snacks,37
Soups,160
South_American,4
Spanish,29
Spice_/_herb_blends_&_rubs,23
Spring,43
Stews_&_one-pot_meals,179
Stir-fries,64
Stocks,47
Stuffing,50
Summer,103
Suppers,3
Swedish,1
Swiss,9
Tahitian,3
Thai,38
Turkish,1
Valentine's_Day_/_romantic,1
Vegan,273
Vegetarian,907
Vietnamese,3
Welsh,2
West_Indian,2
Winter,53
