field,count
A_Gondola_on_the_Murray:_A_Passion_for_Life__A_Passion_for_Cooking,111
A_Shared_Table,99
A_Taste_of_Australia:_The_Bathers_Pavilion_Cookbook,71
Australian_Cuisine,214
Australian_Fish_Cooking:_200_great_Australian_fish_recipes,187
Bills_Sydney_Food,122
Bloody_Delicious:_A_Life_with_Food,278
Floyd_on_Oz:_Feasts_and_Fables_of_a_Cook_Down_Under,125
From_the_Sea:_Sailing_Seafood_and_Wine,24
Fusions:_A_New_Look_at_Australian_Cooking,129
Maggie_s_Farm,140
Relaxed_Cooking_with_Curtis_Stone:_Recipes_to_Put_You_in_My_Favorite_Mood,135
Scrumptious:_Fabulous_Food_from_the_Birthplace_of_the_Ashes,127
Stephanie_Alexander_s_Kitchen_Garden_Companion,322
Stephanie_s_Australia:_Travelling_and_Tasting,71
Surfing_the_Menu:_Two_Chefs__One_Journey:_A_Fresh_Food_Adventure,85
The_Australian_Women’s_Weekly_Original_Cookbook,755
The_Blue_Tomato:_The_Inspirations_Behind_the_Cuisine_of_Alan_Wong,198
The_Complete_Australian_Barbecue_Kettle_Cookbook,448
The_Margaret_Fulton_Cookbook_(Rev._ed.),582
The_Season_s_Plate_Cookbook:_Celebrating_10_years_of_Season_s_Plate_lunches_at__Wyndham_Estate,68
