node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,21,0.0297872340426,0.468355375376,-4.10864386306,-2.0128684832,1.07331039498e+55,166.952380952,0.666666666667
whiting,10,0.0141843971631,0.450353246918,-5.69771730424,-2.25267690532,3.5572349504e+54,216.9,0.755555555556
sunflower_oil,61,0.086524822695,0.512018513066,-3.27154566119,-1.4892882586,1.19642744572e+56,194.262295082,0.698907103825
mackerel,31,0.0439716312057,0.492297912073,-4.28676210451,-1.73778526679,3.80972667118e+55,220.677419355,0.815053763441
jewfish,10,0.0141843971631,0.446350106946,-6.93792511258,-2.21180945133,4.29385996607e+54,232.6,0.955555555556
roe,26,0.0368794326241,0.469920734251,-4.13167768813,-1.94764684218,1.44932633726e+55,147.692307692,0.615384615385
loquat,16,0.022695035461,0.464027338904,-4.80561901359,-2.10603911849,6.98837465906e+54,185.3125,0.808333333333
barbecue,40,0.0567375886525,0.492988371977,-4.04506291898,-1.69230164502,4.69742322492e+55,181.65,0.769230769231
poppy_seed,5,0.00709219858156,0.443254362194,0,-2.43996826009,1.50152319323e+54,294.8,1.0
guava,6,0.00851063829787,0.417459274608,0,-2.51967692361,1.04015787213e+54,182.0,1.0
anise_seed,15,0.0212765957447,0.456494427558,-4.51218241995,-2.09751727549,7.26816209799e+54,196.466666667,0.819047619048
Irish_whiskey,9,0.0127659574468,0.420958933197,-6.09303112434,-2.47328374258,1.28790820605e+54,144.888888889,0.888888888889
liquorice,29,0.041134751773,0.4831624869,-4.08766493863,-1.86258735869,2.14429327536e+55,174.862068966,0.687192118227
honeydew_melon,16,0.022695035461,0.462500933184,-4.56830064014,-2.09694361502,7.28744895489e+54,188.6875,0.758333333333
grape,68,0.0964539007092,0.519971463343,-3.22022095697,-1.46132287515,1.3608619046e+56,186.808823529,0.648375768218
peanut,112,0.158865248227,0.538285925298,-2.74007928731,-1.30829451276,2.75341277692e+56,155.232142857,0.530244530245
sashimi,16,0.022695035461,0.463110288827,-5.9399073342,-2.03261000726,9.80045828403e+54,217.125,0.908333333333
geranium,14,0.0198581560284,0.461287019974,-5.24187254659,-2.166888019,5.28056718294e+54,191.214285714,0.835164835165
couscous,58,0.0822695035461,0.50721603062,-3.85746532424,-1.5119072454,1.07807262032e+56,193.74137931,0.720508166969
black_olive,117,0.165957446809,0.536642304152,-2.99714235467,-1.27392180476,3.22565459572e+56,156.991452991,0.547597995874
cress,11,0.0156028368794,0.428659401488,-5.68009191559,-2.29811941826,2.88551584176e+54,154.545454545,0.8
pork_belly,45,0.063829787234,0.495071421436,-4.20704292056,-1.66409185456,5.34904388495e+55,171.355555556,0.641414141414
ingredient,341,0.483687943262,0.658857936682,-1.3999123755,-0.976146003255,1.27105197172e+57,102.31085044,0.238243919269
goose egg,6,0.00851063829787,0.421211155446,0,-2.54215781756,9.37859765609e+53,189.5,1.0
castor_sugar,221,0.313475177305,0.590757494487,-1.85938305853,-1.11349047277,6.75265639467e+56,120.131221719,0.324928013163
peanut_butter,47,0.0666666666667,0.502502800886,-3.53332943508,-1.62887526345,6.29089447598e+55,183.021276596,0.661424606846
kidney_bean,17,0.0241134751773,0.452673160618,-6.01539907014,-1.98643472722,1.21226670849e+55,225.823529412,0.970588235294
quince,35,0.0496453900709,0.500713260997,-4.35017562865,-1.73873830768,3.79299484013e+55,197.6,0.714285714286
red_snapper,24,0.0340425531915,0.463415569176,-5.57114932214,-1.89367982327,1.85825978281e+55,192.041666667,0.920289855072
nectar,17,0.0241134751773,0.44805699072,-5.15332514645,-2.14281164537,5.89966264955e+54,148.058823529,0.661764705882
asparagus,114,0.16170212766,0.539525263576,-3.20288259535,-1.26706834568,3.32908383954e+56,166.219298246,0.579413134606
egg_noodle,55,0.0780141843972,0.500001008848,-3.80704242022,-1.58191015516,7.80984597279e+55,168.181818182,0.684848484848
Triple_Sec,4,0.00567375886525,0.356491591501,0,-3.25206889773,3.56695755155e+52,51.0,1.0
vegetable_oil,174,0.246808510638,0.568771374142,-2.47166432045,-1.13191751248,6.20332327007e+56,145.385057471,0.457178924988
mandarin_orange,24,0.0340425531915,0.475965753852,-3.97210148601,-1.96103651464,1.36266192385e+55,170.875,0.677536231884
smoked_haddock,6,0.00851063829787,0.453256878427,0,-2.35446882898,2.22602476162e+54,302.333333333,1.0
prosciutto,83,0.117730496454,0.52190157271,-2.88681331773,-1.41197014603,1.70813194211e+56,164.554216867,0.581251836615
drinking_chocolate,88,0.124822695035,0.528175370729,-2.87702685204,-1.47601390199,1.27182162982e+56,140.272727273,0.493991640543
Pernod,51,0.0723404255319,0.508316282314,-4.1498801597,-1.5413757456,9.4126595021e+55,207.019607843,0.82431372549
garlic_butter,8,0.0113475177305,0.441861356656,0,-2.35963984872,2.17363659323e+54,214.375,1.0
sultana,131,0.185815602837,0.549219858156,-2.89438872049,-1.23836047814,3.79958430961e+56,156.877862595,0.53223722842
taro_root,7,0.00992907801418,0.414994934144,0,-2.54349650156,9.32097670771e+53,141.0,1.0
lemon_curd,3,0.00425531914894,0.400798984287,0,-2.86185736788,2.15148239281e+53,180.333333333,1.0
almond,218,0.309219858156,0.59026147644,-1.79850759166,-1.1153012712,6.69658276359e+56,121.316513761,0.327780831184
bacon,202,0.286524822695,0.57812616648,-2.01115567295,-1.10664364612,6.96901472398e+56,130.108910891,0.381262006798
millet,7,0.00992907801418,0.44269610733,0,-2.38895059982,1.8991611731e+54,220.0,1.0
watermelon,32,0.045390070922,0.482830644533,-3.16792420148,-1.89798106774,1.82178027618e+55,146.4375,0.526209677419
currant,98,0.139007092199,0.53217367028,-2.93019065623,-1.38666376379,1.91923501053e+56,150.091836735,0.522827687776
rump_steak,31,0.0439716312057,0.486506171931,-5.10192810863,-1.73748134656,3.81507427664e+55,221.838709677,0.834408602151
spaghetti,23,0.0326241134752,0.481837846772,-5.55497746722,-1.86242033222,2.14597139997e+55,222.608695652,0.944664031621
almond_extract,30,0.0425531914894,0.483827541941,-4.47712685872,-1.92018540837,1.64467707089e+55,152.433333333,0.747126436782
giblet,4,0.00567375886525,0.420204075577,-4.95484886143,-2.6313914025,6.21853926649e+53,239.25,0.666666666667
red_onion,164,0.232624113475,0.563302418622,-2.50183845103,-1.15303877575,5.62837137799e+56,145.493902439,0.473963788718
mascarpone,86,0.121985815603,0.529767459261,-3.0796405492,-1.38182077879,1.96253610897e+56,174.988372093,0.610123119015
ground_beef,27,0.0382978723404,0.478232257442,-5.35750874017,-1.79160551907,2.97341065542e+55,221.185185185,0.894586894587
tarragon,139,0.197163120567,0.547082815906,-2.89740274775,-1.20249518285,4.4819844906e+56,154.827338129,0.529350432697
soy_sauce,237,0.336170212766,0.600342799692,-2.04706171609,-1.05954723246,8.65694126498e+56,122.696202532,0.346313380534
