field,count
Afternoon_tea,11
Appetizers_/_starters,80
Baked_&_steamed_desserts,13
Beverages_/_drinks_(no-alcohol),12
Brazilian,670
Bread_&_buns__sweet,6
Bread_&_rolls__savory,9
Breakfast_/_brunch,14
Cakes__large,8
Cakes__small,7
Canapés_/_hors_d'oeuvre,12
Candy_/_sweets,34
Cheesecakes,1
Children_&_baby_food,1
Cocktails_/_drinks_(with_alcohol),18
Cookies__biscuits_&_crackers,10
Cooking_ahead,18
Cooking_for_a_crowd,2
Dessert,88
Dinner_parties/entertaining,2
Dips__spreads_&_salsas,4
Dressings_&_marinades,7
Easter,1
Egg_dishes,22
Fried_doughs,23
Frostings_&_fillings,1
General_courses,1
Grills_&_BBQ,17
Ice_cream_&_frozen_desserts,8
Italian,1
Jams__jellies_&_preserves,6
Japanese,3
Lunch,7
Main_course,181
Middle_Eastern,1
Mousses__trifles__custards_&_creams,31
Pancakes__waffles_&_crêpes,4
Paraguayan,1
Pasta__doughs_&_sauces,1
Pies__tarts_&_pastries,22
Pizza_&_calzones,1
Portuguese,2
Quick_/_easy,4
Rice_dishes,31
Salads,32
Sauces_for_desserts,7
Sauces_for_fish,3
Sauces_for_meat,3
Sauces_for_poultry,1
Sauces__general,21
Side_dish,109
Small_plates_-_tapas__meze,5
Snacks,52
Soups,31
South_American,1
Spring,2
Stews_&_one-pot_meals,82
Stir-fries,1
Stocks,6
Stuffing,1
Vegan,75
Vegetarian,122
