ingredient,degree,lcc
Belgian_endive,3,0.5
Boston_lettuce,28,0.556650246305
Brazil_nuts,48,0.455782312925
Cognac,10,0.454545454545
French_bread,4,0.6
Italian_bread,8,0.777777777778
Maraschino_cherries,4,0.6
Port_wine,25,0.396923076923
Savoy_cabbage,5,0.666666666667
Spanish_paprika,4,0.6
Tabasco_sauce,38,0.653171390013
Worcestershire_sauce,23,0.63768115942
allspice,7,0.75
almond,38,0.531713900135
almond_extract,4,0.6
anchovy,3,0.5
aniseed,13,0.516483516484
apple,11,0.484848484848
apricot,11,0.833333333333
artichoke,2,0.333333333333
arugula,16,0.566176470588
asparagus,10,0.763636363636
avocado,24,0.473333333333
bacon,74,0.477117117117
bamboo,1,0.0
bamboo_shoot,1,0.0
banana,57,0.473684210526
basil,39,0.611538461538
bay_leaf,120,0.321349862259
bay_scallop,27,0.822751322751
bean,33,0.620320855615
beef,107,0.329871928003
beef_loin,5,0.666666666667
beef_stew,12,0.846153846154
beef_stock,30,0.61935483871
beef_tongue,24,0.786666666667
beer,27,0.730158730159
beet,1,0.0
berry,17,0.549019607843
biscuit,6,0.714285714286
black-eyed_pea,16,0.823529411765
black_bean,57,0.515426497278
black_olive,65,0.474592074592
black_tea,4,0.6
blue_cheese,7,0.75
blue_crab,19,0.852631578947
bok_choy,6,0.714285714286
bouillon_cube,18,0.754385964912
brandy,18,0.590643274854
bread,35,0.722222222222
broccoli,8,0.666666666667
brown_sugar,25,0.504615384615
bulghur,7,0.75
butter,83,0.409351692484
butternut_squash,21,0.909090909091
cabbage,54,0.6
canola_oil,28,0.5960591133
caper,22,0.739130434783
cardamom,9,0.8
carrot,110,0.363963963964
cashew_nut,67,0.421861281826
catfish,9,0.8
cauliflower,14,0.866666666667
caviar,4,0.6
celery,84,0.455182072829
cheddar_cheese,11,0.833333333333
cheese,89,0.384769038702
cherry,17,0.888888888889
cherry pepper,23,0.81884057971
chicken,99,0.407878787879
chicken leg,5,0.666666666667
chicken_stock,95,0.388596491228
chicory,4,0.6
chile,135,0.302178649237
chipotle,7,0.5
chive,67,0.525021949078
chuck,21,0.909090909091
cider_vinegar,31,0.679435483871
cinnamon,99,0.322626262626
clam,18,0.754385964912
clarified_butter,15,0.566666666667
clove,81,0.387232761217
cocoa_powder,15,0.733333333333
coconut,75,0.420350877193
coconut_milk,121,0.327055954478
cod,15,0.725
coffee,23,0.438405797101
collard_greens,23,0.746376811594
condensed_milk,47,0.346631205674
coriander_seed,139,0.292086330935
corn,91,0.411610129001
corn_oil,16,0.720588235294
corn_syrup,24,0.466666666667
cornmeal,51,0.589743589744
crabmeat,69,0.47867494824
cranberry,5,0.666666666667
cream,19,0.563157894737
cream_cheese,10,0.818181818182
cumin,25,0.716923076923
curry_powder,8,0.777777777778
dark_chocolate,19,0.510526315789
dill,4,0.6
dried_fruit,15,0.766666666667
duck,14,0.447619047619
egg,130,0.300058719906
egg_yolk,92,0.351332398317
escarole,4,0.6
espresso,3,0.5
evaporated_milk,14,0.790476190476
farmer's_cheese,18,0.847953216374
fennel,16,0.882352941176
fennel_seed,9,0.8
fig,6,0.714285714286
fillet,57,0.568058076225
fish,54,0.616835016835
fish_steak,25,0.713846153846
flank_steak,14,0.638095238095
flour,151,0.280759846636
freshwater_fish,16,0.764705882353
fruit_juice,16,0.639705882353
garlic,72,0.544901065449
gelatin,21,0.471861471861
ginger,69,0.459213250518
goat_cheese,7,0.535714285714
graham_cracker,10,0.818181818182
grain,46,0.676225716929
green,37,0.567567567568
green_bean,36,0.71021021021
green_olive,49,0.575510204082
green_pepper,109,0.385487906589
ground_beef,40,0.55243902439
grouper,7,0.75
guava,13,0.527472527473
hake,18,0.894736842105
halibut,23,0.648550724638
ham,46,0.515263644773
heart,85,0.474965800274
heavy_cream,85,0.364158686731
hominy,7,0.678571428571
honey,30,0.372043010753
horseradish,6,0.714285714286
hot_pepper,28,0.650246305419
ingredient,81,0.424570912376
jam,9,0.8
jerk,26,0.646723646724
juice,19,0.457894736842
juniper_berry,5,0.666666666667
kale,16,0.882352941176
kidney_bean,18,0.684210526316
lamb,8,0.777777777778
langoustine,9,0.8
lard,36,0.642642642643
leg,6,0.714285714286
lemon,44,0.516161616162
lemon_grass,1,0.0
lettuce,39,0.407692307692
light_cream,9,0.688888888889
lima_bean,20,0.795238095238
lime,136,0.292829540575
liqueur,11,0.5
littleneck_clam,17,0.888888888889
lobster,24,0.67
mace,19,0.731578947368
mango,14,0.361904761905
marrow,21,0.909090909091
mascarpone,10,0.6
mayonnaise,49,0.547755102041
meal,25,0.683076923077
meat,27,0.65873015873
melon,3,0.5
milk,105,0.353818508535
milk_chocolate,2,0.333333333333
mint,54,0.357575757576
molasses,3,0.5
mozzarella,9,0.688888888889
mushroom,11,0.590909090909
mussel,38,0.699055330634
mustard_greens,52,0.43976777939
mustard_seed,9,0.8
nutmeg,90,0.451037851038
octopus,8,0.777777777778
okra,56,0.578320802005
olive,61,0.516657852988
olive_oil,123,0.330055074744
onion,211,0.183492801574
orange,75,0.410175438596
orange_juice,27,0.470899470899
orange_marmalade,4,0.6
oregano,75,0.454035087719
oyster,27,0.767195767196
palm_oil,15,0.833333333333
papaya,2,0.333333333333
parsley,175,0.233636363636
passion_fruit,24,0.463333333333
pasta,4,0.6
paste,5,0.666666666667
pastry,13,0.56043956044
pea,42,0.616832779623
peach,1,0.0
peanut,63,0.529761904762
peanut_butter,2,0.333333333333
peanut_oil,22,0.727272727273
pepper_sauce,28,0.650246305419
peppercorn,109,0.372977481234
pie_shell,7,0.75
pimiento,52,0.531204644412
pineapple,45,0.406763285024
pineapple_juice,6,0.714285714286
pinto_bean,10,0.818181818182
pistachio_nut,5,0.666666666667
pita,3,0.5
plantain,55,0.577272727273
polenta,3,0.5
pomegranate,4,0.6
