field,count
Afternoon_tea,28
Appetizers_/_starters,147
Argentinian,37
Asian,1
Austrian,1
Bahamian,2
Baked_&_steamed_desserts,16
Barbadian,1
Beverages_/_drinks_(no-alcohol),63
Bolivian,8
Brazilian,54
Bread_&_buns__sweet,9
Bread_&_rolls__savory,39
Breakfast_/_brunch,21
British,3
Brownies__slices_&_bars,6
Cajun_&_Creole,3
Cakes__large,42
Cakes__small,6
Canapés_/_hors_d'oeuvre,45
Candy_/_sweets,15
Caribbean,223
Central_American,39
Central_Southern_States,1
Cheesecakes,4
Children_&_baby_food,6
Chilean,31
Chili,1
Christmas,12
Chutneys__pickles_&_relishes,21
Cocktails_/_drinks_(with_alcohol),130
Colombian,54
Congolese,1
Cookies__biscuits_&_crackers,12
Cooking_ahead,154
Cooking_for_1_or_2,22
Cooking_for_a_crowd,20
Costa_Rican,3
Crumbles__cobblers__crisps_&_bettys,2
Cuban,108
Curry,11
Dessert,242
Dinner_parties/entertaining,26
Dips__spreads_&_salsas,75
Dominican_(Republic),25
Dressings_&_marinades,78
Ecuadorian,52
Egg_dishes,31
French,8
Fried_doughs,67
Frostings_&_fillings,13
Grills_&_BBQ,94
Guadeloupean,144
Guatemalan,18
Guyanese,1
Haitian,9
Hanukkah,1
Hawaiian,1
Honduran,3
Ice_cream_&_frozen_desserts,30
Indian,1
Italian,3
Jamaican,49
Jams__jellies_&_preserves,21
Japanese,1
Jewish,1
Low_fat,1
Lunch,5
Main_course,606
Mediterranean,3
Mexican,157
Middle_Eastern,1
Mousses__trifles__custards_&_creams,69
Nicaraguan,10
North_American,12
Panamanian,4
Pancakes__waffles_&_crêpes,5
Paraguayan,6
Pasta__baked,5
Pasta__doughs_&_sauces,9
Pasta__filled,1
Peruvian,98
Picnics_&_outdoors,13
Pies__tarts_&_pastries,60
Pizza_&_calzones,2
Puerto_Rican,420
Quick_/_easy,17
Rice_dishes,97
Salads,86
Salvadoran,10
Sandwiches_&_burgers,34
Sauces_for_desserts,25
Sauces_for_fish,22
Sauces_for_meat,25
Sauces_for_poultry,12
Sauces__general,109
Scottish,1
Side_dish,296
Small_plates_-_tapas__meze,13
Snacks,21
Soups,84
South_African,1
South_American,106
Spanish,13
Spice_/_herb_blends_&_rubs,27
Stews_&_one-pot_meals,123
Stir-fries,1
Stocks,21
Stuffing,15
Summer,7
Suppers,10
Thanksgiving,1
Trinidadian,16
Uruguayan,2
Vegan,224
Vegetarian,387
Venezuelan,39
Vietnamese,1
West_African,1
West_Indian,11
Winter,2
