node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
sunflower_oil,149,0.263716814159,0.57418699187,-2.43901123099,-1.1361562189,1.17549046565e+49,115.060402685,0.41374931979
mackerel,30,0.0530973451327,0.501330967169,-4.41832392532,-1.6598081167,1.05416873089e+48,196.066666667,0.811494252874
roe,5,0.00884955752212,0.449482895784,0,-2.30549263383,5.38934771304e+46,294.2,1.0
guava,64,0.113274336283,0.527544351074,-3.61735462033,-1.38986690983,3.65422692289e+48,158.046875,0.708333333333
milk,207,0.366371681416,0.612134344529,-1.75711851333,-1.0213247627,1.99472165842e+49,106.285024155,0.353688851367
grape,18,0.0318584070796,0.474391267842,0,-1.8494908476,4.40093367542e+47,203.0,1.0
peanut,87,0.153982300885,0.536562203229,-3.41502236035,-1.24982174046,6.96443186844e+48,157.873563218,0.695001336541
cheese_spread,9,0.0159292035398,0.426737160121,0,-2.20204514688,8.67841182161e+46,165.888888889,1.0
melon,22,0.0389380530973,0.474391267842,-4.2954615614,-1.95620223781,2.69231023273e+47,133.681818182,0.683982683983
black_olive,40,0.070796460177,0.502669039146,-3.74938174596,-1.58594737144,1.48126495915e+48,167.575,0.733333333333
suckling_pig,20,0.0353982300885,0.487068965517,-5.81090818703,-1.78804232264,5.8403768555e+47,218.95,0.931578947368
pork_belly,34,0.0601769911504,0.501776198934,-4.04998836184,-1.62524094539,1.23607546954e+48,184.264705882,0.773618538324
ingredient,200,0.353982300885,0.606874328679,-1.56161952471,-1.06492202199,1.63187700299e+49,100.96,0.313065326633
lima_bean,57,0.100884955752,0.509927797834,-3.77980601036,-1.44792947555,2.79685290417e+48,156.421052632,0.703007518797
sweet_corn,12,0.0212389380531,0.475189234651,-6.37425958263,-2.02044573483,2.00278242172e+47,220.583333333,0.939393939394
peanut_butter,27,0.0477876106195,0.495179666959,-4.22170149976,-1.75736201622,6.72670332916e+47,175.814814815,0.77207977208
kidney_bean,57,0.100884955752,0.514571948998,-3.69030201014,-1.40623255031,3.38892896723e+48,175.245614035,0.746240601504
truffle,9,0.0159292035398,0.450917797287,0,-2.18801396546,9.25764015965e+46,186.888888889,1.0
red_snapper,52,0.0920353982301,0.510849909584,-4.04050122544,-1.44020813058,2.89808582942e+48,178.423076923,0.780542986425
nectar,14,0.0247787610619,0.440717628705,-4.13525126048,-2.25914064977,6.67190794598e+46,99.2142857143,0.692307692308
asparagus,53,0.0938053097345,0.508550855086,-3.95340192669,-1.45701969938,2.6821874838e+48,164.245283019,0.777213352685
egg_noodle,9,0.0159292035398,0.439005439005,0,-2.15646789413,1.07051009192e+47,197.444444444,1.0
mandarin_orange,15,0.0265486725664,0.46965918537,-4.44827828,-2.11000422352,1.32592384759e+47,145.8,0.752380952381
barbecue_sauce,7,0.012389380531,0.418828762046,-5.8123162117,-2.43664585691,2.94603743991e+46,124.714285714,0.809523809524
smoked_haddock,8,0.0141592920354,0.473199329983,0,-2.22442795769,7.82833945424e+46,214.625,1.0
prosciutto,8,0.0141592920354,0.445583596215,-5.02568830382,-2.33377849997,4.73119890234e+46,147.25,0.785714285714
haggis,7,0.012389380531,0.452361889512,0,-2.25948991083,6.66106849667e+46,225.285714286,1.0
