field,count
Alan_Richardson,121
Annabel_Low,100
Australian_Women_s_Weekly,180
Barbara_Tropp,425
Bee_Yinn_Low,82
Ching-He_Huang,533
Deh-Ta_Hsiung,174
Diana_Kuan,82
Eddy_Van_Damme,29
Editors_of_Consumer_Guide,107
Eileen_Yin-Fei_Lo,427
Ellen_Leong_Blonder,72
Fiona_Smith,33
Fuchsia_Dunlop,655
Gloria_Bley_Miller,1067
Gok_Wan,82
Gourmet_Magazine_Editors,486
Grace_Young,256
Irene_Kuo,307
Jeff_Smith,428
John_Schrecker,95
Karen_Leibowitz,48
Ken_Hom,760
Kevin_Sinclair,232
Kylie_Kwong,423
Lilah_Kan,99
Lisa_Weiss,76
Martin_Yan,871
Michael_Tong,94
Nancie_McDermott,78
Nancy_Chih_Ma,208
Naomi_Duguid,151
Nina_Simonds,438
Susanna_Foo,338
Teri_Sandison,159
Time-Life_Books,116
Virginia_Lee,243
Yan_Kit_Martin,148
Yan-Kit_So,149
