field,count
Afternoon_tea,71
Appetizers_/_starters,1136
Asian,457
Australian,2
Baked_&_steamed_desserts,65
Balinese,1
Beverages_/_drinks_(no-alcohol),44
Bread_&_buns__sweet,7
Bread_&_rolls__savory,104
Breakfast_/_brunch,151
British,4
Brownies__slices_&_bars,4
Burmese,2
Cajun_&_Creole,2
Cakes__large,28
Cakes__small,15
Canapés_/_hors_d'oeuvre,151
Candy_/_sweets,28
Caribbean,9
Central_Southern_States,3
Cheesecakes,3
Children_&_baby_food,2
Children's_parties,5
Chili,2
Chinese,8875
Christmas,20
Chutneys__pickles_&_relishes,158
Cocktails_/_drinks_(with_alcohol),25
Cookies__biscuits_&_crackers,68
Cooking_ahead,482
Cooking_for_1_or_2,304
Cooking_for_a_crowd,144
Crumbles__cobblers__crisps_&_bettys,5
Cuban,1
Curry,71
Dairy-free,1
Dessert,524
Dinner_parties/entertaining,382
Dips__spreads_&_salsas,170
Dressings_&_marinades,370
Easter,4
Egg_dishes,293
English,4
European,1
Fall_/_autumn,17
French,44
Fried_doughs,157
Frostings_&_fillings,2
General_courses,3
Greek,108
Grills_&_BBQ,136
Hawaiian,1
Ice_cream_&_frozen_desserts,63
Indian,33
Indonesian,20
Irish,1
Italian,161
Jamaican,2
Jams__jellies_&_preserves,6
Japanese,43
Kazakh,10
Korean,12
Low_fat,1
Lunch,169
Main_course,5478
Malaysian,24
Mediterranean,2
Mexican,23
Middle_Eastern,3
Mongolian,14
Mousses__trifles__custards_&_creams,93
North_African,1
North_American,53
Pancakes__waffles_&_crêpes,81
Pasta__baked,3
Pasta__doughs_&_sauces,336
Pasta__filled,12
Philippine,2
Picnics_&_outdoors,87
Pies__tarts_&_pastries,118
Pizza_&_calzones,9
Quick_/_easy,1090
Rice_dishes,484
Salads,410
Sandwiches_&_burgers,45
Sauces_for_desserts,53
Sauces_for_fish,95
Sauces_for_meat,51
Sauces_for_poultry,47
Sauces__general,327
Side_dish,1381
Singaporean,25
Small_plates_-_tapas__meze,54
Snacks,193
Soups,764
South_African,1
Spanish,5
Spice_/_herb_blends_&_rubs,61
Spring,17
Stews_&_one-pot_meals,549
Stir-fries,2271
Stocks,111
Stuffing,53
Summer,59
Suppers,36
Swiss,1
Taiwanese,20
Thai,63
Thanksgiving,16
Tibetan,35
Turkish,3
Valentine's_Day_/_romantic,10
Vegan,1128
Vegetarian,1614
Vietnamese,34
Winter,70
