node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,7,0.00977653631285,0.412996279926,1.54324780133e-07,0.00352214943779,3.91339217104e+39,119.571428571,0.8
whiting,18,0.0251396648045,0.470281100787,1.00959245414e-05,0.012071624119,4.5969924787e+40,163.722222222,0.641666666667
sunflower_oil,16,0.0223463687151,0.461143514632,6.77025201841e-06,0.0102148979634,3.29158897484e+40,152.75,0.626373626374
mackerel,8,0.0111731843575,0.429436421346,1.26961726943e-06,0.00458038848299,6.6181318893e+39,140.625,0.533333333333
roe,53,0.0740223463687,0.500707163567,0.000309576680476,0.0340499263771,3.65731821223e+41,145.924528302,0.508235294118
olive,15,0.0209497206704,0.470903165736,1.3548165969e-05,0.00899980445237,2.55494505312e+40,146.4,0.551282051282
fish_steak,26,0.036312849162,0.488679194641,3.39424657618e-05,0.0194512927921,1.19348573314e+41,179.346153846,0.619565217391
hominy_grits,4,0.00558659217877,0.378726375847,0.0,0.00134474168378,5.70397480979e+38,78.25,1.0
freshwater_fish,9,0.0125698324022,0.452641822373,1.02004644372e-06,0.00652760533341,1.34407823782e+40,179.555555556,0.571428571429
liquorice,37,0.0516759776536,0.495136012929,0.000108977128699,0.0215069019791,1.45902777778e+41,132.297297297,0.505882352941
grape,70,0.0977653631285,0.512972324634,0.000450042426957,0.0426862799355,5.74758257536e+41,135.157142857,0.415715539947
flounder,41,0.0572625698324,0.490024491805,6.273565509e-05,0.026133361291,2.15441125134e+41,145.975609756,0.547908232119
peanut,144,0.201117318436,0.549811263778,0.00299560200611,0.0770819959354,1.87422275284e+42,112.5,0.320946958346
dumpling,32,0.0446927374302,0.4866750421,2.27764116747e-05,0.0236275526748,1.76106557075e+41,170.40625,0.67816091954
sashimi,29,0.0405027932961,0.48767505931,2.48829647755e-05,0.0208110833547,1.36617120047e+41,163.862068966,0.712250712251
couscous,28,0.0391061452514,0.467502026653,6.7181981548e-05,0.0164759477472,8.56235144884e+40,131.821428571,0.612307692308
black_olive,42,0.0586592178771,0.494105195414,9.72240829526e-05,0.0283031663918,2.52687412469e+41,151.547619048,0.528205128205
cress,24,0.0335195530726,0.471526878538,2.16303347213e-05,0.0144333376569,6.5714102438e+40,135.166666667,0.69696969697
purple_amaranth,6,0.00837988826816,0.39821341532,1.81250227385e-07,0.00212351088324,1.42245168885e+39,83.3333333333,0.833333333333
pork_belly,81,0.11312849162,0.515199411427,0.00082796243671,0.0422521060414,5.63140929551e+41,111.654320988,0.336903602726
ingredient,173,0.241620111732,0.548540513553,0.0197757681793,0.0537018635927,9.09611934353e+41,66.0404624277,0.129480564155
lima_bean,37,0.0516759776536,0.480760017956,0.00011047019338,0.0206962822269,1.35111828064e+41,123.162162162,0.413445378151
peanut_butter,105,0.146648044693,0.530951220427,0.00140248295829,0.0608188806642,1.16678967853e+42,123.476190476,0.381496287836
quince,7,0.00977653631285,0.421305080824,1.1173517625e-07,0.00405226127988,5.1798237279e+39,136.142857143,0.8
fish_cake,35,0.0488826815642,0.48567911773,2.36274653638e-05,0.024808431252,1.94152097551e+41,163.114285714,0.672348484848
ouzo,15,0.0209497206704,0.436813243308,1.97835330037e-05,0.00705274378554,1.56895430618e+40,103.8,0.551282051282
porgy,10,0.0139664804469,0.43654542403,5.04124016443e-07,0.00609391741586,1.17150232516e+40,154.0,0.857142857143
nectar,22,0.0307262569832,0.471526878538,0.000145010958159,0.00993148109789,3.11107127834e+40,110.818181818,0.421052631579
asparagus,111,0.155027932961,0.527802510446,0.00149246014283,0.0610820490291,1.17692576949e+42,114.738738739,0.341318382603
egg_noodle,86,0.120111731844,0.516694910444,0.000435752798749,0.0513138956367,8.30618609519e+41,127.813953488,0.425702811245
mandarin_orange,45,0.0628491620112,0.489687473585,0.000295857150355,0.0219915273377,1.52540430954e+41,114.533333333,0.423034330011
prosciutto,34,0.0474860335196,0.487007925166,9.21456466648e-05,0.0196907439705,1.22302633678e+41,132.588235294,0.427419354839
wheat_germ,13,0.018156424581,0.409669497464,0.0,0.00414754216142,5.42487780274e+39,82.2307692308,1.0
round,35,0.0488826815642,0.49205638327,2.99876646695e-05,0.0254925050704,2.05002958883e+41,171.714285714,0.621212121212
orzo,25,0.0349162011173,0.470903165736,9.57301497445e-06,0.0176103886757,9.78237250103e+40,154.28,0.735177865613
batter,16,0.0223463687151,0.453218069123,1.17507938084e-06,0.00960145055141,2.90822157718e+40,145.0625,0.879120879121
pork,161,0.224860335196,0.546855289241,0.00910178522996,0.0627768418471,1.24320559064e+42,79.0310559006,0.191704482127
sultana,27,0.0377094972067,0.467195266793,6.7516147586e-05,0.0124523273989,4.89072440958e+40,108.666666667,0.453333333333
tomato_sauce,103,0.143854748603,0.525077866218,0.00442982903351,0.0495127895695,7.73268780255e+41,105.747572816,0.305742574257
pie_shell,10,0.0139664804469,0.428402880019,2.65929086195e-05,0.00378296452189,4.51378672027e+39,92.6,0.535714285714
almond,164,0.22905027933,0.550661706568,0.0100114571034,0.0681311669807,1.46410951501e+42,88.9756097561,0.231807376735
bacon,98,0.13687150838,0.521233957974,0.00181852797847,0.0477407352893,7.1893511835e+41,103.632653061,0.269736842105
millet,5,0.00698324022346,0.388437308561,0.0,0.00196732221298,1.22070685991e+39,89.0,1.0
burger,18,0.0251396648045,0.457881406169,1.07820452583e-05,0.0109470202323,3.78038857058e+40,138.944444444,0.816666666667
currant,15,0.0209497206704,0.460249247959,8.22054768313e-06,0.00866667591316,2.36903002921e+40,143.733333333,0.576923076923
marinade,4,0.00558659217877,0.374542654704,5.5810111676e-08,0.00137260932486,5.94361077715e+38,82.5,0.0
spaghetti,22,0.0307262569832,0.470903165736,2.26537946954e-05,0.0131848481092,5.48350369141e+40,138.5,0.521052631579
almond_extract,55,0.0768156424581,0.477215540611,0.000686129819001,0.0190375255227,1.14300705995e+41,84.4909090909,0.395500725689
powdered_sugar,7,0.00977653631285,0.409433919834,2.77291675403e-07,0.00260772656303,2.14467180286e+39,102.428571429,0.9
red_onion,176,0.245810055866,0.55843575419,0.00705616204904,0.0856008196882,2.31137106552e+42,100.1875,0.260780014617
guava,7,0.00977653631285,0.42280616781,3.20290646343e-06,0.00279790530508,2.46926904993e+39,103.428571429,0.7
sauerkraut,11,0.0153631284916,0.439781091163,1.13433047007e-06,0.00683474988475,1.47363523918e+40,156.181818182,0.777777777778
