field,count
A_Taste_of_China,90
Beyond_the_Great_Wall:_Recipes_and_Travels_in_the_Other_China,151
China_Express,217
China_Modern:_100_Cutting-Edge__Fusion-Style_Recipes_for_the_21st_Century,117
China_Moon_Cookbook,251
China:_The_Beautiful_Cookbook:_Authentic_Recipes_from_the_Culinary_Authorities_of_Beijing__Shanghai__Guangdong_and_Sichuan,232
Chinese_Cookery__25th_Anniversary_Edition:_The_Comprehensive_Guide_from_the_World_s_Best-Selling_Chinese_Cook,169
Chinese_Cooking_Class_Cookbook,107
Chinese_Cooking_for_Dummies,111
Chinese_Cooking:_Step-by-step_techniques,148
Chinese_Food_Made_Easy:_100_Simple__Healthy_Recipes_from_Easy-to-Find_Ingredients,97
Ching_s_Chinese_Food_in_Minutes,100
Ching_s_Everyday_Easy_Chinese:_More_Than_100_Quick_Healthy_Chinese_Recipes,111
Ching_s_Fast_Food:_110_Quick_and_Healthy_Chinese_Favourites,108
Classic_Chinese_Cuisine__Revised_and_Updated_Edition,221
Cooking_of_China_(Foods_of_the_World),116
Dim_Sum:_Delicious_Finger_Food_from_China_and_South-East_Asia,33
Dim_Sum:_The_Art_of_the_Chinese_Tea_Lunch,72
Easy_Chinese_Recipes:_Family_Favorites_from_Dim_Sum_to_Kung_Pao,82
Every_Grain_of_Rice:_A_Taste_of_Our_Chinese_Childhood_in_America,100
Every_Grain_of_Rice:_Simple_Chinese_Home_Cooking,210
Foolproof_Chinese_Cookery,41
Foolproof_Chinese_Cooking,41
Fragrant_Harbour_Taste:_The_New_Chinese_Cooking_of_Hong_Kong,173
Gok_Cooks_Chinese:_Over_80_Fabulously_Simple_Dishes_from_Gok_s_Family_Recipe_Book,82
Introducing_Chinese_Casserole_Cookery,99
Ken_Hom_s_Hot_Wok:_Over_150_One-Pan_Wonders,157
Ken_Hom_s_Quick_Easy_Chinese_Cooking,89
Kylie_Kwong_s_Simple_Chinese_Cooking_Class,138
Kylie_Kwong__Recipes_and_Stories,83
Land_of_Plenty:_A_Treasury_of_Authentic_Sichuan_Cooking,144
Martin_Yan_s_China,101
Martin_Yan_s_Chinatown_Cooking:_200_Traditional_Recipes_from_11_Chinatowns_Around_the_World,198
Martin_Yan_s_Feast:_The_Best_of_Yan_Can_Cook,247
Mastering_the_Art_of_Chinese_Cooking,173
Mission_Street_Food:_Recipes_and_Ideas_from_an_Improbable_Restaurant,48
Mrs._Chiang_s_Szechwan_Cookbook:_Szechwan_Home_Cooking,95
Mrs._Ma_s_Chinese_Cook_Book,208
My_China:_A_Feast_for_All_the_Senses,79
Oriental_Dinner_Party_Cookbook,180
Pacific_Flavors:_Oriental_Recipes_for_a_Contemporary_Kitchen,159
Quick_and_Easy_Chinese_Cooking:_70_Everyday_Recipes,78
Revolutionary_Chinese_Cookbook:_Recipes_From_Hunan_Province,144
Serve_the_People:_A_Stir-Fried_Journey_Through_China,29
Shark_s_Fin_and_Sichuan_Pepper:_A_Sweet-Sour_Memoir_of_Eating_in_China,12
Sichuan_Cookery,145
Simple_Chinese_Cooking,123
Stir-Frying_to_the_Sky_s_Edge:_The_Ultimate_Guide_to_Mastery__with_Authentic_Recipes_and_Stories,105
Susanna_Foo_Chinese_Cuisine:_The_Fabulous_Flavors_and_Innovative_Recipes_of_North_America_s_Finest_Chinese_Cook,151
Susanna_Foo_Fresh_Inspiration:_New_Approaches_to_Chinese_Cuisine,187
The_Best_of_Gourmet_1994:_Featuring_the_Flavors_of_China,486
The_Breath_of_a_Wok:_Unlocking_The_Secrets_of_Chinese_Wok_Cooking_Through_Recipes_and_Lore,121
The_Chinese_Cookbook,243
The_Chinese_Kitchen:_Recipes__Techniques__Ingredients__History__and_Memories_from_America_s_Leading_Authority_on_Chinese_Cooking,254
The_Chinese_Takeout_Cookbook:_Quick_and_Easy_Dishes_to_Prepare_at_Home,82
The_Food_of_China,174
The_Frugal_Gourmet_Cooks_Three_Ancient_Cuisines:_China__Greece_and_Rome,428
The_Key_to_Chinese_Cooking,307
The_Modern_Art_of_Chinese_Cooking,174
The_Seventh_Daughter:_My_Culinary_Journey_from_Beijing_to_San_Francisco,76
The_Shun_Lee_Cookbook:_Recipes_from_a_Chinese_Restaurant_Dynasty,94
The_Thousand_Recipe_Chinese_Cookbook,1067
The_Wisdom_of_the_Chinese_Kitchen:_Classic_Family_Recipes_for_Celebration_and_Healing,151
The_Yan_Can_Cook_Book,214
Yan-Kit_s_Classic_Chinese_Cookbook,149
