node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,5,0.00649350649351,0.400285808508,0,-2.5810114881,3.3948902148e+63,278.4,1.0
whiting,21,0.0272727272727,0.447951777586,-6.29311088757,-1.92042814947,7.11206597441e+64,336.666666667,0.909523809524
sunflower_oil,14,0.0181818181818,0.439915433404,-7.62078919476,-2.13384185947,2.66174411843e+64,298.428571429,0.967032967033
mackerel,9,0.0116883116883,0.432727272727,-6.7790583044,-2.27331828505,1.40028737702e+64,372.444444444,0.722222222222
roe,57,0.074025974026,0.469888379895,-4.14500180929,-1.57746984869,3.45070892286e+65,246.070175439,0.775062656642
olive,14,0.0181818181818,0.44404609475,-5.925935831,-2.16004918483,2.35912741724e+64,283.142857143,0.868131868132
parmesan,0,0.0,0.0,0,0,1.0,0.0,0.0
barbecue,0,0.0,0.0,0,0,1.0,0.0,0.0
fish_steak,26,0.0337662337662,0.456916996047,-5.7949727956,-1.852154949,9.73959034579e+64,310.461538462,0.916923076923
hominy_grits,2,0.0025974025974,0.37320897817,0,-3.13617483823,2.63329760647e+62,204.0,1.0
freshwater_fish,7,0.00909090909091,0.429359745313,-7.70055677185,-2.3728413671,8.85460694454e+63,354.428571429,0.952380952381
liquorice,44,0.0571428571429,0.469555125725,-4.59360845172,-1.69390897367,2.01850423086e+65,247.340909091,0.807610993658
grape,77,0.1,0.482560296846,-3.88126147083,-1.48328522197,5.32446206667e+65,219.831168831,0.700956937799
peanut,200,0.25974025974,0.537833247175,-2.86890874132,-1.1364006613,2.63051757056e+66,172.19,0.531909547739
dumpling,41,0.0532467532468,0.46298792117,-5.95662981973,-1.64309128929,2.55074703389e+65,305.487804878,0.962195121951
sashimi,27,0.0350649350649,0.455659137834,-5.64664537248,-1.89477496329,8.00383680298e+64,258.444444444,0.925925925926
stilton,0,0.0,0.0,0,0,1.0,0.0,0.0
couscous,29,0.0376623376623,0.453785282572,-4.77224587313,-1.91398996984,7.32599487874e+64,222.896551724,0.810344827586
black_olive,44,0.0571428571429,0.464938712972,-4.67932362397,-1.67594941698,2.19254617222e+65,252.045454545,0.845665961945
cress,22,0.0285714285714,0.441971112999,-5.12258193593,-2.05463503285,3.83333673634e+64,212.0,0.844155844156
purple_amaranth,4,0.00519480519481,0.385374113663,0,-2.82388097378,1.10938872062e+63,189.25,1.0
pork_belly,123,0.15974025974,0.503094777563,-3.47771361875,-1.28984030179,1.29766931402e+66,205.089430894,0.689057710249
ingredient,309,0.401298701299,0.591664635632,-1.76248550522,-1.0489020729,3.9358312174e+66,132.097087379,0.327848526878
lima_bean,55,0.0714285714286,0.469222343921,-4.52110715194,-1.58481494207,3.33593648886e+65,250.054545455,0.812794612795
peanut_butter,125,0.162337662338,0.504244270581,-3.2871378347,-1.29920207057,1.24291269115e+66,198.696,0.635483870968
self-rising_flour,34,0.0441558441558,0.464938712972,-4.29452002483,-1.8817592188,8.49823560051e+64,212.705882353,0.675579322638
ouzo,13,0.0168831168831,0.409698469847,-5.16508645375,-2.34864471699,9.8981301859e+63,163.615384615,0.730769230769
pak_choi,130,0.168831168831,0.506171809842,-3.62613315639,-1.2576965644,1.50470491252e+66,207.176923077,0.714967203339
red_snapper,61,0.0792207792208,0.477685950413,-4.50049840037,-1.52844663431,4.3246807611e+65,255.68852459,0.849726775956
nectar,24,0.0311688311688,0.453164084376,-4.08608431392,-2.03003338904,4.2932100101e+64,222.875,0.630434782609
asparagus,153,0.198701298701,0.517244318182,-3.10016815068,-1.22287901515,1.76638659803e+66,188.784313725,0.609821121431
egg_noodle,111,0.144155844156,0.49519276535,-3.9032665243,-1.31434562387,1.15918789194e+66,215.117117117,0.753808353808
vegetable_oil,298,0.387012987013,0.585387026766,-1.94408292373,-1.05002379414,3.91554851798e+66,134.919463087,0.346530178745
mandarin_orange,51,0.0662337662338,0.474264131284,-3.8810545657,-1.69603088202,1.99886878896e+65,207.921568627,0.666666666667
