field,count
Afternoon_tea,70
Algerian,2
Appetizers_/_starters,227
Asian,166
Austrian,72
Baked_&_steamed_desserts,26
Balkan,6
Basque,8
Belgian,55
Beverages_/_drinks_(no-alcohol),23
Bread_&_buns__sweet,53
Bread_&_rolls__savory,300
Breakfast_/_brunch,67
British,2
Brownies__slices_&_bars,2
Bulgarian,13
Cajun_&_Creole,1
Cakes__large,70
Cakes__small,12
Canadian,13
Canapés_/_hors_d'oeuvre,3
Candy_/_sweets,14
Catalan,2
Central_Southern_States,8
Cheesecakes,7
Chinese,2
Christmas,43
Chutneys__pickles_&_relishes,16
Cocktails_/_drinks_(with_alcohol),33
Cookies__biscuits_&_crackers,26
Cooking_ahead,29
Cooking_for_1_or_2,10
Cooking_for_a_crowd,21
Crumbles__cobblers__crisps_&_bettys,8
Curry,5
Cypriot,1
Czech,17
Danish,74
Dessert,350
Dinner_parties/entertaining,32
Dips__spreads_&_salsas,57
Dressings_&_marinades,31
Dutch,77
East_European,3
Easter,4
Egg_dishes,61
Egyptian,17
English,79
Estonian,3
European,46
Fall_/_autumn,5
Finnish,42
French,546
Fried_doughs,41
Frostings_&_fillings,8
German,144
Greek,113
Grills_&_BBQ,91
Halloween,2
Hungarian,45
Ice_cream_&_frozen_desserts,20
Icelandic,8
Indonesian,1
Irish,56
Israeli,2
Italian,290
Jams__jellies_&_preserves,10
Japanese,1
Jewish,9
Korean,3
Lebanese,2
Lithuanian,2
Lunch,12
Main_course,1472
Malaysian,2
Mediterranean,33
Mexican,1
Middle_Eastern,18
Moroccan,48
Mousses__trifles__custards_&_creams,59
Native_American,3
North_African,3
North_American,53
Norwegian,52
Pancakes__waffles_&_crêpes,47
Pasta__baked,10
Pasta__doughs_&_sauces,56
Pasta__filled,7
Persian,1
Picnics_&_outdoors,5
Pies__tarts_&_pastries,132
Pizza_&_calzones,32
Polish,37
Portuguese,57
Quick_/_easy,19
Rice_dishes,73
Romanian,16
Russian,62
Salads,122
Sandwiches_&_burgers,22
Sauces_for_desserts,10
Sauces_for_fish,70
Sauces_for_meat,25
Sauces_for_poultry,17
Sauces__general,48
Scandinavian,5
Scottish,61
Serbian,11
Side_dish,243
Slovenian,1
Small_plates_-_tapas__meze,52
Snacks,12
Soups,182
Spanish,182
Spring,14
Stews_&_one-pot_meals,272
Stir-fries,22
Stocks,10
Stuffing,41
Summer,19
Suppers,13
Swedish,111
Swiss,40
Syrian,4
Thai,3
Tunisian,10
Turkish,57
Ukrainian,3
Vegan,212
Vegetarian,590
Vietnamese,1
Welsh,20
Winter,25
Yugoslav,19
