field,count
Albert_Roux,131
Amanda_Hesser,234
American_Friends_of_France,201
Andr_Domin,182
Andre_J_Cointreau,295
Andrew_Friedman,157
Anne_E._McBride,113
Anne_Willan,918
Anthony_Bourdain,120
Australian_Women_s_Weekly,135
B_atrice_Peltre,104
Bernard_Clayton,81
Carole_Clements,212
Carole_Manchester,19
Christine_Ferber,219
Christopher_Kimball,384
Clotilde_Dusoulier,181
Damien_Pignolet,269
Daniel_Galmiche,115
Daniel_Young,214
David_Lebovitz,50
Diane_Rossen_Worthington,42
Dorie_Greenspan,560
Edouard_de_Pomiane,493
Elizabeth_David,1581
Ellise_Pierce,122
Fran_Warde,230
Georgeanne_Brennan,420
Geraldene_Holt,202
Ginette_Mathiot,1397
Gourmet_Magazine_Editors,353
Guillaume_Brahimi,79
Ina_Garten,93
Jacqueline_Saulnier,91
Jacques_Gantie,226
Jacques_P_pin,1559
James_Peterson,399
Jane_Grigson,387
Jane_Webster,37
Jean-Andr_Charial,35
Jean-Charles_Vaillant,488
Jean-Francis_Quaglia,123
Jean-Francois_Boily,55
Jo_l_Robuchon,730
Joan_Nathan,197
John_Burton_Race,102
Julia_Child,539
Julia_Moskin,194
Justin_North,327
Keith_Floyd,284
Larousse_Editors,3880
Laura_Calder,394
Laurent_Gras,57
Linda_Dannenberg,280
Linda_Majzlik,136
Lou_Jones,106
Luke_Nguyen,111
Lydie_Marshall,190
Madeleine_Kamman,227
Manu_Feildel,127
Marianne_Comolli,254
Martha_Rose_Shulman,220
Martine_Anglade,172
Michael_Paul,23
Michael_Roberts,170
Michel_Gu_rard,335
Michel_Roux,227
Michele_Scicolone,129
Mireille_Guiliano,334
Mireille_Johnston,199
Orlando_Murrin,91
Pamela_Mazzola,193
Parragon_Books,30
Patricia_Wells,1054
Paul_Aratow,1184
Paul_Bocuse,199
Paula_Wolfert,245
Paule_Neyrat,192
Rachel_Khoo,144
Raymond_Blanc,368
Raymond_Sokolov,186
Riad_Nasr,123
Richard_Grausman,720
Richard_Olney,695
Rick_Stein,173
Russell_Blaikie,165
Sarah_Leah_Chase,156
Sarah_Randell,177
Saveur_Magazine,125
Serge_Dansereau,225
Seymour_Britchky,341
Shannon_Bennett,373
Simon_Griffiths,88
Simone_Beck,1925
Sondra_Bernstein,158
St_phane_Reynaud,1158
Susan_Herrmann_Loomis,480
The_French_Culinary_Institute,186
The_Picayune,1690
Time-Life_Books,339
Virginia_Willis,360
Will_Guidara,376
Williams-Sonoma,47
