field,count
African,7
Afternoon_tea,598
Algerian,10
Appetizers_/_starters,3676
Argentinian,2
Armenian,5
Asian,52
Australian,12
Austrian,14
Baked_&_steamed_desserts,739
Basque,69
Belgian,39
Beverages_/_drinks_(no-alcohol),126
Brazilian,2
Bread_&_buns__sweet,164
Bread_&_rolls__savory,433
Breakfast_/_brunch,524
British,29
Brownies__slices_&_bars,22
Cajun_&_Creole,1739
Cakes__large,792
Cakes__small,234
Cambodian,1
Canadian,8
Canapés_/_hors_d'oeuvre,787
Candy_/_sweets,242
Caribbean,11
Catalan,34
Central_American,1
Central_Asian,1
Central_Southern_States,347
Cheesecakes,30
Children_&_baby_food,8
Children's_parties,20
Chili,4
Chinese,19
Christmas,146
Chutneys__pickles_&_relishes,206
Cocktails_/_drinks_(with_alcohol),299
Cookies__biscuits_&_crackers,523
Cooking_ahead,1817
Cooking_for_1_or_2,160
Cooking_for_a_crowd,158
Crumbles__cobblers__crisps_&_bettys,43
Cuban,2
Curry,46
Czech,1
Dairy-free,137
Danish,4
Dessert,5803
Dinner_parties/entertaining,981
Dips__spreads_&_salsas,766
Dressings_&_marinades,780
Dutch,1
East_African,1
East_European,6
Easter,28
Egg_dishes,1498
Egg-free,4
Egyptian,2
English,72
European,20
Fall_/_autumn,537
Finnish,1
French,29039
Fried_doughs,273
Frostings_&_fillings,251
General_health_conditions,2
Georgian,1
German,69
Gluten-free,1
Greek,45
Grills_&_BBQ,419
Guadeloupean,1
Halloween,10
Hanukkah,2
Hungarian,15
Ice_cream_&_frozen_desserts,813
Icelandic,1
Indian,29
Indonesian,1
Irish,12
Italian,415
Jamaican,1
Jams__jellies_&_preserves,608
Japanese,20
Jewish,214
Korean,1
Kurdish,1
Lebanese,4
Low_calorie,46
Low_carb,1
Low_fat,399
Low_salt,2
Low_sugar,8
Lunch,591
Main_course,13249
Malagasy,1
Malaysian,2
Mediterranean,434
Mexican,37
Middle_Eastern,33
Monacan,6
Moroccan,35
Mousses__trifles__custards_&_creams,1128
New_Zealand,3
North_African,40
North_American,138
Norwegian,8
Other_Jewish_holidays,11
Pancakes__waffles_&_crêpes,429
Passover,14
Pasta__baked,58
Pasta__doughs_&_sauces,390
Pasta__filled,66
Persian,4
Peruvian,2
Picnics_&_outdoors,105
Pies__tarts_&_pastries,2367
Pizza_&_calzones,88
Polish,18
Portuguese,15
Puerto_Rican,2
Quick_/_easy,1423
Rice_dishes,480
Russian,36
Salads,1804
Sandwiches_&_burgers,209
Sauces_for_desserts,541
Sauces_for_fish,372
Sauces_for_meat,377
Sauces_for_poultry,161
Sauces__general,1846
Scandinavian,16
Scottish,5
Seasonal,1
Senegalese,1
Side_dish,5025
Small_plates_-_tapas__meze,70
Snacks,149
Soups,1990
South_American,4
Spanish,98
Spice_/_herb_blends_&_rubs,108
Spring,557
Stews_&_one-pot_meals,2352
Stir-fries,28
Stocks,414
Stuffing,187
Summer,1194
Suppers,108
Swedish,4
Swiss,33
Syrian,3
Tahitian,1
Thai,9
Thanksgiving,46
Tunisian,14
Turkish,19
Valentine's_Day_/_romantic,18
Vegan,2075
Vegetarian,8224
Vietnamese,125
Welsh,3
West_African,2
West_Indian,2
Winter,554
