node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,17,0.0172588832487,0.485912513707,4.94443322496e-06,0.00538817887979,2.31091683987e+63,240.0,0.504761904762
pheasant,114,0.115736040609,0.521762746937,0.00111957544896,0.0347399008952,9.6068607675e+64,185.649122807,0.440154440154
whiting,113,0.114720812183,0.521762746937,0.000272518774849,0.0373027415731,1.10768450001e+65,200.10619469,0.501064701065
sunflower_oil,117,0.118781725888,0.524827023614,0.000726418602073,0.0345017181439,9.47539216488e+64,181.94017094,0.348588863463
mackerel,87,0.0883248730964,0.507748458279,0.000234352758878,0.0298524985458,7.0940628465e+64,208.356321839,0.496078431373
ale,46,0.0467005076142,0.502043419422,0.00206823080877,0.0162471337212,2.10123731783e+64,236.239130435,0.455602536998
roe,150,0.152284263959,0.536279877375,0.000848272389353,0.0476993121877,1.81111664022e+65,193.4,0.425170068027
tartar_sauce,31,0.0314720812183,0.480920261853,2.32913831188e-05,0.0101590267078,8.215572696e+63,198.64516129,0.583743842365
wood_sorrel,158,0.160406091371,0.536865655504,0.00113297332593,0.0418124161994,1.39168694343e+65,151.303797468,0.307692307692
claret,45,0.0456852791878,0.499492385787,5.05092289747e-05,0.0147511521915,1.73211311508e+64,216.244444444,0.542635658915
celery_salt,39,0.0395939086294,0.490519468677,4.39043135214e-05,0.0143945507469,1.64933461454e+64,237.179487179,0.552552552553
anchovy_sauce,19,0.0192893401015,0.471689546655,4.02415279111e-06,0.00571517828521,2.6000032133e+63,191.526315789,0.698529411765
poppy_seed,74,0.0751269035533,0.51304854657,0.000214594757705,0.0228057769636,4.1398456306e+64,205.513513514,0.433881064163
fish_steak,12,0.0121827411168,0.465877258402,2.10858713476e-06,0.004547076263,1.64591494784e+63,267.666666667,0.755555555556
freshwater_fish,30,0.0304568527919,0.494965264465,7.84725154399e-06,0.0122807290988,1.20055865163e+64,288.966666667,0.645502645503
liquorice,31,0.0314720812183,0.493474405235,9.16221207961e-05,0.0103871518691,8.58789945281e+63,235.483870968,0.514778325123
crystallized_fruit,86,0.0873096446701,0.512246490479,0.000149196689036,0.0204062876548,3.31419551026e+64,169.906976744,0.529546758462
corn cob,5,0.00507614213198,0.431519321874,3.69627448907e-07,0.00117684972792,1.10249099409e+62,191.8,0.333333333333
ice,6,0.00609137055838,0.411297495911,1.23561202941e-06,0.00115729016229,1.0660870384e+62,130.0,0.333333333333
grape,188,0.190862944162,0.546719140839,0.00207692168602,0.0515454612235,2.1148487472e+65,168.015957447,0.334786399303
peanut,147,0.14923857868,0.535403603066,0.000893052406178,0.0417601738584,1.38810540768e+65,175.884353741,0.377777777778
muscadine,12,0.0121827411168,0.463024500814,8.55475475757e-07,0.00383831155961,1.17270235082e+63,217.666666667,0.666666666667
sashimi,56,0.0568527918782,0.492979445952,3.93239756477e-05,0.0197309907217,3.0989726633e+64,216.821428571,0.575122292103
geranium,34,0.0345177664975,0.494716162672,1.85792026257e-05,0.01211062839,1.16748024748e+64,239.205882353,0.512096774194
tournedos,43,0.043654822335,0.496716025886,1.84677638125e-05,0.0157964232309,1.98633541137e+64,240.837209302,0.6
starter,31,0.0314720812183,0.490764361073,4.72476591153e-05,0.00928948018571,6.8687739026e+63,212.032258065,0.51724137931
couscous,113,0.114720812183,0.521762746937,0.000224538474554,0.0390518299926,1.21396508174e+65,211.17699115,0.476822276822
black_olive,187,0.189847715736,0.535987467409,0.00174605229006,0.0488346947831,1.89842543494e+65,147.256684492,0.305581668625
cress,94,0.0954314720812,0.515469855914,0.000105948645211,0.0356835805419,1.01359180764e+65,236.446808511,0.557811753464
pork_belly,158,0.160406091371,0.530205509832,0.000602388112061,0.046518199629,1.72257640206e+65,171.708860759,0.413482216708
ingredient,164,0.166497461929,0.520381691492,0.00617441334165,0.0222114579268,3.92661112875e+64,85.0304878049,0.131354957442
malmsey,8,0.00812182741117,0.414069509363,5.45004903451e-08,0.0018002892615,2.5796775405e+62,143.875,0.933333333333
caraway,36,0.0365482233503,0.499238707582,2.27485929165e-05,0.0135637711188,1.46448112821e+64,254.666666667,0.529411764706
lima_bean,73,0.0741116751269,0.507224466062,0.000117034706624,0.0248369729909,4.91062394686e+64,214.438356164,0.517907444668
castor_sugar,176,0.178680203046,0.536279877375,0.0026131885926,0.0315020444732,7.89824851929e+64,117.636363636,0.276858680486
mince,46,0.0467005076142,0.504103084733,3.58191077081e-05,0.0174564270096,2.42573182667e+64,256.97826087,0.552854122622
offal,16,0.0162436548223,0.471237303561,1.17565178846e-06,0.00605505956379,2.91862979237e+63,258.375,0.736263736264
kidney_bean,97,0.0984771573604,0.509063187586,0.000116865953768,0.0326792567067,8.50129469542e+64,203.422680412,0.543337066069
self-rising_flour,70,0.0710659898477,0.510384743109,0.000262791247492,0.0178572119249,2.5380402153e+64,182.085714286,0.413959613696
challah,10,0.010152284264,0.435920627596,4.59851081292e-07,0.00222767189061,3.94948487962e+62,180.3,0.678571428571
chitterlings,27,0.0274111675127,0.486634165955,3.75161820501e-06,0.0110295920918,9.6840017445e+63,270.407407407,0.693333333333
porgy,52,0.0527918781726,0.499492385787,1.90348250651e-05,0.020364434605,3.30128566556e+64,252.403846154,0.717551020408
nectar,38,0.038578680203,0.501275377475,2.73586648509e-05,0.0130697932709,1.35967653029e+64,240.868421053,0.504761904762
asparagus,197,0.2,0.547938135579,0.00180117686354,0.052443992999,2.18936227035e+65,152.081218274,0.305683320116
egg_noodle,48,0.048730964467,0.502299956683,3.16686611641e-05,0.0183533812469,2.68142655061e+64,254.479166667,0.583574879227
ratafia,14,0.0142131979695,0.469436970023,4.24682734087e-06,0.00395199512354,1.24316724512e+63,210.0,0.5
cane_sugar,80,0.0812182741117,0.507486326912,0.000134629904206,0.0218846344846,3.81197088937e+64,186.875,0.484848484848
pea,199,0.202030456853,0.537746726055,0.00183107510253,0.0512632839453,2.09194439279e+65,143.346733668,0.285558893608
smoked_haddock,51,0.0517766497462,0.504620644368,3.05167672204e-05,0.0193797940776,2.9896868645e+64,253.235294118,0.553571428571
prosciutto,177,0.179695431472,0.538041059238,0.00122529466155,0.0530953739642,2.24410915758e+65,178.418079096,0.373793103448
haricot,112,0.113705583756,0.511446938204,0.000304936779403,0.032715473472,8.52010433557e+64,170.571428571,0.426021684737
feijoa,11,0.0111675126904,0.402045405001,3.35116960462e-07,0.00189993797719,2.87270423818e+62,131.0,0.916666666667
quahog,12,0.0121827411168,0.463898544232,1.93104170849e-06,0.00370179279096,1.09083765485e+63,214.916666667,0.6
beet_green,54,0.0548223350254,0.502556756252,4.23612177556e-05,0.0194426593875,3.00917765222e+64,239.796296296,0.545248868778
pea_flour,3,0.00304568527919,0.312262075994,0.0,3.30510552472e-05,8.69648413693e+58,6.33333333333,0.0
scampi,79,0.0802030456853,0.513584647455,7.84388270744e-05,0.0301773286021,7.24918582275e+64,245.556962025,0.56015037594
rack,29,0.0294416243655,0.487841694902,4.04722690897e-06,0.0125313238277,1.25007148164e+64,288.689655172,0.794871794872
dessert_wine,31,0.0314720812183,0.493722257774,2.36591696591e-05,0.00925357543289,6.81554514989e+63,226.580645161,0.522167487685
batter,22,0.0223350253807,0.45216238051,1.05113909664e-06,0.00655666836676,3.42208133018e+63,179.0,0.857894736842
viola,21,0.0213197969543,0.478113334255,2.00055097152e-06,0.00759351543696,4.58977830503e+63,234.619047619,0.801169590643
pork,231,0.234517766497,0.555681749705,0.00355269024459,0.0572760360467,2.61143241145e+65,141.251082251,0.286830613652
sultana,125,0.126903553299,0.527927505493,0.000436883716339,0.0353078047287,9.92278348062e+64,182.288,0.388244702119
tomato_sauce,126,0.127918781726,0.516553344839,0.00054235640852,0.0331419847958,8.74372408421e+64,149.650793651,0.33136637818
lemon_curd,24,0.0243654822335,0.480920261853,3.47083197016e-06,0.005984859286,2.85070256075e+63,199.0,0.766233766234
almond,249,0.252791878173,0.561394069234,0.00718695693696,0.0422862032645,1.42316849953e+65,107.746987952,0.214838221257
bacon,243,0.246700507614,0.551937684014,0.00744221705558,0.04984798822,1.9780319101e+65,114.020576132,0.207814661134
