node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,17,0.0153985507246,0.483758079806,-5.48469033785,-2.32599085089,2.55064788898e+70,269.352941176,0.514285714286
pheasant,123,0.111413043478,0.520794378921,-3.07887730706,-1.47163033717,1.30434681233e+72,212.235772358,0.473966942149
whiting,123,0.111413043478,0.521287088835,-3.75250496308,-1.44794921104,1.4546913706e+72,224.365853659,0.508953168044
sunflower_oil,136,0.123188405797,0.526265953103,-3.18965390293,-1.44472217405,1.47640042313e+72,206.669117647,0.3716754573
mackerel,89,0.080615942029,0.504579169321,-3.75247672075,-1.57396453764,8.14216829195e+71,233.348314607,0.511093290564
ale,50,0.0452898550725,0.501365289262,-2.70118040183,-1.81697161773,2.65897266482e+71,257.84,0.461879432624
roe,162,0.146739130435,0.535211707527,-3.14097887482,-1.34769396171,2.30815006437e+72,215.925925926,0.432468553459
olive,240,0.217391304348,0.547170261071,-2.80445161264,-1.25162851039,3.59260145813e+72,166.708333333,0.311208027515
tartar_sauce,32,0.0289855072464,0.478506689447,-4.77056301777,-2.03347161994,9.81127511505e+70,225.125,0.609195402299
wood_sorrel,172,0.155797101449,0.534692336631,-3.04230969641,-1.39671162355,1.84178945785e+72,169.738372093,0.321475809259
claret,51,0.0461956521739,0.4986429438,-4.32475712097,-1.84013199313,2.38998873578e+71,238.31372549,0.528911564626
anchovy_sauce,20,0.018115942029,0.469736106478,-5.54127179992,-2.27593974433,3.21193816453e+70,215.25,0.732026143791
poppy_seed,82,0.0742753623188,0.511844359404,-3.66018134123,-1.65222424532,5.67776804809e+71,230.268292683,0.442721518987
fish_steak,12,0.0108695652174,0.465765387066,-5.9484651311,-2.40587073987,1.76580313381e+70,299.0,0.777777777778
Irish_whiskey,23,0.0208333333333,0.480593504491,-4.97760805322,-2.33852588398,2.40736308368e+70,196.739130435,0.509523809524
liquorice,35,0.0317028985507,0.493285991852,-4.04713521928,-1.98979519618,1.19959327001e+71,261.742857143,0.524621212121
crystallized_fruit,89,0.080615942029,0.508303000829,-3.91555485242,-1.73909093588,3.80528462272e+71,185.685393258,0.529537556803
corn cob,5,0.00452898550725,0.432836176668,-6.56424312626,-2.98095659715,1.24956596e+69,221.0,0.333333333333
grape,216,0.195652173913,0.547714167891,-2.66786687608,-1.29851288993,2.89467255659e+72,180.143518519,0.324294677724
flounder,73,0.0661231884058,0.505505002659,-4.27690296813,-1.66218408107,5.42366781599e+71,236.315068493,0.560965794769
sparerib,67,0.0606884057971,0.4986429438,-4.41621805494,-1.68253465956,4.93850401174e+71,248.029850746,0.590384615385
peanut,151,0.136775362319,0.531340841754,-3.18699241845,-1.42136658682,1.64396186451e+72,197.006622517,0.397514964629
cheese_spread,11,0.00996376811594,0.469535963271,-5.96530640661,-2.46600978355,1.33861755216e+70,297.909090909,0.555555555556
romaine_lettuce,160,0.144927536232,0.527525565245,-3.30274429541,-1.33883368332,2.40433308758e+72,215.96875,0.470611948722
muscadine,12,0.0108695652174,0.460510198829,-6.33228309015,-2.46791731692,1.32679142742e+70,245.916666667,0.688888888889
sashimi,59,0.0534420289855,0.495726903193,-4.49492690924,-1.73025710942,3.96405217038e+71,251.86440678,0.603383458647
Gorgonzola,58,0.0525362318841,0.501137292313,-4.24197736066,-1.80146747433,2.85565042668e+71,225.051724138,0.440909090909
tournedos,48,0.0434782608696,0.497966970536,-4.77903859154,-1.81590711259,2.67211205429e+71,265.3125,0.609661835749
