field,count
A_Table_in_the_Tarn:_Living__Eating_and_Cooking_in_Rural_France,91
A_Vegan_Taste_of_France,136
Alain_Ducasse_Nature:_Simple__Healthy__and_Good:_190_Recipes_from_a_French_Master_Chef,192
American_Brasserie:_180_Simple__Robust_Recipes_Inspired_by_the_Rustic_Foods_of_France__Italy_and_America,194
Anthony_Bourdain_s_Les_Halles_Cookbook:_Strategies__Recipes__and_Techniques_of_Classic_Bistro_Cooking,120
Around_My_French_Table:_More_Than_300_Recipes_from_My_Home_to_Yours,342
At_Home_with_the_French_Classics:_Great_French_Recipes_Updated_and_Simplified_for_the_Contemporary_American_Kitchen,361
At_My_French_Table:_Food__Family_and_Joie_de_Vivre_in_a_Corner_of_Normandy,37
Au_Pied_de_Cochon:_The_Album:_A_Cookbook_from_the_Celebrated_Restaurant,55
Barefoot_In_Paris:_Easy_French_Food_You_Can_Make_At_Home,93
Basic_to_Brilliant__Y_all:_150_Refined_Southern_Recipes_and_Ways_to_Dress_Them_Up_for_Company,360
Bistro_Cooking,196
Bistros_and_Brasseries:_Recipes_and_Reflections_on_Classic_Cafe_Cooking,106
Boulevard:_The_Cookbook,193
Chanterelle:_The_Story_and_Recipes_of_a_Restaurant_Classic,157
Charcuterie_and_French_Pork_Cookery_(Revised),387
Chez_Jacques:_Traditions_and_Rituals_of_a_Cook,93
Chez_Nous:_Home_Cooking_From_The_South_of_France,190
Chocolate_and_Zucchini:_Daily_Adventures_in_a_Parisian_Kitchen,91
Classic_French_Cooking_(Foods_of_the_World),121
Cooking_and_Travelling_In_South-West_France,88
Cooking_at_Home_on_Rue_Tatin,151
Cooking_in_Ten_Minutes:_Or_the_Adaptation_of_Cooking_to_the_Rhythm_of_Our_Time,210
Cooking_with_Pomiane,283
Cowgirl_Chef:_Texas_Cooking_with_a_French_Accent,122
Culinaria_France,182
Ducasse:_Flavors_of_France,96
Eleven_Madison_Park:_The_Cookbook,376
Elizabeth_David_Classics:_Mediterranean_Food__French_Country_Cooking__Summer_Cooking,866
Essential_Pepin:_More_Than_700_All-Time_Favorites_from_My_Life_in_Food,803
Everyday_Cooking_with_Jacques_P_pin,97
Fast_Food_My_Way,127
Floyd_on_France,284
France:_The_Beautiful_Cookbook:_Authentic_Recipes_from_the_Regions_of_France,254
French,269
French_Brasserie_Cookbook:_The_Heart_of_French_Home_Cooking,115
French_Classics_Made_Easy,359
French_Cooking_Made_Easy,135
French_Country_Cooking,231
French_Country_Kitchen,202
French_Farmhouse_Cookbook,290
French_Feasts:_299_Traditional_Recipes_for_Family_Meals_and_Gatherings,312
French_Food_Safari,79
French_Food_at_Home,179
French_Home_Cooking:_An_Introduction_to_Classic_French_Cooking,199
French_Kitchen:_Classic_Recipes_for_Home_Cooks,225
French_Leave:_Over_100_Irresistible_Recipes,102
French_Lessons:_Recipes_and_Techniques_for_a_New_Generation_of_Cooks,327
French_Provincial_Cooking,484
French_Taste:_Elegant_Everyday_Eating,215
French_Tea,19
French_Women_Don_t_Get_Fat:_The_Secret_of_Eating_For_Pleasure,49
French_Women_for_All_Seasons:_A_Year_of_Secrets__Recipes__and_Pleasure,122
French:_Williams-Sonoma_Collection,42
From_Julia_Child_s_Kitchen,299
From_My_Ch_teau_Kitchen,170
Glorious_French_Food:_A_Fresh_Approach_to_the_French_Classics,399
Great_Meals_in_Minutes:_French_Regional_Menus,104
I_Know_How_to_Cook,1397
Indochine:_Baguettes_and_Banh_Mi:_Finding_France_in_Vietnam,111
Jacques_P_pin_s_The_Art_of_Cooking__Volume_I,196
Jacques_P_pin_s_The_Art_of_Cooking__Volume_II,150
Kitchen_Secrets,107
La_Bonne_Cuisine_of_Madame_E._Saint-Ange:_The_Essential_Companion_For_Authentic_French_Cooking,1184
La_Tartine_Gourmande:_Recipes_for_an_Inspired_Life,104
La_Technique:_An_Illustrated_Guide_to_the_Fundamental_Techniques_of_Cooking,69
La_Varenne_Pratique,489
Larousse_Gastronomique,3880
Le_Cordon_Bleu_at_Home,295
Les_Petits_Macarons:_Colorful_French_Confections_to_Make_at_Home,113
Lulu_s_Provencal_Table:_The_Exuberant_Food_and_Wine_from_Domaine_Tempier_Vineyard,152
Lunch_in_Provence,35
Made_in_Marseille:_Food_and_Flavors_from_France_s_Mediterranean_Seaport,120
Manu_s_French_Kitchen,127
Mastering_the_Art_of_French_Cooking__Volume_One,605
Mastering_the_Art_of_French_Cooking__Volume_Two,228
Mastering_the_Art_of_French_Cooking__Volumes_I_II,833
Mes_Confitures:_The_Jams_and_Jellies_of_Christine_Ferber,219
Michel_Gu_rard_s_Cuisine_Gourmande,163
Michel_Gu_rard_s_Cuisine_Minceur,172
Mouthwatering_Macaroons:_For_the_ideal_bite-size_treat,30
Must_Eat,165
My_French_Vue:_Bistro_Cooking_at_Home,99
My_Provence,57
My_Vue:_Modern_French_Cookery,274
New_Menus_from_Simca_s_Cuisine,105
New_World_Provence:_Modern_French_Cooking_for_Friends_and_Family,123
On_Rue_Tatin:_Living_and_Cooking_in_a_French_Town,39
Paris_Bistro_Cooking,112
Paris_Boulangerie_P_tisserie:_Recipes_from_Thirteen_Outstanding_French_Bakeries,72
Paris_Sweets:_Great_Desserts_from_the_City_s_Best_Pastry_Shops,51
Parisian_Home_Cooking:_Conversations__Recipes_and_Tips_from_the_Cooks_and_Food_Merchants_of_Paris,170
Patricia_Wells_at_Home_in_Provence,184
Paul_Bocuse:_The_Complete_Recipes,488
Pedaling_Through_Burgundy_Cookbook,64
Pedaling_Through_Provence_Cookbook,92
Potager:_Fresh_Garden_Cooking_in_the_French_Style,60
Proven_al_Light:_Traditional_Recipes_from_Provence_for_Today_s_Healthy_Lifestyles,220
Provence:_The_Beautiful_Cookbook:_Authentic_Recipes_from_the_Regions_of_Provence,226
Quiches__Kugels__and_Couscous:_My_Search_for_Jewish_Cooking_in_France,197
R_tis:_Roasts_for_Every_Day_of_the_Week,94
Raymond_Blanc_s_Foolproof_French_Cookery,41
Recipes_from_Le_Manoir_aux_Quat_Saisons,220
Rick_Stein_s_French_Odyssey:_Over_100_New_Recipes_Inspired_by_the_Flavours_of_France,173
Ripailles:_Traditional_French_Cuisine,277
Roger_Verge_s_Vegetables_in_the_French_Style,172
Sauces:_Revised_and_Updated_Edition,227
Saveur_Cooks_Authentic_French:_Rediscovering_the_Recipes__Traditions__and_Flavors_of_the_World_s_Greatest_Cuisine,125
Savoring_France:_Recipes_and_Reflections_on_French_Cooking__(Williams-Sonoma_Savoring_Series),136
Simca_s_Cuisine,154
Simple_French_Food,182
Simple_French_Food_(UK),181
Simply_French:_Patricia_Wells_Presents_the_Cuisine_of_Jo_l_Robuchon,130
Sp_cialit_s_de_la_Maison,201
St_phane_Reynaud_s_365_Good_Reasons_to_Sit_Down_to_Eat...,368
Sweet_Paris:_A_Love_Affair_with_Parisian_Chocolate__Pastries_and_Desserts,23
Ten_Vineyard_Lunches,46
Terrine,107
The_Apprentice:_My_Life_in_the_Kitchen,24
The_Balthazar_Cookbook,123
The_Best_of_Gourmet_2002:_Featuring_the_Flavors_of_Paris,353
The_Breads_of_France:_and_How_to_Bake_Them_in_Your_Own_Kitchen,81
The_Cafe_Boulud_Cookbook:_French-American_Recipes_for_the_Home_Cook,167
The_Complete_Robuchon,730
The_Cook_and_the_Gardener:_A_Year_of_Recipes_and_Writings_for_the_French_Countryside,234
The_Cook_s_Bible:_The_Best_of_American_Home_Cooking,384
The_Cooking_of_Provincial_France_(Foods_of_the_World),114
The_Cooking_of_Southwest_France:_Recipes_from_France_s_Magnificent_Rustic_Cuisine,245
The_Country_Cooking_of_France,259
The_Cuisine_of_the_Sun:_Classical_French_Cooking_from_Nice_and_Provence,199
The_Food_Lover_s_Guide_to_Paris__Fourth_Edition,47
The_Food_Lover_s_Guide_to_Paris__Third_Edition,50
The_Food_and_Flavors_of_Haute_Provence,134
The_Food_of_France,177
The_French_Chef_Cookbook,240
The_French_Culinary_Institute_s_Salute_to_Healthy_Cooking:_From_America_s_Foremost_French_Chefs,186
The_French_Kitchen_Cookbook:_Recipes_and_Lessons_from_Paris_and_Provence,121
The_French_Kitchen:_A_Cookbook,120
The_French_Market_Cookbook:_Vegetarian_Recipes_from_My_Parisian_Kitchen,90
The_French_Market:_More_Recipes_from_a_French_Kitchen,110
The_French_Menu_Cookbook,134
The_French_Recipe_Cookbook,212
The_French_Slow_Cooker,129
The_French_Women_Don_t_Get_Fat_Cookbook,163
The_Girl_the_Fig_Cookbook:_More_Than_100_Recipes_from_the_Acclaimed_California_Wine_Country_Restaurant,158
The_Little_Paris_Kitchen:_Classic_French_Recipes_with_a_Fresh_and_Simple_Approach,144
The_Lut_ce_Cookbook,341
The_Paris_Caf_Cookbook:_Rendezvous_and_Recipes_from_50_Best_Caf_s,94
The_Paris_Cookbook,154
The_Picayune_s_Creole_Cook_Book,1690
The_Provence_Cookbook,172
The_Roux_Brothers_on_Patisserie,131
The_Saucier_s_Apprentice:_A_Modern_Guide_to_Classic_French_Sauces_for_the_Home,186
The_Sweet_Life_in_Paris:_Delicious_Adventures_in_the_World_s_Most_Glorious_-_and_Perplexing_-_City,50
The_Taste_of_France,91
The_Vegetarian_Table:_France,90
When_French_Women_Cook:_A_Gastronomic_Memoir,227
Williams-Sonoma_Foods_of_the_World:_Paris:_Authentic_Recipes_Celebrating_the_Foods_of_the_World,47
