node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,15,0.013611615245,0.435636793702,-6.66574246239,-2.38106652811,8.2404884449e+99,457.066666667,0.685714285714
pheasant,150,0.13611615245,0.482952254565,-3.24690427218,-1.46394344204,5.62589159724e+101,326.92,0.721610738255
whiting,137,0.124319419238,0.47901085967,-3.97308824288,-1.51053135472,4.53957891626e+101,321.671532847,0.726170030056
sunflower_oil,167,0.151542649728,0.487228533521,-3.55952361983,-1.42191837412,6.82717520767e+101,322.101796407,0.694322198976
mackerel,119,0.107985480944,0.472836713251,-3.89762732925,-1.54801487464,3.81988180906e+101,347.302521008,0.75032046717
ale,49,0.0444646098004,0.453825752615,-2.78884955469,-1.90696338533,7.31402889705e+100,396.448979592,0.732142857143
roe,172,0.156079854809,0.488580443991,-3.4370773748,-1.43382890055,6.46278312508e+101,302.906976744,0.644974840201
tartar_sauce,30,0.02722323049,0.433491856264,-5.02682387353,-2.17851981385,2.09429766301e+100,315.066666667,0.770114942529
bordeaux_wine,0,0.0,0.0,0,0,1.00000000736,0.0,0.0
wood_sorrel,246,0.223230490018,0.50979847138,-3.27082348178,-1.3047836683,1.17086650912e+102,272.069105691,0.581582877053
claret,50,0.0453720508167,0.453125043784,-5.2341960696,-1.91283386877,7.11891418596e+100,372.14,0.788571428571
parmesan,0,0.0,0.0,0,0,1.0,0.0,0.0
anchovy_sauce,17,0.0154264972777,0.424504320189,-8.21063648908,-2.42508892291,6.72820396819e+99,315.058823529,0.992647058824
poppy_seed,81,0.073502722323,0.464112788652,-4.22034176195,-1.72443331358,1.6951680924e+101,345.913580247,0.730555555556
fish_steak,10,0.00907441016334,0.423891169992,-6.53798591514,-2.54029644342,3.95819628787e+99,499.2,0.577777777778
freshwater_fish,29,0.0263157894737,0.443984851272,-6.08381504007,-2.06032261654,3.60947551667e+100,507.827586207,0.605911330049
liquorice,34,0.0308529945554,0.447368882151,-4.30037952877,-2.04815070823,3.81753421529e+100,421.558823529,0.778966131907
crystallized_fruit,94,0.0852994555354,0.464847919785,-4.31751437822,-1.72524071123,1.68886172611e+101,283.904255319,0.708991077557
corn cob,3,0.002722323049,0.414511280637,-7.88157131631,-3.01262085782,4.49624555814e+98,592.0,0.666666666667
grape,239,0.216878402904,0.508033444935,-2.99053973531,-1.31656807796,1.10902008029e+102,278.376569038,0.575542350832
flounder,88,0.0798548094374,0.464357573878,-4.77172816093,-1.66303792216,2.24908330755e+101,370.818181818,0.78631138976
peanut,176,0.159709618875,0.489939877614,-3.4395417063,-1.43508657119,6.42545154359e+101,295.159090909,0.62
cheese_spread,0,0.0,0.0,0,0,1.0,0.0,0.0
muscadine,10,0.00907441016334,0.419648217384,-7.16688204126,-2.59935381041,3.01561051527e+99,394.9,0.8
sashimi,62,0.0562613430127,0.45289195477,-4.98089689097,-1.82423400427,1.07056137183e+101,354.85483871,0.808038075093
geranium,33,0.029945553539,0.444657555592,-5.88932124098,-2.06730839058,3.49514539294e+100,397.393939394,0.82196969697
tournedos,51,0.046279491833,0.452659105436,-5.65951953053,-1.85316410534,9.37035593376e+100,431.529411765,0.82431372549
starter,30,0.02722323049,0.442868189171,-4.80580521785,-2.14523584629,2.44123685832e+100,368.6,0.825287356322
couscous,126,0.114337568058,0.475646655901,-4.2852579954,-1.53179793125,4.11606697134e+101,333.920634921,0.741206349206
black_olive,294,0.266787658802,0.524372817196,-2.93167340213,-1.25304572912,1.48587468087e+102,251.972789116,0.515706623947
cress,98,0.0889292196007,0.466572315884,-4.67895186829,-1.61155686865,2.85079779737e+101,366.693877551,0.811697875026
pork_belly,223,0.202359346642,0.50281094236,-3.58495145118,-1.32655227701,1.05918302398e+102,288.825112108,0.639478043065
ingredient,516,0.468239564428,0.602203803059,-1.94914520632,-1.13871821623,2.51553969293e+102,171.147286822,0.255226913524
lingonberry,8,0.00725952813067,0.416275158427,-7.31352621991,-2.66504079709,2.22845937502e+99,461.0,0.642857142857
malmsey,6,0.005444646098,0.37965586894,0,-2.919105794,6.91609935446e+98,269.166666667,1.0
shank,21,0.019056261343,0.433065400921,-6.52096714035,-2.21929868179,1.73576171345e+100,476.333333333,0.771428571429
lima_bean,86,0.0780399274047,0.465093481285,-4.28922921499,-1.67967710268,2.08318382621e+101,367.639534884,0.736525307798
castor_sugar,356,0.323049001815,0.544815569352,-2.56297415931,-1.20924134719,1.81798584935e+102,231.146067416,0.430701060294
rump_steak,51,0.046279491833,0.453825752615,-5.32964313958,-1.87373413375,8.52345680286e+100,410.117647059,0.769411764706
jack,0,0.0,0.0,0,0,1.0,0.0,0.0
kidney_bean,104,0.0943738656987,0.464112788652,-4.48310426125,-1.62234537056,2.71260938595e+101,323.038461538,0.768110530246
quince,109,0.0989110707804,0.470310876107,-4.02583717643,-1.62194344252,2.71763896381e+101,321.165137615,0.702344546381
poultry,63,0.057168784029,0.455704948278,-5.23379792779,-1.79088890943,1.24825950441e+101,392.0,0.823860727087
demiglace,201,0.182395644283,0.496571889494,-3.76027846846,-1.36294076688,8.95765624923e+101,296.55721393,0.661940298507
edible,53,0.0480943738657,0.456177181385,-5.09816020372,-1.88452585293,8.11020090457e+100,389.641509434,0.727140783745
porgy,51,0.046279491833,0.447141676015,-5.28905835455,-1.87859052825,8.3349437978e+100,400.490196078,0.821176470588
red_snapper,101,0.0916515426497,0.466819703114,-4.39360120182,-1.61633593741,2.78874114415e+101,351.277227723,0.769504950495
nectar,40,0.0362976406534,0.451035840201,-5.65457673902,-1.97178187229,5.42650477771e+100,424.225,0.803846153846
asparagus,308,0.279491833031,0.528464561868,-2.92434443729,-1.23300130206,1.62956184605e+102,251.448051948,0.513981132874
edam,0,0.0,0.0,0,0,1.0,0.0,0.0
ratafia,12,0.010889292196,0.423483386278,-6.682778722,-2.5008902865,4.74574907807e+99,423.5,0.681818181818
cane_sugar,87,0.0789473684211,0.462163758568,-4.43793136813,-1.73087777115,1.64559107527e+101,311.126436782,0.715049452018
smoked_haddock,58,0.0526315789474,0.455233691868,-5.61085413935,-1.79502550883,1.22471021385e+101,433.465517241,0.826981246219
guar gum,20,0.0181488203267,0.432852487745,-6.06874103756,-2.32739286585,1.05510383674e+100,356.2,0.847368421053
prosciutto,229,0.20780399274,0.504829105546,-3.27580215222,-1.31576986147,1.11310469029e+102,289.19650655,0.627710104957
haricot,163,0.147912885662,0.484813854666,-3.83391343526,-1.44681696581,6.0875585926e+101,306.944785276,0.68385972885
triple_sec,0,0.0,0.0,0,0,1.0,0.0,0.0
quahog,10,0.00907441016334,0.421860067117,-6.82312829352,-2.60329649979,2.96137517018e+99,409.8,0.711111111111
