node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,124,0.11231884058,0.525111502713,-3.6905417545,-1.68854315943,1.23371869482e+111,294.943548387,0.622475740886
pheasant,10,0.00905797101449,0.436236850288,-6.30939260748,-2.808290125,7.1075794389e+108,282.6,0.911111111111
whiting,55,0.0498188405797,0.501831879421,-4.26317593439,-1.92519782703,4.1486033659e+110,404.945454545,0.804713804714
sunflower_oil,230,0.208333333333,0.556517056348,-3.3644536898,-1.37861420361,5.14131280884e+111,314.886956522,0.619821530283
mackerel,112,0.101449275362,0.523110124904,-4.37500493891,-1.61214001407,1.75395329693e+111,400.821428571,0.797458172458
ale,26,0.0235507246377,0.488220610126,-6.6559152389,-2.17159812836,1.33381924346e+110,512.307692308,0.966153846154
roe,33,0.0298913043478,0.485414744551,-5.63779943861,-2.14151131916,1.53205059418e+110,419.424242424,0.893939393939
olive,371,0.336050724638,0.599022450722,-2.73986126764,-1.21942814756,1.07016348219e+112,265.250673854,0.486952720915
tartar_sauce,195,0.176630434783,0.546272712524,-3.579116779,-1.42402184511,4.17117314044e+111,335.066666667,0.687390959556
wood_sorrel,69,0.0625,0.504367548082,-4.76200248767,-1.84592409998,5.97656324197e+110,372.768115942,0.807331628303
claret,10,0.00905797101449,0.429580654215,-6.88143243265,-2.74370242492,9.56975720466e+108,292.1,0.844444444444
anchovy_sauce,352,0.31884057971,0.592237406782,-2.82061063165,-1.23910468141,9.77455326659e+111,266.735795455,0.497814685315
poppy_seed,153,0.138586956522,0.533791031684,-3.68553787855,-1.52101241727,2.66855470396e+111,347.058823529,0.698314413485
fish_steak,2,0.0018115942029,0.409246422726,0,-3.47398427512,3.31381720476e+107,334.0,1.0
Irish_whiskey,178,0.161231884058,0.540092549028,-3.76229323986,-1.46813354716,3.4043551245e+111,330.578651685,0.699485812226
liquorice,10,0.00905797101449,0.469434866256,-7.83759303365,-2.59723801684,1.87852641904e+109,523.0,0.977777777778
crystallized_fruit,75,0.0679347826087,0.511415068549,-5.30569220111,-1.75268675515,9.18170278637e+110,436.8,0.926126126126
corn cob,648,0.586956521739,0.706114567314,-1.68598184439,-1.1061908794,1.8027203055e+112,188.615740741,0.257274791535
grape,107,0.0969202898551,0.519644179921,-4.25604468994,-1.63746664963,1.5608657452e+111,390.672897196,0.81855052019
flounder,151,0.136775362319,0.531723076113,-3.74427918651,-1.54169497614,2.42611567843e+111,333.139072848,0.668520971302
sparerib,264,0.239130434783,0.565983583595,-3.43071758885,-1.31159263204,7.0003385802e+111,308.768939394,0.635931558935
peanut,467,0.423007246377,0.632129045581,-2.17112671503,-1.18009211178,1.28269517117e+112,227.798715203,0.366608155425
cheese_spread,12,0.0108695652174,0.465060632009,0,-2.51247648282,2.77549061393e+109,514.083333333,1.0
romaine_lettuce,183,0.165760869565,0.542762309527,-3.23155170414,-1.48926176542,3.08871728764e+111,312.568306011,0.592205608599
muscadine,19,0.0172101449275,0.480949694338,0,-2.29451855335,7.57278147465e+109,530.0,1.0
sashimi,5,0.00452898550725,0.445801117407,0,-2.89928374049,4.67442375051e+108,478.6,1.0
Gorgonzola,191,0.173007246377,0.543568392165,-3.33746624914,-1.4291364264,4.07407643782e+111,336.057591623,0.700413337007
tournedos,41,0.0371376811594,0.495267547214,-5.51704336588,-2.03445938149,2.50828471169e+110,431.195121951,0.929268292683
starter,191,0.173007246377,0.544107112078,-3.13181417181,-1.44164891867,3.84595022581e+111,331.178010471,0.65389914577
couscous,495,0.448369565217,0.643238519141,-2.13435976872,-1.15193990242,1.46025595026e+112,225.365656566,0.36414345888
black_olive,37,0.0335144927536,0.488872730264,-5.11975845349,-2.05677688418,2.26328767424e+110,465.216216216,0.864864864865
cress,91,0.0824275362319,0.516223860919,-3.80626950235,-1.78151000391,8.04044371811e+110,334.021978022,0.678144078144
pork_belly,9,0.00815217391304,0.453347709403,-7.71502593061,-2.64869583303,1.4821891499e+109,476.555555556,0.944444444444
Stilton,147,0.133152173913,0.532496679037,-3.80777479199,-1.52078300516,2.67137236121e+111,363.034013605,0.756313484298
ingredient,10,0.00905797101449,0.453347709403,0,-2.69215510779,1.21336339855e+109,363.0,1.0
malmsey,56,0.0507246376812,0.498867856508,-4.58825628156,-1.98086842738,3.21043575378e+110,333.696428571,0.794805194805
Espagnole,183,0.165760869565,0.541691244289,-3.82764726558,-1.4418631346,3.84215972463e+111,342.360655738,0.720530835285
lima_bean,175,0.158514492754,0.540358342605,-4.12004868066,-1.44247702522,3.83130879934e+111,358.897142857,0.770509031199
castor_sugar,4,0.0036231884058,0.402348168624,0,-3.14645190558,1.49761654882e+108,294.5,1.0
Rioja,40,0.036231884058,0.486921575243,-5.52633597131,-2.06687771999,2.16044334004e+110,392.525,0.823076923077
rump_steak,736,0.666666666667,0.748471814706,-1.49992293485,-1.07996449913,2.03414709438e+112,173.869565217,0.219809228039
offal,10,0.00905797101449,0.464863739278,0,-2.56020555219,2.2278202251e+109,563.9,1.0
Boston_lettuce,18,0.0163043478261,0.470642156954,0,-2.45193368665,3.66804233167e+109,346.388888889,1.0
quince,115,0.104166666667,0.523110124904,-4.29128825228,-1.60819115667,1.78614396883e+111,388.956521739,0.801830663616
porgy,742,0.672101449275,0.752060378201,-1.52148040956,-1.08503755481,1.98717830257e+112,169.185983827,0.209485979099
red_snapper,15,0.0135869565217,0.461735976524,-4.79341592882,-2.58506126457,1.98691096521e+109,316.8,0.666666666667
Concord_grapes,136,0.123188405797,0.52865101212,-4.27978588781,-1.55478233263,2.28421199177e+111,359.830882353,0.760893246187
asparagus,502,0.454710144928,0.645128174015,-2.05530327104,-1.1601686634,1.40595328051e+112,220.075697211,0.344808391186
egg_noodle,213,0.192934782609,0.551208911734,-3.09864175555,-1.44877983545,3.72170928833e+111,294.488262911,0.559881300381
Triple_Sec,24,0.0217391304348,0.491059102046,-6.5794055586,-2.24253756137,9.62103077479e+109,455.333333333,0.93115942029
ratafia,3,0.00271739130435,0.434166924545,0,-3.07837904936,2.04896548005e+108,545.0,1.0
cane_sugar,95,0.0860507246377,0.517684183015,-4.73512034425,-1.67179340504,1.33263385498e+111,413.042105263,0.843896976484
linguine,35,0.0317028985507,0.493265117778,-4.90889208614,-2.16400618102,1.38129346843e+110,372.971428571,0.78487394958
smoked_haddock,149,0.134963768116,0.533013666104,-3.89452921782,-1.53038249033,2.55585287586e+111,349.510067114,0.727462361691
prosciutto,181,0.163949275362,0.541958614104,-3.17077352516,-1.4531780613,3.64707915245e+111,341.64640884,0.683855125844
haricot,4,0.0036231884058,0.452041231854,0,-2.93834275748,3.90485572212e+108,596.5,1.0
feijoa,133,0.120471014493,0.527381437163,-3.75674460091,-1.55537764037,2.27795059877e+111,373.571428571,0.778651173388
quahog,10,0.00905797101449,0.460960601248,0,-2.63401421652,1.58586809288e+109,473.9,1.0
beet_green,231,0.209239130435,0.555953494772,-3.61016546775,-1.35700213444,5.67935381366e+111,323.151515152,0.670205157162
pea_flour,80,0.0724637681159,0.512369646371,-4.52189618722,-1.7554042253,9.06752479946e+110,408.6,0.81582278481
hard_candy,12,0.0108695652174,0.45241374214,-6.73759303716,-2.56037880579,2.22607960915e+109,406.833333333,0.924242424242
rack,21,0.0190217391304,0.479270254113,-6.38713253094,-2.3575984667,5.66372290094e+109,385.523809524,0.909523809524
