field,count
Afternoon_tea,55
Appetizers_/_starters,71
Austrian,11
Baked_&_steamed_desserts,37
Beverages_/_drinks_(no-alcohol),4
Bread_&_buns__sweet,30
Bread_&_rolls__savory,13
Breakfast_/_brunch,23
Brownies__slices_&_bars,4
Cakes__large,67
Cakes__small,5
Canapés_/_hors_d'oeuvre,1
Candy_/_sweets,5
Cheesecakes,2
Christmas,44
Chutneys__pickles_&_relishes,6
Cocktails_/_drinks_(with_alcohol),16
Cookies__biscuits_&_crackers,51
Cooking_ahead,18
Cooking_for_1_or_2,8
Cooking_for_a_crowd,14
Curry,1
Danish,1
Dessert,278
Dinner_parties/entertaining,8
Dips__spreads_&_salsas,15
Dressings_&_marinades,7
Egg_dishes,34
Fall_/_autumn,3
French,9
Fried_doughs,24
Frostings_&_fillings,19
German,1363
Grills_&_BBQ,4
Ice_cream_&_frozen_desserts,22
Indian,1
Italian,9
Jams__jellies_&_preserves,2
Low_calorie,1
Lunch,21
Main_course,522
Mediterranean,1
Mexican,1
Mousses__trifles__custards_&_creams,46
Pancakes__waffles_&_crêpes,22
Pasta__baked,5
Pasta__doughs_&_sauces,15
Pasta__filled,4
Picnics_&_outdoors,2
Pies__tarts_&_pastries,51
Pizza_&_calzones,6
Polish,2
Quick_/_easy,9
Rice_dishes,12
Salads,74
Sandwiches_&_burgers,5
Sauces_for_desserts,38
Sauces_for_fish,1
Sauces_for_meat,11
Sauces_for_poultry,1
Sauces__general,39
Side_dish,212
Snacks,16
Soups,97
Spanish,1
Spring,2
Stews_&_one-pot_meals,226
Stocks,6
Stuffing,12
Summer,7
Suppers,11
Swiss,1
Vegan,32
Vegetarian,233
Winter,9
