ingredient,degree,lcc
Armagnac,6,0.714285714286
Belgian_endive,4,0.6
Beluga_caviar,4,0.6
Bermuda_onions,5,0.666666666667
Bing_cherries,12,0.74358974359
Bologna_sausages,5,0.666666666667
Brussels_sprouts,24,0.646666666667
Burgundy_wine,22,0.770750988142
Calvados,40,0.656097560976
Cognac,18,0.573099415205
Damson,6,0.714285714286
Dessert,3,0.5
French_beans,12,0.846153846154
French_bread,15,0.816666666667
Grand_Marnier,8,0.611111111111
Maraschino_cherries,18,0.760233918129
Maraschino_liqueur,13,0.703296703297
Pernod,9,0.8
Pinot_noir,15,0.875
Port_wine,37,0.615931721195
Rhine_wine,19,0.694736842105
Savoy_cabbage,48,0.747448979592
Spanish_onions,42,0.696566998893
Spanish_paprika,20,0.561904761905
Swiss_chard,6,0.714285714286
Swiss_cheese,7,0.714285714286
Tabasco_sauce,20,0.609523809524
Worcestershire_sauce,53,0.545772187282
adobo,9,0.8
ale,2,0.333333333333
allspice,70,0.538832997988
almond,138,0.310082368887
almond_extract,32,0.729166666667
anchovy,64,0.519230769231
anchovy_paste,8,0.777777777778
angelica,11,0.833333333333
aniseed,46,0.536540240518
apple,163,0.310863384707
applesauce,4,0.6
apricot,36,0.627627627628
arrack,2,0.333333333333
arrowroot,8,0.777777777778
artichoke,3,0.5
asparagus,85,0.502051983584
bacon,203,0.251666183715
basil,38,0.645074224022
bay_leaf,196,0.27913601989
bean,25,0.775384615385
beef,107,0.476289373486
beef_loin,8,0.777777777778
beef_stock,134,0.363184079602
beef_tenderloin,9,0.711111111111
beef_tongue,29,0.873563218391
beer,60,0.562841530055
beet_green,5,0.666666666667
beetroot,39,0.598717948718
berry,106,0.478398871451
bitter,20,0.785714285714
black_currant,2,0.333333333333
black_olive,6,0.714285714286
black_tea,8,0.777777777778
blackberry,24,0.68
blood_sausage,25,0.775384615385
blueberry,15,0.875
borage,29,0.855172413793
brain,9,0.8
brandy,61,0.551560021153
bread,124,0.390838709677
bread_dough,15,0.875
breast_of_veal,11,0.833333333333
brioche,5,0.666666666667
brisket,9,0.8
broth,29,0.774712643678
brown_sugar,26,0.746438746439
buckwheat,15,0.583333333333
butter,262,0.198241082054
buttermilk,49,0.485714285714
cabbage,53,0.686233403215
cake,26,0.712250712251
candied_citrus_peel,11,0.833333333333
candied_fruit,35,0.634920634921
candy,9,0.8
cantaloupe,8,0.777777777778
caper,83,0.486517498566
caraway,61,0.569011105235
caraway_seed,96,0.447379725086
cardamom,38,0.666666666667
carp,28,0.709359605911
carrot,212,0.251306581628
cauliflower,42,0.691029900332
caviar,15,0.708333333333
celery,169,0.319248172642
celery_root,143,0.389665889666
cheddar_cheese,3,0.5
cheese,107,0.371581862236
cherry,61,0.447382337388
cherry tomato,8,0.777777777778
chervil,97,0.496528508311
chestnut,32,0.551136363636
chicken,67,0.558823529412
chicken_liver,21,0.692640692641
chicken_stock,127,0.382874015748
chickpea,4,0.6
chile,30,0.516129032258
