node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,51,0.108510638298,0.522323803191,-3.82862221959,-1.2589130197,7.40257044138e+35,137.529411765,0.807843137255
sunflower_oil,27,0.0574468085106,0.489541974539,-5.48101083815,-1.54390864833,1.99248029685e+35,136.851851852,0.962962962963
ale,2,0.00425531914894,0.391633579631,0,-2.64822297983,1.23244563784e+33,139.5,1.0
Brussels_sprouts,24,0.0510638297872,0.488519966242,-3.93708252295,-1.64327666282,1.26082662918e+35,121.583333333,0.702898550725
poppy_seed,14,0.0297872340426,0.463827678553,-5.63075835363,-1.86172423671,4.61034225669e+34,143.785714286,0.956043956044
freshwater_fish,6,0.0127659574468,0.46800212766,0,-2.14793094887,1.23405742018e+34,177.333333333,1.0
honeydew_melon,8,0.0170212765957,0.38018044489,0,-2.59802282694,1.55299906941e+33,38.625,1.0
grape,58,0.123404255319,0.530013734609,-2.828845593,-1.31005092967,5.84921422085e+35,111.0,0.551119177253
melon,6,0.0127659574468,0.40731255671,0,-2.32914126147,5.35674336677e+33,107.166666667,1.0
black_olive,6,0.0127659574468,0.427789879031,0,-2.25098490758,7.67792748745e+33,120.5,1.0
cress,29,0.0617021276596,0.491083030073,-5.00447629947,-1.52876163942,2.13642939703e+35,130.931034483,0.916256157635
pork_belly,61,0.129787234043,0.521160498507,-3.0207999445,-1.26370047171,7.24120441088e+35,110.032786885,0.597267759563
ingredient,150,0.31914893617,0.59315859019,-1.72340383734,-1.00110072275,2.42663217113e+36,80.8466666667,0.30970917226
peanut_butter,9,0.0191489361702,0.417114195775,-4.5771137269,-2.31338502419,5.75979226281e+33,77.1111111111,0.888888888889
asparagus,85,0.18085106383,0.544188520534,-2.75220536224,-1.14422401391,1.25534241114e+36,103.788235294,0.514005602241
egg_noodle,20,0.0425531914894,0.494194432587,-4.23557976709,-1.67864611946,1.07129632246e+35,146.8,0.794736842105
prosciutto,6,0.0127659574468,0.419732849919,0,-2.2886017535,6.45669701906e+33,103.0,1.0
beet_green,5,0.0106382978723,0.43413926499,0,-2.31695787109,5.66615336874e+33,130.0,1.0
Pernod,9,0.0191489361702,0.439438617521,0,-2.05411471284,1.90101038689e+34,124.222222222,1.0
pork,126,0.268085106383,0.57423573946,-2.27819081462,-1.01693015266,2.25606939204e+36,90.2936507937,0.415365079365
sultana,24,0.0510638297872,0.48297433195,-4.05667756743,-1.6828645362,1.05063916267e+35,122.958333333,0.815217391304
tomato_sauce,17,0.036170212766,0.477553191489,-4.56566885874,-1.80278290375,6.04846947359e+34,119.352941176,0.713235294118
pie_shell,8,0.0170212765957,0.445716312057,0,-2.12169798653,1.39254665251e+34,123.375,1.0
tea,10,0.0212765957447,0.439026386172,-5.00421591756,-2.06833607897,1.78037635729e+34,118.5,0.755555555556
almond,138,0.293617021277,0.584272319175,-1.84905012744,-1.0611979677,1.83992924943e+36,77.9782608696,0.314609118798
bacon,203,0.431914893617,0.635872456059,-1.61707684467,-0.90489191304,3.77947040936e+36,69.4926108374,0.254157928108
millet,5,0.0106382978723,0.427009240565,0,-2.34338195147,5.01708853028e+33,116.2,1.0
currant,114,0.242553191489,0.56796374716,-2.18541692051,-1.08335427518,1.66146532178e+36,90.2719298246,0.40381928272
almond_extract,32,0.068085106383,0.491083030073,-3.94263661575,-1.61466876674,1.43827527322e+35,106.5625,0.776209677419
giblet,30,0.063829787234,0.491598873592,-4.34896712597,-1.49969368841,2.44243110309e+35,135.7,0.793103448276
powdered_sugar,7,0.0148936170213,0.426619988751,0,-2.23593566621,8.22824566791e+33,121.142857143,1.0
red_onion,7,0.0148936170213,0.455698274255,-6.05266345195,-2.10761393001,1.48586032709e+34,147.714285714,0.952380952381
ground_beef,56,0.11914893617,0.526436589043,-3.05482669076,-1.27769427474,6.78921765233e+35,121.160714286,0.626623376623
tarragon,68,0.144680851064,0.528815963457,-2.39471100494,-1.22317092314,8.72706602353e+35,110.676470588,0.551360842845
fillet,40,0.0851063829787,0.509806239281,-3.80063100712,-1.38313977422,4.17759716849e+35,137.05,0.764102564103
string_bean,10,0.0212765957447,0.449138318291,-5.67865712135,-1.98933464082,2.56178696785e+34,134.1,0.866666666667
applesauce,4,0.00851063829787,0.446141208446,0,-2.26828368581,7.08979768959e+33,194.75,1.0
cranberry_sauce,16,0.0340425531915,0.47320740916,-5.48499078878,-1.76192418784,7.30058258394e+34,141.9375,0.95
plain_flour,52,0.110638297872,0.522323803191,-3.36049400855,-1.3174208927,5.65402579636e+35,121.846153846,0.625188536953
