field,count
African,1
Afternoon_tea,58
Appetizers_/_starters,279
Asian,2
Austrian,1
Baked_&_steamed_desserts,17
Beverages_/_drinks_(no-alcohol),22
Bread_&_buns__sweet,21
Bread_&_rolls__savory,110
Breakfast_/_brunch,66
Brownies__slices_&_bars,5
Cajun_&_Creole,8
Cakes__large,62
Cakes__small,11
Canapés_/_hors_d'oeuvre,39
Candy_/_sweets,58
Cheesecakes,3
Children's_parties,2
Christmas,41
Chutneys__pickles_&_relishes,26
Cocktails_/_drinks_(with_alcohol),17
Cookies__biscuits_&_crackers,70
Cooking_ahead,183
Cooking_for_1_or_2,100
Cooking_for_a_crowd,47
Crumbles__cobblers__crisps_&_bettys,2
Cuban,1
Cypriot,25
Dessert,354
Dinner_parties/entertaining,200
Dips__spreads_&_salsas,131
Dressings_&_marinades,68
Easter,92
Egg_dishes,79
Egg-free,1
Fall_/_autumn,36
French,7
Fried_doughs,48
Frostings_&_fillings,7
German,4
Greek,3346
Grills_&_BBQ,111
Ice_cream_&_frozen_desserts,31
Indian,7
Irish,1
Italian,27
Jams__jellies_&_preserves,52
Jewish,4
Low_calorie,60
Low_fat,60
Lunch,5
Main_course,1488
Mediterranean,2
Mexican,2
Middle_Eastern,1
Moroccan,1
Mousses__trifles__custards_&_creams,40
North_American,1
Pancakes__waffles_&_crêpes,12
Pasta__baked,19
Pasta__doughs_&_sauces,78
Pasta__filled,7
Picnics_&_outdoors,32
Pies__tarts_&_pastries,337
Pizza_&_calzones,16
Quick_/_easy,27
Rice_dishes,119
Russian,3
Salads,268
Sandwiches_&_burgers,16
Sauces_for_desserts,25
Sauces_for_fish,17
Sauces_for_meat,10
Sauces_for_poultry,4
Sauces__general,84
Side_dish,493
Small_plates_-_tapas__meze,281
Snacks,35
Soups,181
Spanish,1
Spice_/_herb_blends_&_rubs,7
Spring,54
Stews_&_one-pot_meals,315
Stir-fries,4
Stocks,14
Stuffing,27
Summer,94
Suppers,2
Thanksgiving,13
Valentine's_Day_/_romantic,11
Vegan,459
Vegetarian,1169
Winter,81
