node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,45,0.0752508361204,0.497082295447,-3.5705569379,-1.56148248335,6.38955618202e+48,157.733333333,0.677777777778
whiting,13,0.0217391304348,0.469662468275,-6.43236753278,-1.95262374131,1.05483075321e+48,247.0,0.974358974359
sunflower_oil,6,0.0100334448161,0.407383234614,-5.11597245863,-2.51647682864,7.86115218141e+46,125.5,0.733333333333
mackerel,34,0.056856187291,0.496254514772,-4.04963079842,-1.64117662795,4.42670494586e+48,180.676470588,0.778966131907
roe,50,0.0836120401338,0.507667523203,-3.77593824302,-1.48697310584,9.00512616256e+48,168.76,0.754285714286
Brussels_sprouts,10,0.0167224080268,0.445775371908,-6.02437754373,-2.1317911513,4.62222557472e+47,197.5,0.866666666667
mascarpone,13,0.0217391304348,0.438881938322,-3.93773083061,-2.31255829658,2.01058565805e+47,97.4615384615,0.602564102564
anise_seed,74,0.123745819398,0.525574666879,-3.54945720491,-1.33977882085,1.77369769793e+49,156.148648649,0.681599407627
milk,205,0.342809364548,0.60080813734,-1.75832655102,-1.03791093493,7.12226552312e+49,105.790243902,0.345098039216
liquorice,3,0.00501672240803,0.384269292225,0,-2.79314026199,2.19867263194e+46,134.666666667,1.0
honeydew_melon,14,0.0234113712375,0.452544929568,-4.64781862956,-2.20424516161,3.31091984842e+47,117.5,0.637362637363
grape,123,0.205685618729,0.553390596324,-2.42885084696,-1.16347636543,3.99470895854e+49,137.674796748,0.534452885512
peanut,9,0.0150501672241,0.424805183351,-6.10337972056,-2.32650975609,1.88546131102e+47,132.888888889,0.972222222222
sashimi,35,0.0585284280936,0.48892672046,-4.87965113293,-1.6520936439,4.20968342234e+48,160.428571429,0.905882352941
geranium,23,0.0384615384615,0.475659754382,-4.21933993836,-1.89345232625,1.38526445315e+48,143.47826087,0.707509881423
couscous,13,0.0217391304348,0.463093762425,-5.47972666206,-2.06082816528,6.40883433039e+47,175.076923077,0.769230769231
black_olive,89,0.148829431438,0.530722771363,-3.16630582724,-1.27384400046,2.40297686736e+49,147.831460674,0.63100102145
cress,14,0.0234113712375,0.452201572262,-7.04403720895,-2.03539644435,7.20515154422e+47,167.857142857,0.989010989011
pork_belly,3,0.00501672240803,0.417953486845,0,-2.57701603414,5.94837870938e+46,249.0,1.0
ingredient,263,0.439799331104,0.638801363602,-1.59053645247,-0.962585616313,1.00755934951e+50,94.6996197719,0.285316227905
lima_bean,54,0.0903010033445,0.509403138667,-4.31295153453,-1.42247720975,1.21193892579e+49,181.87037037,0.80573025856
peanut_butter,13,0.0217391304348,0.459169239014,-3.67029417496,-2.08847469394,5.64267610668e+47,169.615384615,0.653846153846
kidney_bean,24,0.0401337792642,0.480259204062,-4.96820291005,-1.75382348121,2.63503190257e+48,201.833333333,0.884057971014
self-rising_flour,48,0.0802675585284,0.509403138667,-3.35706215231,-1.53185446463,7.32363084331e+48,162.333333333,0.667553191489
sorrel,46,0.0769230769231,0.506804143062,-4.33857665921,-1.49081509281,8.84718522725e+48,182.086956522,0.816425120773
ouzo,145,0.242474916388,0.565466482202,-2.27464079253,-1.12414696351,4.78789949752e+49,125.379310345,0.468199233716
Turkish_Delight,4,0.0066889632107,0.402431919136,0,-2.64771507657,4.29543749397e+46,145.25,1.0
porgy,23,0.0384615384615,0.484160578587,-6.15575240763,-1.72899850669,2.95416868503e+48,224.217391304,0.97233201581
red_snapper,22,0.0367892976589,0.478716202603,-4.92246410946,-1.82618212139,1.8882942186e+48,184.909090909,0.78354978355
nectar,3,0.00501672240803,0.36677025984,0,-3.12173658534,4.84135141249e+45,60.0,1.0
asparagus,43,0.0719063545151,0.502954997672,-3.76224405702,-1.55880905885,6.46870066664e+48,170.0,0.700996677741
