field,count
Afternoon_tea,3
Appetizers_/_starters,44
Asian,34
Baked_&_steamed_desserts,5
Bread_&_buns__sweet,3
Breakfast_/_brunch,12
Brownies__slices_&_bars,3
Cajun_&_Creole,2
Cakes__large,3
Candy_/_sweets,2
Cheesecakes,3
Children_&_baby_food,3
Chili,1
Chinese,24
Chutneys__pickles_&_relishes,10
Cocktails_/_drinks_(with_alcohol),10
Cookies__biscuits_&_crackers,1
Cooking_ahead,48
Cooking_for_1_or_2,27
Cooking_for_a_crowd,14
Crumbles__cobblers__crisps_&_bettys,1
Curry,2
Dessert,39
Dinner_parties/entertaining,4
Dips__spreads_&_salsas,26
Dressings_&_marinades,69
Egg_dishes,5
French,9
Fried_doughs,2
Frostings_&_fillings,3
Grills_&_BBQ,35
Hawaiian,316
Ice_cream_&_frozen_desserts,7
Indonesian,1
Italian,25
Jams__jellies_&_preserves,4
Japanese,32
Low_fat,2
Main_course,161
Mediterranean,2
Mexican,1
Mongolian,2
Mousses__trifles__custards_&_creams,6
North_African,1
North_American,3
Pancakes__waffles_&_crêpes,1
Pasta__baked,3
Pasta__doughs_&_sauces,11
Pasta__filled,1
Philippine,1
Picnics_&_outdoors,29
Pies__tarts_&_pastries,7
Pizza_&_calzones,7
Portuguese,1
Quick_/_easy,13
Rice_dishes,6
Salads,43
Sandwiches_&_burgers,5
Sauces_for_desserts,4
Sauces_for_fish,30
Sauces_for_meat,17
Sauces_for_poultry,10
Sauces__general,35
Side_dish,47
Soups,20
Spice_/_herb_blends_&_rubs,5
Spring,1
Stews_&_one-pot_meals,13
Stir-fries,24
Stocks,5
Stuffing,5
Summer,8
Swedish,1
Thai,8
Thanksgiving,6
Vegan,28
Vegetarian,65
