ingredient,degree,lcc
,45,0.662801932367
Cabernet_Sauvignon,67,0.625987708516
Chinese_cabbage,2,0.333333333333
Cognac,17,0.888888888889
Dungeness_crabs,9,0.8
French_bread,29,0.933333333333
Italian_dressing,5,0.666666666667
Japanese_plum,30,0.81935483871
Kahlua,16,0.5
Madeira,17,0.888888888889
Maraschino_cherries,17,0.588235294118
Port_wine,14,0.866666666667
Swiss_cheese,17,0.888888888889
Tabasco_sauce,30,0.716129032258
Worcestershire_sauce,54,0.593939393939
ale,33,0.78431372549
allspice,30,0.65376344086
almond,20,0.790476190476
anchovy,45,0.633816425121
aniseed,21,0.796536796537
apple,82,0.548339700264
arugula,63,0.654265873016
asparagus,47,0.72695035461
avocado,63,0.584325396825
bacon,75,0.548421052632
baguette,19,0.9
bamboo,13,0.857142857143
bamboo_shoot,18,0.801169590643
banana,69,0.506004140787
basil,193,0.302280861065
bay_leaf,124,0.453935483871
bay_scallop,8,0.777777777778
bean_sprout,81,0.612466124661
beef,56,0.515037593985
beef_stock,14,0.685714285714
beef_tenderloin,5,0.666666666667
beefsteak tomato,18,0.853801169591
beet,38,0.785425101215
beverage,9,0.8
black_bean,50,0.603921568627
black_olive,24,0.69
blue_cheese,10,0.818181818182
blueberry,17,0.59477124183
bok_choy,28,0.783251231527
bowtie_pasta,3,0.5
brandy,18,0.730994152047
bread,16,0.588235294118
broccoli,60,0.653551912568
brown_sugar,36,0.611111111111
butter,135,0.383333333333
butterfish,17,0.673202614379
buttermilk,10,0.818181818182
cabbage,56,0.671679197995
cake,5,0.666666666667
calamari,18,0.771929824561
canola_oil,76,0.628503075871
cantaloupe,18,0.584795321637
cape_gooseberry,10,0.818181818182
caper,50,0.652549019608
carrot,215,0.271102497847
cauliflower,8,0.777777777778
caviar,14,0.809523809524
celery,195,0.290214547357
celery_seed,17,0.673202614379
cheese,117,0.448935245545
cherry,17,0.888888888889
chicken,125,0.43073015873
chicken leg,8,0.75
chicken_stock,162,0.342800878588
chili_powder,25,0.741538461538
chili_sauce,11,0.787878787879
chilli,118,0.440393106395
chip,9,0.8
chive,101,0.524752475248
chocolate,14,0.67619047619
chocolate_syrup,9,0.8
chuck,9,0.8
cider_vinegar,20,0.904761904762
cilantro,216,0.260240655402
cinnamon,57,0.486993345433
clam,67,0.608428446005
clarified_butter,30,0.840860215054
clove,11,0.833333333333
cob,26,0.874643874644
cocoa,16,0.588235294118
cocoa_powder,16,0.588235294118
coconut,76,0.344839371155
coconut_milk,97,0.522196507469
coffee,8,0.583333333333
concentrate,21,0.532467532468
cookie,8,0.777777777778
coriander_seed,20,0.814285714286
corn,66,0.599728629579
corn_syrup,4,0.6
corned_beef,20,0.904761904762
cornmeal,14,0.866666666667
couscous,13,0.857142857143
crabmeat,68,0.601023017903
cranberry,30,0.655913978495
cranberry_juice,9,0.755555555556
cream,80,0.342283950617
cream_cheese,17,0.562091503268
crouton,38,0.686909581646
cucumber,71,0.623630672926
cumin_seed,54,0.563636363636
curry,61,0.668958223162
curry_powder,28,0.822660098522
dark_chocolate,10,0.618181818182
dill,85,0.558139534884
dried_fruit,4,0.6
dry_mustard,31,0.671370967742
dry_vermouth,4,0.6
duck,56,0.639097744361
edible,11,0.833333333333
egg,101,0.420500873617
egg_noodle,10,0.818181818182
egg_yolk,89,0.481398252185
eggplant,87,0.550417972832
escarole,32,0.810606060606
evaporated_milk,4,0.6
fennel,18,0.789473684211
fennel_seed,16,0.882352941176
fillet,69,0.596273291925
fish,45,0.768115942029
flank_steak,14,0.866666666667
flour,127,0.391732283465
fruit_juice,44,0.673737373737
garlic,190,0.300909341416
garlic_salt,25,0.630769230769
gelatin,23,0.514492753623
ginger,218,0.258221272674
ginger_ale,10,0.818181818182
goat_cheese,60,0.617486338798
gooseberry,17,0.725490196078
graham_cracker,5,0.666666666667
grain,26,0.77207977208
granulated_sugar,59,0.440677966102
grape,7,0.75
green,122,0.446887911502
green_bean,29,0.933333333333
green_pepper,17,0.78431372549
ground_beef,7,0.75
ham,19,0.647368421053
ham_hock,24,0.74
hard-cooked_egg,11,0.833333333333
heavy_cream,160,0.348757763975
hen,2,0.333333333333
herb,13,0.857142857143
hoisin_sauce,74,0.566126126126
honey,118,0.41988320752
honeydew_melon,7,0.75
horseradish,10,0.818181818182
hot_pepper,20,0.795238095238
iceberg_lettuce,23,0.898550724638
ingredient,44,0.590909090909
juice,43,0.604651162791
kidney_bean,22,0.802371541502
kosher,8,0.777777777778
lamb,28,0.810344827586
lamb_chop,14,0.866666666667
leaf_lettuce,10,0.818181818182
leg,10,0.818181818182
lemon,72,0.559741248097
lemon_extract,4,0.6
lemongrass,112,0.47708596713
lentil,13,0.857142857143
lettuce,65,0.659673659674
light_cream,3,0.5
lime,127,0.423720472441
liqueur,7,0.535714285714
littleneck_clam,19,0.9
lobster,49,0.764081632653
lobster_tail,12,0.846153846154
loin,17,0.888888888889
macadamia_nut,124,0.353806451613
mango,99,0.409898989899
maple_syrup,21,0.688311688312
mayonnaise,53,0.603773584906
meat,29,0.933333333333
melon,11,0.833333333333
milk,110,0.415233415233
milk_powder,3,0.5
mint,105,0.480862533693
miso,29,0.740229885057
mozzarella,76,0.606630211893
mung_bean,6,0.714285714286
mushroom,169,0.352036199095
mussel,52,0.715529753266
mustard,18,0.736842105263
navel_orange,11,0.833333333333
navy_bean,48,0.715136054422
nectar,6,0.714285714286
noodle,71,0.628716744914
nutmeg,11,0.833333333333
olive,44,0.70101010101
olive_oil,28,0.79802955665
onion,219,0.256579493566
orange,132,0.402939166097
orange_marmalade,22,0.790513833992
oregano,36,0.704204204204
oyster,104,0.486446886447
oyster mushroom,26,0.877492877493
papaya,126,0.347581552306
parsley,138,0.436763632572
passion_fruit,59,0.575706214689
pasta,59,0.668361581921
paste,95,0.543421052632
pastry,20,0.5
peach,19,0.9
peanut,53,0.66107617051
peanut_butter,44,0.689898989899
peanut_oil,55,0.70974025974
pear,29,0.783908045977
pearl_barley,8,0.777777777778
pecan,28,0.674876847291
pepper_sauce,20,0.795238095238
peppercorn,196,0.29581477261
pie_shell,10,0.581818181818
pimento,197,0.292108906322
pine_nut,50,0.71137254902
pineapple,113,0.332401800963
pineapple_juice,76,0.408749145591
pinto_bean,10,0.818181818182
pizza,46,0.669750231267
plum,51,0.646304675716
poi,4,0.6
pork,72,0.553272450533
pork_loin,37,0.73399715505
potato,111,0.434202059202
poultry,48,0.710034013605
praline,17,0.888888888889
prosciutto,37,0.822190611664
rack_of_lamb,20,0.904761904762
radicchio,87,0.523772204807
radish,62,0.662570404506
raisin,16,0.75
raspberry,56,0.481203007519
red_cabbage,11,0.833333333333
red_currant,20,0.904761904762
red_onion,43,0.619450317125
red_pepper,135,0.404030501089
red_snapper,9,0.8
red_wine,59,0.653672316384
rib_roast,9,0.8
rice,125,0.446603174603
ricotta,28,0.790640394089
roast,23,0.833333333333
rock,11,0.833333333333
rolled_oats,6,0.714285714286
romaine_lettuce,46,0.59296947271
rosemary,75,0.546315789474
round_steak,11,0.833333333333
rum,41,0.434378629501
saffron,46,0.711378353377
sage,29,0.933333333333
sake,66,0.644052464948
salad_green,56,0.671679197995
salad_oil,36,0.666666666667
salami,29,0.933333333333
salmon,70,0.592354124748
