node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
peanut_oil,55,0.162721893491,0.537360890302,-3.38841293303,-1.23879195532,2.43107357919e+35,118.472727273,0.736026936027
fennel_seed,16,0.0473372781065,0.466850828729,0,-1.77930409575,2.01732775509e+34,119.4375,1.0
kidney_bean,22,0.0650887573964,0.497058823529,-4.4220008573,-1.67060335042,3.32794339615e+34,113.727272727,0.878787878788
romaine_lettuce,46,0.136094674556,0.523219814241,-2.87342757036,-1.38474838825,1.24132188341e+35,102.217391304,0.619323671498
sprout,70,0.207100591716,0.555008210181,-3.23114241055,-1.1592684706,3.5062467594e+35,108.671428571,0.681573498965
tequila,10,0.0295857988166,0.470097357441,0,-1.91085857188,1.10070792558e+34,146.6,1.0
ale,33,0.0976331360947,0.516030534351,-4.03158250224,-1.4390759176,9.66565764805e+34,126.363636364,0.833333333333
sage,29,0.085798816568,0.502976190476,0,-1.53435381248,6.2326666647e+34,113.586206897,1.0
coriander_seed,20,0.0591715976331,0.478076379066,-4.63554667919,-1.67851110932,3.20895373439e+34,122.25,0.9
cider_vinegar,20,0.0591715976331,0.497790868925,0,-1.62248305112,4.15356122499e+34,140.7,1.0
salmon,70,0.207100591716,0.553191489362,-2.71521792659,-1.18092633079,3.17341813156e+35,104.628571429,0.609523809524
fennel,18,0.0532544378698,0.492711370262,-4.60471666984,-1.72077761484,2.64137031517e+34,122.333333333,0.882352941176
Madeira,17,0.0502958579882,0.474719101124,0,-1.72019175787,2.64851255258e+34,128.764705882,1.0
cumin_seed,54,0.159763313609,0.539074960128,-2.99879101322,-1.31799996387,1.68802539642e+35,100.851851852,0.584905660377
sweet_vermouth,16,0.0473372781065,0.488439306358,-4.08178055059,-1.816198816,1.70211024875e+34,117.0,0.775
pineapple,113,0.334319526627,0.600355239787,-1.69377067254,-1.12512814289,4.10314153243e+35,74.2212389381,0.338337547408
chicken,125,0.369822485207,0.613430127042,-2.12875935443,-0.997352013423,7.39044811461e+35,85.848,0.437677419355
iceberg_lettuce,23,0.0680473372781,0.506746626687,-5.57028233801,-1.56408363302,5.43522161795e+34,140.434782609,0.98023715415
calamari,18,0.0532544378698,0.487734487734,-4.73921992961,-1.70090250423,2.89454713189e+34,128.833333333,0.862745098039
milk,110,0.325443786982,0.597173144876,-1.87992295487,-1.07390246586,5.19481799111e+35,85.4909090909,0.422852376981
apple,82,0.242603550296,0.568067226891,-2.68089580267,-1.14287103019,3.78124374074e+35,98.6097560976,0.561878952123
caper,50,0.147928994083,0.526479750779,-3.26030577429,-1.33781823196,1.54079322592e+35,102.34,0.679183673469
honeydew_melon,7,0.0207100591716,0.405275779376,0,-2.47558222083,8.16950180077e+32,58.5714285714,1.0
cilantro,216,0.639053254438,0.734782608696,-1.39178370484,-0.857564061103,1.40682739199e+36,65.6157407407,0.262661498708
grape,7,0.0207100591716,0.405275779376,0,-2.47558222083,8.16950180077e+32,58.5714285714,1.0
ham,19,0.0562130177515,0.48493543759,-3.63360496682,-1.70783111492,2.80367044465e+34,126.210526316,0.719298245614
strip_steak,5,0.0147928994083,0.463648834019,0,-2.24627905982,2.34868612188e+33,147.0,1.0
saffron,46,0.136094674556,0.519201228879,-3.70881491072,-1.33670449686,1.54871520156e+35,112.456521739,0.742995169082
littleneck_clam,19,0.0562130177515,0.478753541076,0,-1.69740349908,2.94156368024e+34,122.368421053,1.0
cherry,17,0.0502958579882,0.450066577896,0,-1.95271980568,9.0765506795e+33,76.2352941176,1.0
dry_mustard,31,0.0917159763314,0.515243902439,-3.74802567093,-1.51745024116,6.73723383449e+34,113.580645161,0.716129032258
avocado,63,0.186390532544,0.547811993517,-3.0292092823,-1.23786375135,2.44146780835e+35,101.253968254,0.603174603175
sashimi,20,0.0591715976331,0.481481481481,-5.3344901173,-1.63993707316,3.8327692694e+34,132.05,0.942105263158
celery,195,0.576923076923,0.702702702703,-1.58575318667,-0.881554466569,1.25968312187e+36,68.8615384615,0.293206449907
