source,target,weight
chilli,coriander_seed,7.8579e-05
cumin_seed,coriander_seed,7.8579e-05
chilli,ginger,7.8579e-05
ginger,coriander_seed,7.8579e-05
chilli,cumin_seed,7.8579e-05
turmeric,coriander_seed,7.8579e-05
chilli,turmeric,7.8579e-05
ginger,cumin_seed,7.8579e-05
turmeric,cumin_seed,7.8579e-05
ginger,turmeric,7.8579e-05
tomato,coriander_seed,0.00015716
tomato,chilli,0.00023574
tomato,cumin_seed,0.00015716
chilli,mustard_seed,7.8579e-05
red_pepper,cumin_seed,7.8579e-05
tomato,ginger,0.00023574
red_pepper,coriander_seed,7.8579e-05
tomato,turmeric,0.00023574
ginger,onion,7.8579e-05
chilli,onion,7.8579e-05
coriander_seed,onion,7.8579e-05
ginger,garlic,7.8579e-05
ginger,red_pepper,7.8579e-05
mustard_seed,coriander_seed,7.8579e-05
mustard_seed,turmeric,7.8579e-05
cinnamon,cardamon,0.00055006
chilli,garlic,7.8579e-05
ginger,yogurt,7.8579e-05
cinnamon,ginger,0.00055006
red_pepper,turmeric,7.8579e-05
chilli,curry,7.8579e-05
cumin_seed,onion,7.8579e-05
cardamon,ginger,0.00023574
yogurt,coriander_seed,7.8579e-05
chilli,yogurt,7.8579e-05
turmeric,onion,7.8579e-05
garlic,coriander_seed,7.8579e-05
mustard_seed,cumin_seed,7.8579e-05
yogurt,cumin_seed,7.8579e-05
cinnamon,cumin_seed,0.00047148
cinnamon,coriander_seed,0.00047148
cardamon,coriander_seed,0.00023574
cardamon,cumin_seed,0.00023574
mustard_seed,curry,7.8579e-05
chilli,coconut,7.8579e-05
cinnamon,chilli,0.00055006
cumin_seed,garlic,7.8579e-05
coriander_seed,potato,7.8579e-05
turmeric,garlic,7.8579e-05
tomato,onion,0.00015716
coriander_seed,curry,7.8579e-05
turmeric,curry,7.8579e-05
cardamon,chilli,0.00023574
chilli,potato,7.8579e-05
ginger,mustard_seed,7.8579e-05
peppercorn,coriander_seed,7.8579e-05
cinnamon,turmeric,0.00055006
chilli,red_pepper,7.8579e-05
garlic,onion,7.8579e-05
peppercorn,cumin_seed,7.8579e-05
cumin_seed,potato,7.8579e-05
coconut,coriander_seed,7.8579e-05
tomato,red_pepper,0.00023574
chilli,fenugreek_seed,7.8579e-05
cumin_seed,curry,7.8579e-05
chilli,peppercorn,7.8579e-05
ginger,peppercorn,7.8579e-05
cardamon,turmeric,0.00023574
turmeric,potato,7.8579e-05
turmeric,yogurt,7.8579e-05
ginger,potato,7.8579e-05
fenugreek_seed,coriander_seed,7.8579e-05
fenugreek_seed,cumin_seed,7.8579e-05
ginger,curry,7.8579e-05
chilli,tamarind,7.8579e-05
ginger,chicken,7.8579e-05
coconut,turmeric,7.8579e-05
turmeric,fenugreek_seed,7.8579e-05
coriander_seed,ghee,7.8579e-05
chilli,ghee,7.8579e-05
tomato,garlic,0.00015716
tamarind,coriander_seed,7.8579e-05
coconut,mustard_seed,7.8579e-05
cinnamon,onion,0.00047148
cardamon,yogurt,0.00023574
flour,chilli,0.00015716
ginger,ghee,7.8579e-05
lamb,ginger,0.00023574
coconut,cumin_seed,7.8579e-05
lime,chilli,0.0003929
tomato,mustard_seed,0.00023574
cumin_seed,ghee,7.8579e-05
