field,count
Andreas_Viestad,93
Anjum_Anand,561
Anupy_Singla,60
Atul_Kochhar,135
Australian_Women_s_Weekly,267
Barry_Vera,95
Camellia_Panjabi,105
Carol_Selva_Rajah,172
Chandra_Padmanabhan,139
Charlie_Burd,98
Christine_Manfield,280
Das_Sreedharan,200
Devi_Jamuna,548
Gordon_Ramsay,103
Ismail_Merchant,213
Jane_Daniels_Lear,143
Julie_Sahni,917
Kaumudi_Marath,245
Kaushy_Patel,120
Khalid_Aziz,218
Kris_Dhillon,88
Lalita_Ahmed,97
Linda_Bladholm,21
Madhu_Gadia,118
Madhur_Jaffrey,1832
Master_Chefs_of_India,54
Maya_Kaimal,112
Maya_Kaimal_Macmillan,113
Meeru_Dhalwala,188
Monica_Bhide,124
Monisha_Bharadwaj,197
Neelam_Batra,993
Niloufer_Ichaporia_King,267
Pushpesh_Pant,1063
Rafi_Fernandez,70
Raghavan_Iyer,974
Reza_Mahammad,102
Richard_Delacy,18
Rick_Stein,134
Ruta_Kahate,185
Stephanie_Lyness,161
Sudha_Koul,64
Sumana_Ray,178
Suvir_Saran,138
Time-Life_Books,108
Ummi_Abdulla,143
Varsha_Dandekar,55
Vikas_Khanna,145
Yamuna_Devi,272
