node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,24,0.032,0.458824463119,-4.92821405664,-1.80601522246,1.20280694251e+43,173.625,0.627705627706
sunflower_oil,67,0.0893333333333,0.484258191673,-3.57753165407,-1.41168566541,7.39356541623e+43,150.567164179,0.4375
mackerel,53,0.0706666666667,0.477204175771,-3.79487616597,-1.50840605695,4.73603295658e+43,152.358490566,0.456470588235
ale,17,0.0226666666667,0.453740535549,-5.48971385658,-1.95767017847,5.9826332608e+42,184.705882353,0.761904761905
roe,19,0.0253333333333,0.454369856681,-5.32828786383,-1.89788652056,7.87880165598e+42,188.631578947,0.661764705882
parmesan,0,0.0,0.0,0,0,1.0,0.0,0.0
poppy_seed,113,0.150666666667,0.504777606574,-2.96779215484,-1.2183846643,1.80074196761e+44,130.991150442,0.388533988534
fish_steak,36,0.048,0.471028995926,-4.32811410256,-1.63771975601,2.61090614122e+43,178.888888889,0.513368983957
freshwater_fish,15,0.02,0.454685172334,-5.45092193025,-1.98774855225,5.20878016662e+42,202.6,0.692307692308
honeydew_melon,25,0.0333333333333,0.430770107385,-4.63265217848,-1.97912368532,5.41947624596e+42,113.96,0.683794466403
corn cob,18,0.024,0.45946797569,-4.96561449839,-1.90920143923,7.47878089016e+42,203.944444444,0.608333333333
grape,97,0.129333333333,0.484975080188,-3.04719367988,-1.39644424953,7.93079965555e+43,103.237113402,0.390593505039
peanut,156,0.208,0.51753659821,-2.38940701523,-1.18823489416,2.06894621768e+44,96.8653846154,0.241151005857
sashimi,12,0.016,0.443302661254,-6.12934795427,-2.13405827517,2.65529163373e+42,169.5,0.822222222222
geranium,6,0.008,0.385185969038,-6.30001318279,-2.67421219135,2.20693610438e+41,111.5,0.5
couscous,42,0.056,0.473753675584,-4.14546830923,-1.58145318893,3.38311879331e+43,163.952380952,0.489743589744
black_olive,39,0.052,0.469678375149,-4.16560116592,-1.61237897255,2.93404859237e+43,162.769230769,0.48048048048
cress,41,0.0546666666667,0.472047070125,-3.91292258197,-1.61485853288,2.90075511932e+43,155.902439024,0.516869095816
pork_belly,21,0.028,0.459145993927,-5.37819640963,-1.83124946633,1.07086131372e+43,199.19047619,0.771929824561
ingredient,97,0.129333333333,0.467000237586,-2.37469382569,-1.56598858683,3.63270021835e+43,63.5360824742,0.11444568869
