node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,22,0.0293333333333,0.461409389671,5.38028648935e-07,0.00998056149606,7.34209556126e+69,290.090909091,0.952380952381
sunflower_oil,80,0.106666666667,0.491892892893,4.93527701497e-05,0.0342183877242,8.63033953689e+70,265.8375,0.836392405063
mackerel,66,0.088,0.48677662209,4.96406489564e-05,0.0277303827055,5.66789060774e+70,268.545454545,0.79627039627
ale,15,0.02,0.458503382319,0.0,0.00729893668948,3.9267605402e+69,351.0,1.0
roe,18,0.024,0.45946797569,2.12093030424e-07,0.00889627407196,5.83351156743e+69,344.277777778,0.97385620915
poppy_seed,148,0.197333333333,0.521242110846,0.000473439576205,0.0542745498931,2.17118382975e+71,211.155405405,0.664552307409
fish_steak,43,0.0573333333333,0.477551992225,5.11343353169e-06,0.0204770396928,3.09063043294e+70,320.395348837,0.910299003322
freshwater_fish,13,0.0173333333333,0.459145993927,7.28327743788e-08,0.00706246261594,3.67645339818e+69,398.153846154,0.974358974359
honeydew_melon,30,0.04,0.470352715961,9.96338779114e-06,0.0111949969105,9.23754361589e+69,244.766666667,0.820689655172
corn cob,17,0.0226666666667,0.464352468698,0.0,0.00938910585999,6.49778473595e+69,405.411764706,1.0
grape,133,0.177333333333,0.515500655652,0.000642028490233,0.0450176135948,1.49372487599e+71,202.646616541,0.603212576897
flounder,20,0.0266666666667,0.46011329588,9.43641746984e-07,0.00922078780761,6.26683238989e+69,311.0,0.910526315789
peanut,243,0.324,0.564828735632,0.00292446231619,0.0744819517291,4.08886734378e+71,168.189300412,0.464408393701
sashimi,10,0.0133333333333,0.450619899129,0.0,0.00445287723966,1.4614767978e+69,297.0,1.0
geranium,4,0.00533333333333,0.409756931415,0.0,0.00192625636522,2.73487369366e+68,304.0,1.0
couscous,48,0.064,0.480352883675,1.07089651781e-05,0.0218181654771,3.50870767295e+70,294.625,0.889184397163
black_olive,43,0.0573333333333,0.475472665699,1.23821075601e-05,0.0192758308751,2.73865231641e+70,291.348837209,0.874861572536
cress,44,0.0586666666667,0.477551992225,3.81151595608e-05,0.0184765535434,2.51624283543e+70,275.386363636,0.836152219873
pork_belly,20,0.0266666666667,0.464352468698,3.95589180636e-08,0.010569316052,8.23396855123e+69,375.3,0.994736842105
ingredient,231,0.308,0.559522914888,0.00523090799941,0.0711912984095,3.73555805349e+71,171.025974026,0.469979296066
lima_bean,60,0.08,0.483186823992,1.53510808679e-05,0.0265599150724,5.19951844982e+70,280.366666667,0.877966101695
castor_sugar,228,0.304,0.558093128904,0.00388804484545,0.0680821394335,3.41639599487e+71,167.039473684,0.44485663498
offal,4,0.00533333333333,0.437676241372,0.0,0.00231636863562,3.95489467194e+68,457.25,1.0
kidney_bean,85,0.113333333333,0.494491572327,7.14114713494e-05,0.0352219530368,9.1439742144e+70,255.282352941,0.801400560224
jujube,12,0.016,0.442404681521,0.0,0.0050923823068,1.91139868173e+69,273.416666667,1.0
porgy,4,0.00533333333333,0.425731860515,0.0,0.00208798288879,3.21342085511e+68,358.5,1.0
nectar,17,0.0226666666667,0.445412191253,2.33650196962e-05,0.00519165436614,1.98663562599e+69,193.882352941,0.786764705882
asparagus,121,0.161333333333,0.509884306096,0.000504023848656,0.0455433413345,1.52881859039e+71,224.041322314,0.690909090909
egg_noodle,48,0.064,0.477204175771,1.25868882311e-05,0.0205447734015,3.11108917789e+70,273.3125,0.883865248227
mandarin_orange,25,0.0333333333333,0.470015303682,6.37318117062e-05,0.0104451954401,8.04164528882e+69,283.88,0.793333333333
pea,271,0.361333333333,0.578799764429,0.00277703296015,0.0803685713653,4.76071360684e+71,159.236162362,0.43094164275
smoked_haddock,18,0.024,0.463039811543,2.2775326412e-07,0.00868663607941,5.56180942069e+69,331.5,0.97385620915
prosciutto,4,0.00533333333333,0.409500833333,0.0,0.00179775658806,2.38215715882e+68,283.5,1.0
haricot,12,0.016,0.450930029823,0.0,0.0066271060415,3.23716560746e+69,402.666666667,1.0
wheat_germ,35,0.0466666666667,0.472047070125,8.4431356824e-06,0.0141578282308,1.47741746702e+70,263.628571429,0.870588235294
beet_green,24,0.032,0.467666904592,5.09936539083e-07,0.0119313352309,1.04928208385e+70,346.5,0.978260869565
pea_flour,33,0.044,0.470690613027,1.15468017512e-06,0.0160960415147,1.90963488297e+70,323.03030303,0.954545454545
round,23,0.0306666666667,0.463039811543,2.33937250077e-07,0.0117710905088,1.02128812563e+70,359.869565217,0.98023715415
orzo,16,0.0213333333333,0.45754283054,6.35555597901e-06,0.00816836610636,4.91798497311e+69,377.125,0.933333333333
pork,161,0.214666666667,0.527112898901,0.00102710884198,0.0555204149641,2.27200563955e+71,198.869565217,0.593788819876
sultana,114,0.152,0.507514588175,0.000221645782144,0.0440657319228,1.43122509141e+71,230.087719298,0.728924080112
tomato_sauce,109,0.145333333333,0.505556584362,0.000241315332481,0.0437466907323,1.4105779829e+71,240.073394495,0.771661569827
almond,315,0.42,0.602761116222,0.00960727099105,0.0862160630318,5.47867732018e+71,146.946031746,0.365140026287
bacon,80,0.106666666667,0.491892892893,0.000352335364853,0.0296576931679,6.48307631803e+70,225.025,0.711075949367
ham,42,0.056,0.471028995926,3.43362965435e-05,0.0180317139042,2.39653626425e+70,274.833333333,0.849012775842
millet,67,0.0893333333333,0.488227521113,3.22638909005e-05,0.0290112241368,6.20356079275e+70,270.731343284,0.861601085482
burger,55,0.0733333333333,0.48247520864,8.77750275152e-06,0.0247995891646,4.53314265682e+70,289.581818182,0.920538720539
currant,89,0.118666666667,0.4959888973,0.000128044307756,0.0338304705783,8.43573580323e+70,231.752808989,0.71986721144
raw_milk,1,0.00133333333333,0.381374466434,0.0,0.000558574742135,2.29973823485e+67,384.0,0.0
marinade,17,0.0226666666667,0.463039811543,2.0478560601e-07,0.00856835777769,5.41139876989e+69,355.941176471,0.977941176471
spaghetti,15,0.02,0.453740535549,6.79469391426e-07,0.00637212524956,2.99282844112e+69,296.866666667,0.933333333333
almond_extract,49,0.0653333333333,0.475472665699,0.000283923723076,0.0171875573088,2.177379919e+70,211.795918367,0.698979591837
powdered_sugar,9,0.012,0.431053508772,0.0,0.00445605479468,1.46356320146e+69,309.888888889,1.0
red_onion,334,0.445333333333,0.612910508263,0.00820663816197,0.0869873081447,5.57711977484e+71,137.781437126,0.325007642373
guava,82,0.109333333333,0.494491572327,0.000172570403603,0.0287512998965,6.09287227051e+70,218.317073171,0.714543812105
ground_beef,107,0.142666666667,0.504389017193,0.000134466095377,0.0435154085672,1.39570394087e+71,245.485981308,0.785752071945
tarragon,92,0.122666666667,0.498251964512,0.000144059331881,0.0367117567083,9.93386306869e+70,245.097826087,0.759913999044
almond_cookie,11,0.0146666666667,0.456586295006,0.0,0.00609640867551,2.73946320454e+69,409.818181818,1.0
soy_sauce,178,0.237333333333,0.533551574376,0.00163105760795,0.0576094867306,2.44619439359e+71,183.747191011,0.533041325462
espresso,3,0.004,0.400489812551,0.0,0.00112490672434,9.32705650924e+67,250.666666667,1.0
fillet,138,0.184,0.51794571805,0.000471318199706,0.0497224472308,1.82225840635e+71,211.239130435,0.642229979901
milk,291,0.388,0.589740174017,0.0089166127248,0.0809531439935,4.83022434762e+71,150.58419244,0.380353122408
durum_wheat,10,0.0133333333333,0.452487108656,0.0,0.00489058584992,1.76294040255e+69,354.5,1.0
dill_weed,152,0.202666666667,0.523742073008,0.00148904478489,0.053575316558,2.11560238384e+71,204.605263158,0.61232136633
galangal,73,0.0973333333333,0.486415243752,0.000107706790103,0.0269856744172,5.36751257278e+70,223.534246575,0.730213089802
corn,176,0.234666666667,0.533551574376,0.000843991820575,0.0599927971111,2.65278318321e+71,194.517045455,0.582077922078
gingersnap,3,0.004,0.365218134522,0.0,0.000811171484896,4.84984798876e+67,152.666666667,1.0
grapefruit_juice,15,0.02,0.43884885019,4.22389919497e-07,0.00437157998613,1.40856839214e+69,173.066666667,0.961904761905
plain_flour,132,0.176,0.515095387841,0.000438279316875,0.0485110329296,1.73454858736e+71,216.71969697,0.6613462873
curry,341,0.454666666667,0.616950408035,0.00650962771411,0.090294530587,6.00925568313e+71,139.123167155,0.333310332931
yellow_bean,47,0.0626666666667,0.477204175771,1.5224388594e-05,0.0207351778909,3.16902915304e+70,286.957446809,0.874190564292
leg,129,0.172,0.514286760858,0.000112347649491,0.051661471113,1.96715806265e+71,235.88372093,0.780159883721
chilli pepper,37,0.0493333333333,0.472387406873,4.14996663854e-06,0.0174130727769,2.23492504198e+70,314.72972973,0.90990990991
herb,138,0.184,0.517128124178,0.00051175856724,0.0485807636199,1.73953381272e+71,203.855072464,0.623928911457
corn_flake,14,0.0186666666667,0.455317118369,3.7994998771e-07,0.00570655240649,2.40024639002e+69,258.071428571,0.956043956044
water,149,0.198666666667,0.522906092046,0.00204638322986,0.0511581684928,1.92900943235e+71,200.402684564,0.588427353528
sea_trout,36,0.048,0.474783574879,3.98203719538e-05,0.0149033109908,1.63710105701e+70,269.111111111,0.804761904762
chicken leg,73,0.0973333333333,0.489687095167,2.20550356868e-05,0.0323657226972,7.72112147969e+70,279.698630137,0.876331811263
chamomile,4,0.00533333333333,0.422437996991,0.0,0.00208316657671,3.19860493293e+68,357.25,1.0
mozzarella,59,0.0786666666667,0.483900541605,0.000299530225539,0.0226255842729,3.77318166765e+70,240.93220339,0.725891291642
vinegar,281,0.374666666667,0.584479333928,0.00559598886894,0.0797480308336,4.68748570501e+71,154.192170819,0.394331469243
beef_tongue,13,0.0173333333333,0.45754283054,4.68590650367e-07,0.0059911634344,2.64567568738e+69,330.692307692,0.948717948718
