field,count
1_000_Indian_Recipes:,993
5_Spices__50_Dishes:_Simple_Indian_Recipes_Using_Five_Common_Spices,60
50_Great_Curries_of_India:_Tenth_Anniversary_Edition,105
660_Curries:_Plus_Biryanis__Breads__Pilafs__Raitas__and_More,689
A_Taste_of_India_(USA),102
American_Masala:_125_New_Classics_From_My_Home_Kitchen,138
An_Invitation_to_Indian_Cooking,168
Anjum_s_Indian_Vegetarian_Feast:_Fabulous_Fresh_Indian_Food,116
Anjum_s_New_Indian,109
At_Home_with_Madhur_Jaffrey:_Simple__Delectable_Dishes_from_India__Pakistan__Bangladesh__and_Sri_Lanka,190
Betty_Crocker_s_Indian_Home_Cooking,183
Classic_Indian_Cooking,167
Classic_Indian_Vegetarian_and_Grain_Cooking,239
Climbing_the_Mango_Trees:_A_Memoir_of_a_Childhood_in_India,33
Cooking_of_India_(Foods_of_the_World),108
Curried_Favors:_Family_Recipes_from_South_India,113
Curries_Without_Worries:_An_Introduction_to_Indian_Cuisine,64
Curry_Easy,180
Dakshin:_Vegetarian_Cuisine_from_South_India,139
Easy_Curry_Cookery,87
Essential_Marathi_Cookbook,245
Feast_Bazaar:_India__Morocco__Syria,95
Fish__Indian_Style:_100_Simple_Spicy_Recipes,135
Foolproof_Indian_Cookery:_Step_by_Step_to_Everyone_s_Favourite_Indian_Recipes,40
Fresh_Flavours_of_India,105
From_Curries_to_Kebabs:_Recipes_From_the_Indian_Spice_Trail,227
Gordon_Ramsay_s_Great_Escape:_100_of_My_Favourite_Indian_Recipes,103
I_Love_Curry,103
India,18
India_Cookbook,1063
Indian_Cooking_Unfolded:_A_Master_Class_in_Indian_Cooking__Featuring_100_Easy_Recipes_Using_10_Ingredients_or_Less,102
Indian_Cooking:_Traditional_cuisine_with_many_exotic_curries,97
Indian_Every_Day:_Light__Healthy_Indian_Food,144
Indian_Food_Made_Easy,89
Indian_Grocery_Store_Demystified:_A_Food_Lover_s_Guide_To_All_The_Best_Ingredients_In_The_Traditional_Foods_of_India__Pakistan__and_Bangladesh,21
Indian_Heritage_Cookery,106
Indian_Home_Cooking:_A_Fresh_Introduction_to_Indian_Food__with_More_Than_150_Recipes,161
Indian_Regional_Cooking,178
Ismail_Merchant_s_Passionate_Meals:_The_New_Indian_Cuisine_for_Fearless_Cooks_and_Adventurous_Eaters,213
Lord_Krishna_s_Cuisine:_The_Art_of_Indian_Vegetarian_Cooking,548
Madhur_Jaffrey_s_Curry_Nation:_Britain_s_100_Favourite_Curries,115
Madhur_Jaffrey_s_Flavours_of_India:_Over_130_Recipes_from_Kerala__Goa__Gujarat__Punjab__West_Bengal__Tamil_Nadu,134
Madhur_Jaffrey_s_Indian_Cookery,120
Madhur_Jaffrey_s_Indian_Cooking__Revised_and_Enlarged:_The_Comprehensive_Guide_from_the_World_s_Best-Selling_Indian_Cook,134
Madhur_Jaffrey_s_Indian_Cooking__Revised_and_Expanded,134
Madhur_Jaffrey_s_Quick_Easy_Indian_Cooking,75
Madhur_Jaffrey_s_Step-by-Step_Cooking:_Over_150_Dishes_from_India_and_the_Far_East__Including_Thailand__Indonesia__and_Malaysia,180
Malabar_Muslim_Cookery,143
Masala_Farm:_Stories_and_Recipes_from_an_Uncommon_Life_in_the_Country,98
Modern_Indian_Cooking,145
Modern_Spice:_Inspired_Indian_Flavors_for_the_Contemporary_Kitchen,124
Moghul_Microwave:_Cooking_Indian_Food_the_Modern_Way,269
My_Bombay_Kitchen:_Traditional_and_Modern_Parsi_Home_Cooking,267
New_Indian_Home_Cooking:_More_Than_100_Delicious_Nutritional__and_Easy_Low-Fat_Recipes!,118
One_Spice__Two_Spice:_American_Food__Indian_Flavors,143
Oriental_Dinner_Party_Cookbook,180
Prashad_Cookbook:_Indian_Vegetarian_Cooking,120
Quick-Fix_Indian:_Easy__Exotic_Dishes_in_30_Minutes_or_Less,125
Reza_s_Indian_Spice:_Eastern_Recipes_for_Western_Cooks,102
Rick_Stein_s_India:_In_Search_of_the_Perfect_Curry:_Recipes_from_My_Indian_Odyssey,134
Salads_of_India,55
Savoring_India:_Recipes_and_Reflections_on_Indian_Cooking,136
Savoring_the_Spice_Coast_of_India:_Fresh_Flavors_from_Kerala,112
Tasting_India,280
The_Cooking_of_Southern_India,70
The_Curry_Secret:_How_to_Cook_Real_Indian_Restaurant_Meals_at_Home,88
The_Encyclopedia_of_Indian_Cooking,218
The_Food_of_India:_A_Journey_for_Food_Lovers,172
The_Indian_Slow_Cooker:_50_Healthy__Easy__Authentic_Recipes,60
The_Indian_Spice_Kitchen:_Essential_Ingredients_and_Over_200_Authentic_Recipes,197
The_New_Tastes_of_India:_Over_100_Vibrant_Vegetarian_Recipes_From_Southern_India,95
Vegetarian_Fiesta,54
Vij_s_Elegant_and_Inspired_Indian_Cuisine,96
Vij_s_at_Home:_Relax__Honey:_The_Warmth_and_Ease_of_Indian_Cooking,92
Where_Flavor_Was_Born:_Recipes_and_Culinary_Travels_Along_the_Indian_Ocean_Spice_Route,93
Yamuna_s_Table:_Healthy_Vegetarian_Cuisine_Inspired_by_the_Flavors_of_India,272
