node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,22,0.0293333333333,0.461409389671,-6.15031178381,-2.00166127748,1.95110154801e+69,287.590909091,0.909090909091
sunflower_oil,80,0.106666666667,0.491892892893,-4.28408247691,-1.46414983051,2.31899554175e+70,264.1875,0.815506329114
mackerel,66,0.088,0.48677662209,-4.28181605634,-1.55684812153,1.51323104473e+70,266.545454545,0.765501165501
ale,15,0.02,0.458503382319,-6.36840259741,-2.14745115364,9.97037767129e+68,345.133333333,0.733333333333
roe,18,0.024,0.45946797569,-6.44017204056,-2.05253413133,1.54362043909e+69,341.222222222,0.908496732026
parmesan,0,0.0,0.0,0,0,3.69766840982e+36,0.0,0.0
poppy_seed,148,0.197333333333,0.521242110846,-3.30635441447,-1.26196400849,5.88387319813e+70,210.263513514,0.658485015628
fish_steak,43,0.0573333333333,0.477551992225,-5.19924304564,-1.6909006869,8.16217360871e+69,317.325581395,0.837209302326
freshwater_fish,13,0.0173333333333,0.459145993927,-6.52296885269,-2.15745802534,9.5213641668e+68,393.076923077,0.782051282051
honeydew_melon,30,0.04,0.470352715961,-4.98017172363,-1.95261052604,2.44556326975e+69,242.566666667,0.786206896552
corn cob,17,0.0226666666667,0.464352468698,-6.09165393741,-2.03735227088,1.65543456014e+69,398.941176471,0.669117647059
grape,133,0.177333333333,0.515500655652,-3.18819255965,-1.34388545129,4.03481034924e+70,201.654135338,0.595693779904
peanut,243,0.324,0.564828735632,-2.52865941461,-1.12381999509,1.11159288974e+71,167.646090535,0.46216372479
sashimi,10,0.0133333333333,0.450619899129,-7.88845974489,-2.35133727696,3.89877584973e+68,294.8,0.977777777778
geranium,4,0.00533333333333,0.409756931415,0,-2.71613836792,7.26648167788e+67,301.25,1.0
couscous,48,0.064,0.480352883675,-4.91635508542,-1.6627747689,9.29082246171e+69,291.875,0.830673758865
black_olive,43,0.0573333333333,0.475472665699,-4.88309621877,-1.71523185848,7.29691887357e+69,289.046511628,0.834994462901
cress,44,0.0586666666667,0.477551992225,-4.37341737831,-1.7358665468,6.63545355721e+69,272.636363636,0.778012684989
pork_belly,20,0.0266666666667,0.464352468698,-6.26339152705,-1.98240324599,2.13209505421e+69,370.35,0.805263157895
ingredient,231,0.308,0.559522914888,-2.26472481548,-1.14348762114,1.01534062673e+71,170.454545455,0.467494824017
lima_bean,60,0.08,0.483186823992,-4.79342645226,-1.57458888569,1.39451602818e+70,278.533333333,0.852542372881
castor_sugar,228,0.304,0.558093128904,-2.40365265371,-1.16303434744,9.27937172575e+70,166.460526316,0.442306206044
rump_steak,55,0.0733333333333,0.481765686275,-4.83433264288,-1.64583866399,1.00443484558e+70,255.309090909,0.824242424242
offal,4,0.00533333333333,0.437676241372,-7.35599141517,-2.64902416763,9.89860646448e+67,449.0,0.5
kidney_bean,85,0.113333333333,0.494491572327,-4.13306459358,-1.4514862687,2.45824907513e+70,253.729411765,0.782913165266
self-rising_flour,58,0.0773333333333,0.484975080188,-4.25394657956,-1.61562735059,1.15437052596e+70,262.948275862,0.777979431337
porgy,4,0.00533333333333,0.425731860515,-8.0271522954,-2.68842788476,8.25572089514e+67,353.0,0.833333333333
nectar,17,0.0226666666667,0.445412191253,-4.62933687387,-2.28396432396,5.31701039385e+68,192.588235294,0.779411764706
asparagus,121,0.161333333333,0.509884306096,-3.29415599794,-1.33872979353,4.13176169348e+70,222.950413223,0.681818181818
egg_noodle,48,0.064,0.477204175771,-4.87987764403,-1.68634063208,8.33527721089e+69,271.479166667,0.859042553191
vegetable_oil,269,0.358666666667,0.578288908503,-2.5257068663,-1.0934483867,1.27846082001e+71,160.360594796,0.429784164678
