node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,22,0.0292942743009,0.494064202875,-6.27837022948,-2.01087994409,1.73537869596e+71,303.636363636,0.952380952381
sunflower_oil,81,0.107856191744,0.524510736385,-4.2504162807,-1.4751970014,2.04530693351e+72,273.395061728,0.826234567901
mackerel,67,0.0892143808256,0.519418399139,-4.30344595014,-1.56157759703,1.37403677843e+72,278.71641791,0.796019900498
ale,15,0.0199733688415,0.489223599973,0,-2.14662351886,9.28780152763e+70,366.933333333,1.0
roe,18,0.0239680426099,0.490184117512,-6.67901618316,-2.06113635471,1.37684644934e+71,359.055555556,0.97385620915
olive,49,0.0652463382157,0.50883242633,-3.95658493614,-1.74481623505,5.9090772409e+71,248.06122449,0.733843537415
poppy_seed,154,0.205059920107,0.555227080473,-3.14708406079,-1.26549829534,5.37218020142e+72,215.435064935,0.649944826415
fish_steak,44,0.0585885486019,0.510566688179,-5.25846257568,-1.6921255902,7.53191767645e+71,330.318181818,0.910147991543
freshwater_fish,13,0.017310252996,0.490184117512,-7.1406722794,-2.1615705837,8.67002775605e+70,415.615384615,0.974358974359
honeydew_melon,31,0.0412782956059,0.501004235156,-5.01184869211,-1.93999633507,2.40524868894e+71,259.161290323,0.836559139785
corn cob,17,0.0226364846871,0.495043841083,0,-2.03551010232,1.54932174237e+71,425.823529412,1.0
grape,134,0.178428761651,0.547515593244,-3.16661543478,-1.35736408131,3.5190131417e+72,208.97761194,0.599034900685
flounder,20,0.0266311584554,0.490505128722,-6.03160044903,-2.04557281304,1.47914479952e+71,324.95,0.910526315789
peanut,252,0.335552596538,0.599680809894,-2.51707591964,-1.12897490401,1.00738053138e+73,171.226190476,0.454404603807
sashimi,11,0.0146471371505,0.482603950746,0,-2.30336166109,4.51266564512e+70,335.0,1.0
geranium,4,0.00532623169108,0.436990275121,0,-2.72665312464,6.42461032729e+69,317.25,1.0
couscous,50,0.0665778961385,0.513718334402,-4.94703124669,-1.65618495452,8.88760042809e+71,303.46,0.889795918367
black_olive,43,0.0572569906791,0.506081980782,-4.93903844362,-1.72200642105,6.5635993562e+71,306.395348837,0.884828349945
cress,45,0.0599201065246,0.509871566751,-4.32197770978,-1.74150381413,5.99994181255e+71,282.066666667,0.816161616162
pork_belly,20,0.0266311584554,0.495699094347,-7.40871259705,-1.98541216022,1.95135339183e+71,393.3,0.994736842105
ingredient,236,0.314247669774,0.592564344587,-2.28555795593,-1.15364432003,8.99198907629e+72,175.338983051,0.4631085467
lima_bean,63,0.0838881491345,0.516552642454,-4.52755846229,-1.57690257089,1.28040763797e+72,282.841269841,0.848438300051
castor_sugar,234,0.311584553928,0.591628223979,-2.37787035182,-1.16953192458,8.35758358029e+72,171.722222222,0.442170133157
rump_steak,55,0.0732356857523,0.513366231363,-4.85579463096,-1.65626755964,8.88417381539e+71,268.145454545,0.851851851852
offal,4,0.00532623169108,0.465796847984,0,-2.64561226218,9.33125940111e+69,477.25,1.0
kidney_bean,88,0.117177097204,0.527465726449,-4.1141692182,-1.45107757123,2.28558016332e+72,262.863636364,0.796760710554
self-rising_flour,58,0.0772303595206,0.516552642454,-4.27271031152,-1.62512008631,1.02544555314e+72,277.327586207,0.812462189958
