node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,5,0.00665778961385,0.458751221688,0,-2.65137733507,9.01126130575e+69,348.4,1.0
sunflower_oil,11,0.0146471371505,0.48252071504,0,-2.26839730722,5.25706120775e+70,371.363636364,1.0
mackerel,500,0.665778961385,0.747253745257,-1.55067329396,-0.985936522664,1.93037795769e+73,111.022,0.202709418838
ale,114,0.151797603196,0.537526683998,-3.66817037628,-1.36669187081,3.34305924782e+72,239.01754386,0.732960720385
roe,207,0.275632490013,0.577976713748,-2.39644986312,-1.19199478093,7.47368252567e+72,187.251207729,0.513859575067
olive,51,0.0679094540613,0.509584120398,-5.04803261351,-1.65664758588,8.79502950651e+71,296.901960784,0.883921568627
poppy_seed,26,0.034620505992,0.496343760174,-5.72147296586,-1.96523238401,2.12357603183e+71,289.923076923,0.935384615385
fish_steak,5,0.00665778961385,0.472423578961,0,-2.54477617191,1.4722816398e+70,479.0,1.0
freshwater_fish,57,0.0758988015979,0.51203572785,-4.44626930791,-1.62154183253,1.03382934836e+72,287.035087719,0.833333333333
honeydew_melon,68,0.0905459387483,0.518810573831,-4.83986535303,-1.52198173274,1.63519201576e+72,298.367647059,0.906496927129
corn cob,54,0.0719041278296,0.51203572785,-5.11737235547,-1.6044077422,1.11871269902e+72,319.574074074,0.932215234102
grape,22,0.0292942743009,0.493385419882,-7.02641670234,-2.01652287671,1.67682369931e+71,305.454545455,0.991341991342
flounder,284,0.378162450067,0.614189599358,-2.30683775568,-1.1034976719,1.12337606359e+73,158.764084507,0.397825113224
peanut,15,0.0199733688415,0.491432707138,-6.94837721923,-2.11498721775,1.06552647539e+71,395.466666667,0.980952380952
sashimi,17,0.0226364846871,0.492732793665,-7.08308093616,-2.06870679238,1.31863003007e+71,370.352941176,0.985294117647
geranium,81,0.107856191744,0.52502606344,-4.13197387643,-1.48106182179,1.97427406742e+72,271.012345679,0.799691358025
couscous,276,0.367509986684,0.609666108037,-2.37883693687,-1.10626889307,1.10913175927e+73,162.891304348,0.417523056653
black_olive,12,0.0159786950732,0.465341651481,0,-2.30459892799,4.44972723245e+70,276.916666667,1.0
cress,183,0.243675099867,0.564403018198,-2.69945116114,-1.25857069303,5.50024983757e+72,180.74863388,0.497568005765
pork_belly,45,0.0599201065246,0.507501351513,-4.4134015662,-1.73841252983,6.03541464923e+71,281.888888889,0.849494949495
ingredient,15,0.0199733688415,0.486617886363,0,-2.10365527858,1.12261143776e+71,411.133333333,1.0
lima_bean,48,0.0639147802929,0.504067648188,-4.22919313369,-1.71410970583,6.75012702487e+71,271.979166667,0.799645390071
castor_sugar,34,0.0452729693742,0.496343760174,-5.62457635046,-1.80305014058,4.48161208074e+71,325.529411765,0.92513368984
rump_steak,139,0.185086551265,0.546597200309,-3.38094789275,-1.30157857134,4.51200508482e+72,222.561151079,0.679491189657
offal,12,0.0159786950732,0.419016863904,-5.16808750724,-2.5625242351,1.3566597565e+70,130.416666667,0.606060606061
kidney_bean,178,0.237017310253,0.563975763831,-2.80151339598,-1.26342685505,5.37862590198e+72,187.971910112,0.501491779344
self-rising_flour,25,0.0332889480692,0.493712381724,-5.59802575164,-2.05508778913,1.40395734985e+71,241.92,0.893333333333
porgy,50,0.0665778961385,0.510982156393,-5.02603431282,-1.65592799358,8.8242357078e+71,304.4,0.915918367347
nectar,9,0.0119840213049,0.478491961478,0,-2.38572994999,3.06252322627e+70,356.888888889,1.0
asparagus,193,0.256990679095,0.570016820215,-2.63949172519,-1.23104787909,6.24350137898e+72,182.725388601,0.500755613126
egg_noodle,8,0.0106524633822,0.453446125393,0,-2.50190517792,1.79358177737e+70,261.0,1.0
vegetable_oil,13,0.017310252996,0.478491961478,0,-2.32686910914,4.01596606075e+70,239.692307692,1.0
cane_sugar,28,0.0372836218375,0.498669333348,-5.47244099526,-1.89852045427,2.88731299857e+71,321.857142857,0.915343915344
smoked_haddock,10,0.0133155792277,0.475135193891,0,-2.36438840296,3.37875388582e+70,308.9,1.0
prosciutto,108,0.143808255659,0.53597984462,-3.25051148442,-1.42125686278,2.60024536852e+72,225.037037037,0.64607130495
haricot,58,0.0772303595206,0.515222672214,-4.27380501618,-1.62509776944,1.01703433207e+72,277.155172414,0.812462189958
wheat_germ,275,0.366178428762,0.60916760754,-2.44589469014,-1.11013113355,1.08957919194e+73,162.770909091,0.413457199735
beet_green,74,0.098535286285,0.52135198322,-4.39794406832,-1.49975947179,1.81139473363e+72,287.472972973,0.861162532395
pea_flour,6,0.00798934753662,0.419488729742,0,-2.76309812469,5.38674791413e+69,175.0,1.0
round,77,0.102529960053,0.522082679763,-4.19115382251,-1.49968171671,1.81203828533e+72,273.064935065,0.828092959672
