field,count
Avoca_Caf_Cookbook,142
Cafe_Paradiso_Seasons:_Vegetarian_Cooking_Season-by-Season,132
Darina_Allen_s_Ballymaloe_Cooking_School_Cookbook,1126
Irish_Traditional_Cooking,350
Myrtle_Allen_s_Cooking_at_Ballymaloe_House,92
Paradiso_Seasons,132
Rachel_s_Irish_Family_Food:_120_Classic_Recipes_from_My_Home_to_Yours,139
Rick_Stein_s_Food_Heroes:_Another_Helping,167
Rick_Stein_s_Seafood_Lovers_Guide:_Recipes_Inspired_by_a_Coastal_Journey,90
The_Best_of_Gourmet_1996:_Featuring_the_Flavors_of_England__Ireland_Scotland,374
The_Cafe_Paradiso_Cookbook,112
The_Country_Cooking_of_Ireland,247
The_Festive_Food_of_Ireland,32
The_Gastropub_Cookbook:_with_a_Guide_to_More_Than_150_of_the_Best_Dining_Pubs_in_Britain_and_Ireland,90
West_of_Ireland_Summers:_A_Cookbook:_Recipes_Memories_from_an_Irish_Childhood,118
