node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
milt,6,0.00902255639098,0.457443609023,0,-2.32887073557,1.11112510645e+52,288.333333333,1.0
pheasant,69,0.103759398496,0.518843025932,-3.60407118561,-1.43886830601,6.69512724246e+53,173.695652174,0.64663256607
whiting,0,0.0,0.0,0,0,3.89215399528e+23,0.0,0.0
sunflower_oil,201,0.302255639098,0.587560902256,-2.22775153532,-1.06931056931,3.67170442348e+54,129.572139303,0.403333333333
mackerel,56,0.0842105263158,0.513203427824,-4.03556087858,-1.48650410734,5.37635843388e+53,194.785714286,0.74025974026
roe,20,0.0300751879699,0.479337211775,-4.72077929702,-1.91670202796,7.41468189487e+52,202.85,0.863157894737
olive,100,0.15037593985,0.535227542541,-2.98620696932,-1.28153419722,1.38173839481e+54,165.3,0.633333333333
tartar_sauce,8,0.012030075188,0.451198645077,-4.41880168277,-2.3955046539,8.17503138847e+51,186.625,0.714285714286
anchovy_sauce,4,0.00601503759398,0.41651292693,0,-2.70165424533,1.99613786121e+51,172.0,1.0
poppy_seed,28,0.0421052631579,0.484964060923,-4.63295393372,-1.80774865411,1.22461063973e+53,183.75,0.801587301587
mascarpone,62,0.0932330827068,0.515203441183,-3.22680067716,-1.5613798066,3.80829616577e+53,145.112903226,0.507667900582
Irish_whiskey,66,0.0992481203008,0.512805287073,-3.53711961186,-1.52644690779,4.47294671751e+53,147.96969697,0.605128205128
honeydew_melon,14,0.0210526315789,0.461274260319,-5.40325140444,-2.07099925974,3.64332840237e+52,199.357142857,0.912087912088
grape,59,0.0887218045113,0.51003550543,-3.09768800586,-1.60119329813,3.1703303017e+53,140.372881356,0.480420806546
peanut,77,0.115789473684,0.521709561987,-3.00373586844,-1.43764542735,6.73290556029e+53,151.415584416,0.57006151743
geranium,29,0.0436090225564,0.480033416876,-3.78035214764,-1.91605173137,7.43680655477e+52,147.482758621,0.64039408867
couscous,70,0.105263157895,0.516410949248,-4.12468057531,-1.39285503941,8.27532990589e+53,184.542857143,0.774741200828
