source,target,weight
carrot,celery,8.1833e-05
tomato,parsley,6.1375e-05
tomato,basil,6.1375e-05
white,white_wine,0.0019231
tomato,onion,6.1375e-05
parsley,onion,2.0458e-05
peppercorn,red_pepper,2.0458e-05
celery,parsley,2.0458e-05
celery,onion,2.0458e-05
tomato,celery,6.1375e-05
carrot,onion,8.1833e-05
pasta,tomato,0.00012275
carrot,parsley,8.1833e-05
pasta,parsley,0.00010229
carrot,tomato,8.1833e-05
parsley,basil,2.0458e-05
parsley,white_wine,2.0458e-05
garlic,parsley,2.0458e-05
peppercorn,parsley,2.0458e-05
tomato,peppercorn,6.1375e-05
white,parsley,0.001698
egg,flour,6.1375e-05
parsley,lemon,2.0458e-05
celery,bay_leaf,2.0458e-05
tomato,red_pepper,6.1375e-05
carrot,bay_leaf,8.1833e-05
bay_leaf,parsley,2.0458e-05
tomato,garlic,6.1375e-05
red_pepper,parsley,2.0458e-05
tomato,oregano,6.1375e-05
pasta,basil,0.00010229
bay_leaf,onion,2.0458e-05
onion,white_wine,2.0458e-05
flour,butter,4.0917e-05
parsley,anchovy,2.0458e-05
spaghetti,pasta,0.00038871
oregano,parsley,2.0458e-05
tomato,white_wine,6.1375e-05
chilli,parsley,0.00012275
parsley,mushroom,2.0458e-05
white,onion,0.0017594
caper,parsley,2.0458e-05
thyme,parsley,4.0917e-05
rosemary,parsley,4.0917e-05
parsley,potato,2.0458e-05
peppercorn,onion,2.0458e-05
garlic,olive_oil,2.0458e-05
chilli,tomato,0.00012275
rosemary,sage,4.0917e-05
white,tomato,0.002189
rosemary,onion,4.0917e-05
tomato,rosemary,6.1375e-05
tomato,bay_leaf,6.1375e-05
rosemary,celery,4.0917e-05
onion,basil,2.0458e-05
peppercorn,celery,2.0458e-05
garlic,onion,2.0458e-05
pasta,onion,0.00010229
chicken_stock,parsley,2.0458e-05
celery,white_wine,2.0458e-05
carrot,rosemary,8.1833e-05
olive_oil,parsley,2.0458e-05
carrot,white_wine,8.1833e-05
caper,anchovy,2.0458e-05
egg,parsley,6.1375e-05
carrot,peppercorn,8.1833e-05
peppercorn,bay_leaf,2.0458e-05
garlic,peppercorn,2.0458e-05
bread,parsley,4.0917e-05
mozzarella,tomato,0.00022504
tomato,flour,6.1375e-05
chicken_stock,onion,2.0458e-05
pasta,peppercorn,0.00010229
pasta,red_pepper,0.00010229
thyme,celery,4.0917e-05
peppercorn,basil,2.0458e-05
red_onion,tomato,0.00036825
carrot,thyme,8.1833e-05
egg,butter,6.1375e-05
red_onion,parsley,0.00034779
garlic,basil,2.0458e-05
red_pepper,basil,2.0458e-05
rosemary,garlic,4.0917e-05
garlic,red_pepper,2.0458e-05
thyme,bay_leaf,4.0917e-05
rosemary,bay_leaf,4.0917e-05
tomato,bread,6.1375e-05
pasta,garlic,0.00010229
tomato,potato,6.1375e-05
onion,potato,2.0458e-05
flour,parsley,4.0917e-05
sage,parsley,2.0458e-05
mozzarella,basil,0.00022504
white,celery,0.0019435
oregano,basil,2.0458e-05
rosemary,white_wine,4.0917e-05
celery,basil,2.0458e-05
parsley,spring_onion,2.0458e-05
tomato,caper,6.1375e-05
white,carrot,0.00223
parsley,veal,2.0458e-05
carrot,potato,8.1833e-05
thyme,onion,4.0917e-05
chicken,parsley,2.0458e-05
chilli,pasta,0.00012275
pasta,celery,0.00010229
celery,beef,2.0458e-05
bay_leaf,white_wine,2.0458e-05
celery,potato,2.0458e-05
tomato,eggplant,6.1375e-05
olive_oil,lemon,2.0458e-05
flour,lemon,4.0917e-05
carrot,beef,8.1833e-05
celery,spring_onion,2.0458e-05
ingredient,parsley,0.0010025
carrot,spring_onion,8.1833e-05
tomato,mushroom,6.1375e-05
flour,sugar,4.0917e-05
tomato,thyme,6.1375e-05
shrimp,parsley,8.1833e-05
tomato,cheese,6.1375e-05
garlic,celery,2.0458e-05
flour,ricotta,4.0917e-05
oregano,onion,2.0458e-05
tomato_paste,celery,2.0458e-05
tomato,anchovy,6.1375e-05
onion,mushroom,2.0458e-05
thyme,rosemary,4.0917e-05
garlic,white_wine,2.0458e-05
tomato_paste,parsley,2.0458e-05
pasta,carrot,0.00012275
