field,count
,130
Ada_Boni,1364
Alastair_Little,171
Andrew_Friedman,152
Angela_Hartnett,136
Anna_Del_Conte,660
Annabel_Langbein,117
Antonello_Colonna,23
Antonio_Carluccio,1213
Arthur_Schwartz,223
Arturo_Iengo,103
Australian_Women_s_Weekly,87
Barbara_Lynch,144
Biba_Caggiano,1203
Brian_Polcyn,97
Carol_Field,818
Caroline_Pizzey,147
Carolynn_Carre_o,164
Chiara_Lima,48
Christopher_Hirsheimer,71
Clarissa_Hyman,95
Claudia_Piras,384
Claudia_Roden,299
Clifford_A._Wright,164
Colman_Andrews,244
Cook_s_Illustrated_Magazine,636
Danilo_Zecchin,134
David_Dale,176
David_Downie,103
David_Joachim,457
David_Rocco,140
Delia_Smith,54
Diane_Seed,409
Dom_DeLuise,156
Domenica_Marchetti,402
Edward_Mayes,137
Eileen_Daspin,173
Elizabeth_David,428
Evan_Goldstein,74
Evan_Kleiman,743
Fabio_Viviani,158
Faith_Heller_Willinger,281
Francine_Segan,122
Franco_Galli,80
Frank_Pellegrino,199
Fred_Plotkin,221
Gennaro_Contaldo,543
Giada_De_Laurentiis,463
Gina_DePalma,102
Gino_D_Acampo,314
Gioietta_Vitale,95
Giorgio_Locatelli,393
Giovanna_Tornabene,232
Giuliano_Bugialli,1457
Giuliano_Hazan,332
Gourmet_Magazine_Editors,336
Guy_Grossi,197
Guy_Mirabella,66
Gwen_Hyman,112
Harry_Cipriani,215
Ian_Batchelor,318
Italian_Academy_of_Cuisine,2006
Jack_Bishop,490
Jacob_Kenedy,390
Jamie_Oliver,131
Jan_McGuinness,91
Jana_Kolpen,7
Janet_Fletcher,116
Jeff_Smith,359
Jessica_Theroux,83
Jim_Eber,128
Jo_Seagar,101
Joanne_McAllister_Smart,130
Johanne_Killeen,279
Jonathan_Waxman,159
Joyce_Goldstein,351
Judith_Barrett,242
Julia_Moskin,194
Julia_della_Croce,372
Julie_Biuso,336
Kate_Leahy,187
Katherine_Cobbs,190
Kathryn_Kellinger,70
Katie_Caldesi,804
Laura_Garrone,26
Lauren_Chattman,70
Lidia_Matticchio_Bastianich,839
Lorenza_De_Medici,476
Lori_De_Mori,135
Lori_Kornblum,196
Lou_Seibert_Pappas,28
Loukie_Werle,125
Lynne_Rossetto_Kasper,362
Maggie_Beer,114
Marcella_Hazan,1950
Maria_Bruscino_Sanchez,70
Maria_Guarnaschelli,196
Mario_Batali,1054
Mario_Matassa,53
Mark_Ladner,153
Mary_Ann_Esposito,390
Mary_Goodbody,260
Maurizio_Terzini,143
Melissa_Clark,217
Melissa_Hamilton,75
Melissa_Pellegrino,314
Michael_Chiarello,98
Michael_White,111
Michele_Evans,177
Michele_Scicolone,1646
Micol_Negrin,209
Nancy_Harmon_Jenkins,440
Nancy_Verde_Barr,206
National_Italian-Australian_Women_s_Association,73
Nick_Stellino,269
Nigella_Lawson,112
Nino_Zoccali,94
Pamela_Sheldon_Johns,165
Patience_Gray,219
Patricia_Wells,156
Patrizia_Passigli,247
Peter_Meehan,94
Peter_Reinhart,70
Phaidon_Editors,50
Phaidon_Press_Editors,2765
Pino_Luongo,413
Press_Strawpaper,156
Priscilla_Carluccio,179
Rick_Rodgers,103
Rick_Tramonto,187
Rinaldo_Di_Stasio,86
Roberta_Muir,112
Rosa_Mitchell,93
Rosario_Del_Nero,17
Rosemary_Wadey,32
Russell_Norman,146
Ruth_Rogers,2150
Saveur_Magazine,123
Sophie_Braimbridge,184
Stanley_Tucci,177
Stefano_de_Pieri,151
Steven_Kolpan,177
Susan_Herrmann_Loomis,211
Susan_Simon,63
Suzanne_Dunaway,114
Suzanne_Lenzer,108
Tanya_Bastianich_Manuali,595
Ted_Taylor,102
Tessa_Kiros,649
Time-Life_Books,108
Tobie_Puttock,219
Tony_Percuoco,76
Ursula_Ferrigno,131
Valentina_Harris,919
Vanessa_Maltin,142
Viana_La_Place,479
Williams-Sonoma,100
