field,count
Afghan,1
African,1
Afternoon_tea,834
Appetizers_/_starters,7633
Asian,49
Australian,3
Austrian,15
Baked_&_steamed_desserts,394
Basque,1
Belgian,2
Beverages_/_drinks_(no-alcohol),80
Brazilian,1
Bread_&_buns__sweet,193
Bread_&_rolls__savory,876
Breakfast_/_brunch,327
British,12
Brownies__slices_&_bars,31
Cajun_&_Creole,5
Cakes__large,1005
Cakes__small,83
Canadian,2
Canapés_/_hors_d'oeuvre,516
Candy_/_sweets,166
Caribbean,1
Catalan,4
Central_Southern_States,7
Cheesecakes,76
Children_&_baby_food,72
Children's_parties,17
Chili,5
Chinese,10
Christmas,365
Chutneys__pickles_&_relishes,206
Cocktails_/_drinks_(with_alcohol),267
Cookies__biscuits_&_crackers,812
Cooking_ahead,2067
Cooking_for_1_or_2,288
Cooking_for_a_crowd,366
Croatian,2
Crumbles__cobblers__crisps_&_bettys,18
Cuban,4
Curry,18
Cypriot,1
Dairy-free,121
Dessert,5475
Dinner_parties/entertaining,1192
Dips__spreads_&_salsas,549
Dressings_&_marinades,727
East_European,4
Easter,220
Egg_dishes,984
Egg-free,2
English,17
European,6
Fall_/_autumn,541
French,209
Fried_doughs,584
Frostings_&_fillings,71
General_courses,2
German,17
Gluten-free,211
Greek,40
Grills_&_BBQ,1180
Halloween,2
Hanukkah,2
Hawaiian,2
Hungarian,5
Ice_cream_&_frozen_desserts,1143
Indian,10
Indonesian,1
Irish,2
Italian,46393
Jams__jellies_&_preserves,257
Japanese,9
Jewish,183
Low_calorie,22
Low_fat,38
Lunch,593
Main_course,21389
Malaysian,1
Mediterranean,293
Mexican,56
Middle_Eastern,13
Monacan,1
Moroccan,13
Mousses__trifles__custards_&_creams,855
New_Zealand,3
North_African,3
North_American,657
Other_Jewish_holidays,16
Pancakes__waffles_&_crêpes,198
Passover,20
Pasta__baked,678
Pasta__doughs_&_sauces,6008
Pasta__filled,720
Persian,3
Philippine,1
Picnics_&_outdoors,227
Pies__tarts_&_pastries,1425
Pizza_&_calzones,1091
Polish,4
Portuguese,1
Quick_/_easy,2026
Rice_dishes,1949
Romanian,2
Russian,8
Salads,2663
Sandwiches_&_burgers,468
Sauces_for_desserts,262
Sauces_for_fish,230
Sauces_for_meat,197
Sauces_for_poultry,83
Sauces__general,1130
Scandinavian,1
Scottish,1
Side_dish,6497
Slovenian,1
Small_plates_-_tapas__meze,727
Snacks,352
Soups,2979
South_American,3
Spanish,44
Spice_/_herb_blends_&_rubs,87
Spring,622
Stews_&_one-pot_meals,2149
Stir-fries,9
Stocks,385
Stuffing,242
Summer,1425
Suppers,216
Swedish,3
Swiss,4
Thai,7
Thanksgiving,32
Turkish,2
Valentine's_Day_/_romantic,40
Vegan,4157
Vegetarian,13302
Vietnamese,1
Winter,683
