node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,23,0.0243644067797,0.49062555173,1.62887486504e-05,0.00928714054895,1.68489975329e+54,217.869565217,0.433333333333
pheasant,77,0.0815677966102,0.510016816092,0.000177698445992,0.0318027261158,1.97585644273e+55,190.896103896,0.472072072072
whiting,35,0.0370762711864,0.492678378307,3.05612238114e-05,0.0141012319186,3.88494171405e+54,196.828571429,0.541666666667
sunflower_oil,147,0.155720338983,0.533711648341,0.00163422802724,0.0472324793422,4.35828896562e+55,142.068027211,0.270019157088
mackerel,72,0.0762711864407,0.504823718822,0.000112657243043,0.0290685742663,1.65088274418e+55,185.25,0.507246376812
ale,36,0.0381355932203,0.498149687637,2.4272723338e-05,0.0162947220912,5.18756410331e+54,224.944444444,0.559714795009
roe,70,0.0741525423729,0.511679011039,0.000124796277444,0.0282352240477,1.5575181846e+55,192.914285714,0.427129060579
hero roll,47,0.0497881355932,0.498941239048,5.9205697784e-05,0.0191309260592,7.15063499806e+54,193.574468085,0.546464646465
graham_bread,18,0.0190677966102,0.476480050239,2.72394239548e-06,0.00771882925176,1.16397079418e+54,210.888888889,0.591666666667
wood_sorrel,66,0.0699152542373,0.503474644213,0.000216280513999,0.024255576013,1.14938878778e+55,165.106060606,0.40376984127
capon,99,0.104872881356,0.521018285023,0.000264150494832,0.0413504915941,3.34041719249e+55,191.96969697,0.4514604811
celery_salt,31,0.0328389830508,0.489860145253,4.47871357219e-05,0.0136407836575,3.63537122812e+54,214.774193548,0.544334975369
anchovy_sauce,6,0.00635593220339,0.401022162334,1.56389574973e-07,0.00169487088133,5.61199824975e+52,122.833333333,0.666666666667
poppy_seed,32,0.0338983050847,0.48682225288,2.95411217184e-05,0.0118847443687,2.75914094775e+54,189.03125,0.466666666667
fish_steak,32,0.0338983050847,0.492936190121,1.18277057955e-05,0.0152580746458,4.5485568095e+54,245.125,0.645977011494
freshwater_fish,19,0.0201271186441,0.461312957552,1.07608360464e-06,0.00983601672444,1.89024813365e+54,262.789473684,0.794117647059
liquorice,32,0.0338983050847,0.484070431306,2.57795749513e-05,0.0119433608342,2.78637518728e+54,183.03125,0.572413793103
crystallized_fruit,94,0.0995762711864,0.510569679849,0.000270379258725,0.030499937781,1.81702814049e+55,153.893617021,0.545150501672
corn cob,5,0.00529661016949,0.422421999696,1.5937954161e-07,0.00146600703715,4.19851907469e+52,159.2,0.333333333333
sunflower_seed,70,0.0741525423729,0.508365385495,0.000252034505462,0.0271409103348,1.43907275094e+55,178.557142857,0.418349429324
grape,162,0.171610169492,0.539828687291,0.00261928025112,0.051279499724,5.1368616518e+55,137.12962963,0.290566037736
flounder,59,0.0625,0.508914672783,8.17252387842e-05,0.024554300334,1.17790695713e+55,198.86440678,0.467418546366
peanut,68,0.0720338983051,0.506180042623,0.000331884139147,0.0241365993765,1.13810332751e+55,166.602941176,0.392540792541
sashimi,44,0.0466101694915,0.496836001752,4.66485206623e-05,0.0183500930897,6.57834863553e+54,197.318181818,0.565621370499
geranium,24,0.0254237288136,0.481349544876,1.83416318887e-05,0.00894719145572,1.56385047671e+54,185.916666667,0.467532467532
hardtack,27,0.0286016949153,0.482088566695,7.9363662149e-06,0.0109319570798,2.33492311911e+54,202.555555556,0.66
starter,28,0.0296610169492,0.491393353846,2.6451282426e-05,0.011448873924,2.56054392012e+54,217.142857143,0.48
couscous,90,0.0953389830508,0.513631984363,0.000165115465138,0.0369885985002,2.67302224263e+55,187.566666667,0.5
black_olive,166,0.175847457627,0.531003979325,0.00167576533249,0.0474048632499,4.39048005878e+55,117.903614458,0.258267245249
cress,28,0.0296610169492,0.486319596965,1.62623967132e-05,0.0115287197484,2.59652895244e+54,202.75,0.443076923077
pork_belly,102,0.108050847458,0.517582999627,0.000312736621153,0.03937487612,3.02892747306e+55,171.696078431,0.418181818182
ingredient,168,0.177966101695,0.517298769534,0.0100610549465,0.0304448441188,1.81052135099e+55,77.5773809524,0.128002920774
malmsey,12,0.0127118644068,0.422421999696,3.96483629502e-08,0.00377017853701,2.77629573487e+53,158.416666667,0.977777777778
alcohol,11,0.0116525423729,0.455954046138,2.56755665625e-06,0.0038203549172,2.85088090788e+53,195.454545455,0.694444444444
lima_bean,78,0.0826271186441,0.504553325829,0.000112915430705,0.0323447869509,2.04400912555e+55,192.846153846,0.520701754386
brownie,7,0.00741525423729,0.409387683321,0.0,0.00209956768563,8.61008437712e+52,168.857142857,1.0
mince,46,0.0487288135593,0.504823718822,6.70354700111e-05,0.0207109969074,8.38004895502e+54,228.913043478,0.458773784355
jack,19,0.0201271186441,0.475278031949,4.01496978483e-06,0.00907788068588,1.60994477836e+54,236.526315789,0.669117647059
kidney_bean,71,0.0752118644068,0.505365375173,0.000121118907541,0.0288625624902,1.6275631165e+55,189.056338028,0.476982097187
self-rising_flour,67,0.0709745762712,0.500266096294,0.000151502834663,0.0229860212159,1.03206269417e+55,165.208955224,0.484615384615
ouzo,4,0.00423728813559,0.385591919493,0.0,0.000803019999902,1.25951226621e+52,122.75,1.0
challah,34,0.0360169491525,0.491137152931,2.51930233663e-05,0.0142660948772,3.97571652575e+54,210.264705882,0.516129032258
porgy,37,0.0391949152542,0.495268695753,3.14513984867e-05,0.0154529127812,4.66535807287e+54,203.756756757,0.49243697479
nectar,15,0.0158898305085,0.464268634461,2.33223875269e-05,0.00549144325353,5.89124927143e+53,184.333333333,0.461538461538
asparagus,140,0.148305084746,0.529214078271,0.00170348544028,0.039091625109,2.98552413918e+55,118.535714286,0.241193271977
egg_noodle,31,0.0328389830508,0.495529226366,3.01884537018e-05,0.0132523206469,3.43100588628e+54,220.580645161,0.433497536946
cane_sugar,17,0.0180084745763,0.477930522233,3.99669003172e-06,0.00697728081377,9.50949624761e+53,222.235294118,0.571428571429
loganberry,14,0.0148305084746,0.45817172146,1.7046883159e-06,0.00467040793873,4.26062168711e+53,180.214285714,0.727272727273
smoked_haddock,27,0.0286016949153,0.494229307094,9.5141722401e-06,0.0133986798235,3.50747424131e+54,260.777777778,0.653333333333
prosciutto,199,0.210805084746,0.549271754707,0.00587122432015,0.0542940315777,5.75913046028e+55,115.462311558,0.21413032218
haricot,74,0.0783898305085,0.499470338983,0.00031118303564,0.028694882703,1.60871355514e+55,176.554054054,0.461267605634
quahog,9,0.00953389830508,0.418853294496,0.0,0.00281662028056,1.55008854033e+53,161.555555556,1.0
beet_green,73,0.0773305084746,0.511123743528,0.000150128173442,0.0285805245122,1.59584882939e+55,181.068493151,0.413279678068
pea_flour,5,0.00529661016949,0.416078206414,1.00894117427e-07,0.00159960642885,4.99919609814e+52,169.2,0.333333333333
porterhouse,40,0.0423728813559,0.493970141228,2.376443772e-05,0.0175734646392,6.0336384256e+54,208.175,0.550497866287
round,63,0.0667372881356,0.503205694082,0.00040685958555,0.0268020567629,1.40346681146e+55,200.920634921,0.495628415301
dessert_wine,65,0.0688559322034,0.497360643781,6.92788343739e-05,0.0237329427646,1.10019313479e+55,175.953846154,0.648745519713
garlic_butter,12,0.0127118644068,0.463355169366,1.03794397715e-06,0.00460459798269,4.14246745333e+53,198.583333333,0.755555555556
sultana,136,0.14406779661,0.530406001871,0.00111595385707,0.0466177421889,4.24529274344e+55,154.213235294,0.358433396925
tomato_sauce,179,0.189618644068,0.540138222088,0.00168079867817,0.0549743534708,5.90459071402e+55,130.067039106,0.281394453005
lemon_curd,16,0.0169491525424,0.454633715889,3.68221592779e-06,0.00508608484618,5.05285223833e+53,167.375,0.648351648352
tea,54,0.0572033898305,0.500798011335,0.000203278419334,0.020508462909,8.21609125757e+54,185.444444444,0.453242835596
almond,227,0.240466101695,0.554444413962,0.00654936230089,0.0524247841185,5.36833082913e+55,101.792951542,0.243611111111
bacon,214,0.226694915254,0.552817523076,0.00251377213019,0.0684293524579,9.14836285748e+55,133.042056075,0.281230439059
ham,173,0.183262711864,0.541068959978,0.00279144823303,0.0530636453799,5.50102983241e+55,130.075144509,0.258479532164
millet,19,0.0201271186441,0.476480050239,4.22568924447e-05,0.0070575636971,9.73090754183e+53,192.421052632,0.573529411765
burger,22,0.0233050847458,0.473605359136,6.77097275594e-06,0.00771917740328,1.16414849677e+54,166.636363636,0.568421052632
soft_roll,16,0.0169491525424,0.44793203011,2.89799513605e-06,0.00522942152251,5.34289004519e+53,155.8125,0.538461538462
currant,159,0.16843220339,0.541068959978,0.00160080100978,0.0562099336494,6.17215601936e+55,157.742138365,0.354401437204
spaghetti,88,0.0932203389831,0.493970141228,0.000683679860368,0.024976085782,1.21877788609e+55,122.625,0.31244870041
almond_extract,89,0.0942796610169,0.508639880843,0.000399893366386,0.0279183859957,1.52242821705e+55,150.741573034,0.54664528201
gnocchi,30,0.0317796610169,0.488336474506,1.39631420136e-05,0.0130050518345,3.30431248054e+54,214.466666667,0.526455026455
giblet,24,0.0254237288136,0.487830688411,8.76997084569e-06,0.0106961465461,2.23513364707e+54,230.708333333,0.571428571429
powdered_sugar,20,0.021186440678,0.453976414131,3.2032380636e-06,0.00644574285808,8.11516493684e+53,167.8,0.823529411765
red_onion,285,0.301906779661,0.575795268534,0.00797068601953,0.0792628837383,1.22744792112e+56,113.950877193,0.204320477157
egg_roll,7,0.00741525423729,0.431319166356,2.89455020924e-07,0.00252823708468,1.24887213978e+53,190.857142857,0.6
ground_beef,136,0.14406779661,0.529511556673,0.000890854816835,0.0460156912067,4.13683361518e+55,149.948529412,0.347772416115
tarragon,189,0.200211864407,0.550234263623,0.00174990940958,0.0648004229942,8.20368051858e+55,145.91005291,0.317750560635
almond_cookie,8,0.00847457627119,0.419226105617,2.19021905113e-08,0.00261299539254,1.33362417933e+53,177.0,0.933333333333
soy_sauce,112,0.118644067797,0.520730270493,0.0012373584273,0.0348875455129,2.37786298669e+55,135.1875,0.296246872394
mustard_greens,171,0.181144067797,0.542940091828,0.0017550807608,0.0593360095564,6.87822953631e+55,146.543859649,0.311073541843
espresso,90,0.0953389830508,0.492420836028,0.00133810014761,0.0232267827795,1.05371062807e+55,123.966666667,0.466300940439
fillet,128,0.135593220339,0.526551738022,0.000863052855083,0.0461947586831,4.16915192651e+55,161.25,0.378920634921
chocolate_cake,19,0.0201271186441,0.460186155018,8.62415249217e-06,0.00620189565712,7.51271918956e+53,178.105263158,0.808823529412
salsify,64,0.0677966101695,0.510846561454,0.000142609156257,0.0263071145578,1.35206531544e+55,199.546875,0.44262295082
dill_weed,182,0.192796610169,0.54735680379,0.00219719122164,0.0614122142756,7.36815321541e+55,143.472527473,0.305400372439
applesauce,18,0.0190677966102,0.470529999661,7.19001488134e-06,0.00690776280453,9.32165244727e+53,181.944444444,0.5
galangal,9,0.00953389830508,0.424707420794,2.78095594831e-07,0.00283338812331,1.56847876991e+53,148.666666667,0.761904761905
corn,195,0.20656779661,0.550234263623,0.00316300099371,0.0610392633924,7.27847535558e+55,135.964102564,0.262683506045
gingersnap,15,0.0158898305085,0.455733458792,3.85819436524e-07,0.0051910935919,5.26342577388e+53,193.6,0.910256410256
beef_neck,22,0.0233050847458,0.468890522311,3.05745443592e-06,0.0100586368399,1.97679099259e+54,233.636363636,0.742105263158
grapefruit_juice,13,0.0137711864407,0.407792666373,9.32374343181e-06,0.00307919650519,1.8519967382e+53,112.538461538,0.672727272727
caper,222,0.235169491525,0.550555849984,0.00501916117563,0.0586570989709,6.72214547542e+55,107.112612613,0.209132420091
plain_flour,174,0.184322033898,0.540138222088,0.00255065943186,0.0485819329892,4.6104418153e+55,122.603448276,0.265809873521
knockwurst,20,0.021186440678,0.473129612919,4.74794793359e-06,0.00871237178958,1.48293607918e+54,210.8,0.627450980392
yellow_bean,66,0.0699152542373,0.504283222335,0.00010319241246,0.0275512337772,1.48301615334e+55,191.575757576,0.50496031746
leg,130,0.137711864407,0.525084202521,0.00051599041694,0.0503289389502,4.94865128204e+55,166.938461538,0.40686515748
chilli pepper,11,0.0116525423729,0.435104415391,4.0252954969e-08,0.00436149200951,3.71671107528e+53,203.181818182,0.944444444444
garlic_bread,20,0.021186440678,0.452232865733,1.92863544581e-06,0.00870070197672,1.47910156832e+54,216.0,0.758169934641
chili,15,0.0158898305085,0.465415543143,1.81704459068e-06,0.00612139857246,7.32069147153e+53,197.8,0.679487179487
chine,13,0.0137711864407,0.450502658691,4.29034249516e-07,0.00588495546601,6.76653434347e+53,228.538461538,0.8
pumpernickel,43,0.0455508474576,0.497886394991,3.49172230265e-05,0.019350306106,7.31521331359e+54,221.976744186,0.525609756098
sea_trout,43,0.0455508474576,0.500266096294,3.24041838581e-05,0.0200241721138,7.8336748514e+54,224.744186047,0.515853658537
chicken leg,72,0.0762711864407,0.509465148362,9.66205175974e-05,0.031949301069,1.99426427023e+55,206.722222222,0.504347826087
cracked_wheat,13,0.0137711864407,0.432507373426,6.41916093864e-08,0.00350473718547,2.39939409481e+53,131.153846154,0.981818181818
mozzarella,125,0.132415254237,0.517867542233,0.00116976426547,0.0336256074952,2.20902818095e+55,114.536,0.2574970012
florence_fennel,273,0.289194915254,0.574390889831,0.00603198049333,0.0798312786891,1.24511294909e+56,120.06959707,0.23266365997
vinegar,288,0.305084745763,0.580407307038,0.0112103475608,0.0790034457385,1.21937163395e+56,109.743055556,0.187363513679
nectarine,64,0.0677966101695,0.493194271896,0.000169918344324,0.0216382456314,9.14590542891e+54,155.578125,0.454785827604
beef_tongue,71,0.0752118644068,0.511679011039,0.000172487957972,0.0304233125072,1.80826273302e+55,202.23943662,0.475703324808
lychee,11,0.0116525423729,0.428962231021,8.21822885214e-07,0.00279096003977,1.52159500176e+53,122.727272727,0.833333333333
plantain,15,0.0158898305085,0.460411074937,7.02195755536e-05,0.00482118852495,4.54067323406e+53,159.0,0.448717948718
lasagne,84,0.0889830508475,0.512514178086,0.00022406194774,0.0314309121242,1.93008159901e+55,172.988095238,0.424570912376
cinnamon,304,0.322033898305,0.58838292275,0.0125329249989,0.0750873309118,1.10134999144e+56,104.447368421,0.196167301049
buckwheat,68,0.0720338983051,0.502400564972,0.000220904842824,0.0231761561294,1.0493123143e+55,154.0,0.343123543124
popcorn,13,0.0137711864407,0.458841236884,4.11865016668e-06,0.00422948423144,3.49477742044e+53,160.846153846,0.654545454545
mussel,125,0.132415254237,0.522463149929,0.00062485440579,0.0408938370874,3.26726927308e+55,140.52,0.38731174197
green_olive,177,0.1875,0.536141752602,0.00170384038251,0.0542787935538,5.75607788769e+55,127.779661017,0.27855500821
clementine,45,0.0476694915254,0.494748455526,5.14275137488e-05,0.017089772015,5.7050562957e+54,186.222222222,0.531561461794
apple,213,0.22563559322,0.554770941886,0.00425903334722,0.0598899567165,7.0065649493e+55,118.737089202,0.251997291808
frog_legs,18,0.0190677966102,0.483077466319,5.369660053e-06,0.00783261450633,1.19856242148e+54,223.666666667,0.491666666667
split,31,0.0328389830508,0.473129612919,2.28359818827e-05,0.011357590828,2.52026191542e+54,170.64516129,0.527093596059
radish,161,0.170550847458,0.53705875674,0.00152232100709,0.0552980001884,5.97400546307e+55,144.664596273,0.345275057718
liqueur,98,0.103813559322,0.507543674204,0.00136775668086,0.0274739538851,1.47433861693e+55,133.744897959,0.455263157895
egg_yolk,300,0.317796610169,0.576147436894,0.0146065600511,0.0666160840774,8.66853173351e+55,93.0033333333,0.162384471109
butter_cookie,31,0.0328389830508,0.481103707519,1.51598470415e-05,0.0114034996511,2.54002252092e+54,190.64516129,0.706896551724
ginger_ale,6,0.00635593220339,0.398140768944,3.25058235082e-07,0.00154074655737,4.63777256967e+52,122.166666667,0.666666666667
pasta,175,0.185381355932,0.537978903097,0.00605493619586,0.0428601293044,3.58903801048e+55,105.068571429,0.205336738809
duck,147,0.155720338983,0.534923940558,0.000957544572441,0.0538602497279,5.66723248082e+55,159.353741497,0.360249042146
pork_tenderloin,77,0.0815677966102,0.512235486309,0.000235738422111,0.0306040937698,1.82977287526e+55,185.155844156,0.38018018018
herring,40,0.0423728813559,0.496574095584,3.85852743337e-05,0.0163597503893,5.22868747991e+54,187.7,0.466571834993
broccoli_rabe,65,0.0688559322034,0.494748455526,0.000119119490827,0.0224041360211,9.80657784275e+54,150.907692308,0.383000512033
lime,219,0.231991525424,0.555097854639,0.00873454245036,0.0612632956702,7.33210644256e+55,116.502283105,0.219448711384
hamburger_bun,20,0.021186440678,0.485567556352,5.76116872713e-06,0.00893101143245,1.5583679966e+54,227.7,0.56862745098
agar,41,0.0434322033898,0.499735309985,4.54017369118e-05,0.0193950723123,7.34905724979e+54,224.951219512,0.560053981107
saltine,11,0.0116525423729,0.410815987493,7.29819204933e-07,0.00324482330301,2.05705975312e+53,119.545454545,0.694444444444
