node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,23,0.0222652468538,0.489535619513,-4.9697182456,-2.08370306705,7.67084507977e+59,245.130434783,0.447619047619
pheasant,86,0.0832526621491,0.511179270848,-3.74832277852,-1.51431486806,1.05595972595e+61,205.093023256,0.477051061388
whiting,39,0.0377541142304,0.492110890587,-4.51342155125,-1.86367321358,2.11346908875e+60,214.58974359,0.531531531532
mustard oil,36,0.0348499515973,0.491405860658,-4.43512202941,-1.90466423184,1.7496103453e+60,210.805555556,0.465240641711
sunflower_oil,158,0.152952565344,0.534269923269,-2.8705780768,-1.34894961947,2.26147268087e+61,156.759493671,0.280893300248
mackerel,78,0.0755082284608,0.504413662851,-3.95760190372,-1.5660353098,8.32281233663e+60,201.051282051,0.497894736842
ale,40,0.0387221684414,0.498790049548,-4.66671049595,-1.80367166711,2.78610089147e+60,244.3,0.561877667141
roe,73,0.0706679574056,0.510418587409,-3.95262774745,-1.59149679415,7.4014807389e+60,211.315068493,0.432193158954
Bosc,38,0.0367860600194,0.493763854231,-4.83212686489,-1.86620371547,2.08830696724e+60,237.078947368,0.653968253968
hero roll,49,0.0474346563408,0.499516442824,-4.32926003329,-1.74599696434,3.63372985936e+60,219.673469388,0.580943570768
graham_bread,18,0.0174249757986,0.479052082038,-5.6431724089,-2.16212448232,5.34620905749e+59,240.0,0.591666666667
wood_sorrel,75,0.0726040658277,0.506399543414,-3.76164956888,-1.60688164528,6.89519494364e+60,188.973333333,0.4299847793
ice,5,0.00484027105518,0.348933154363,0,-3.39299832988,1.84530268254e+57,50.2,1.0
anchovy_sauce,6,0.00580832526621,0.399458024929,-7.04215040777,-2.8374546099,2.38449692848e+58,132.833333333,0.666666666667
poppy_seed,33,0.0319457889642,0.491640646066,-4.68450301753,-1.95188552656,1.40752430431e+60,219.939393939,0.50752688172
egg_roll,9,0.00871248789932,0.443154122402,-6.63693846977,-2.51415458895,1.05693593774e+59,231.666666667,0.714285714286
pea,247,0.239109390126,0.556519130458,-2.2939175416,-1.23683228533,3.79033440842e+61,119.866396761,0.211308129809
freshwater_fish,19,0.0183930300097,0.459787253001,-6.14136393973,-2.06304731294,8.43844047448e+59,292.631578947,0.794117647059
liquorice,34,0.0329138431752,0.483781792298,-4.72514752503,-1.95802135742,1.36825055653e+60,199.705882353,0.596774193548
crystallized_fruit,101,0.0977734753146,0.512452127598,-3.63931576969,-1.54550241048,9.14476985154e+60,168.524752475,0.554112554113
corn cob,5,0.00484027105518,0.423458383628,-6.9845805416,-2.88381142147,1.92596246288e+58,180.2,0.333333333333
grape,181,0.175217812197,0.541866178103,-2.66263643404,-1.29742017387,2.86692041686e+61,151.143646409,0.29401795242
Scotch_whisky,40,0.0387221684414,0.499031945789,-4.364856139,-1.83156196116,2.44982910965e+60,238.225,0.429587482219
romaine_lettuce,145,0.1403678606,0.529868111337,-3.22567926779,-1.33288898098,2.43526325416e+61,174.117241379,0.375652516498
sashimi,44,0.0425943852856,0.496863289337,-4.42090926531,-1.78991674846,2.96800254502e+60,221.181818182,0.578397212544
Oka,6,0.00580832526621,0.445263466991,-7.63480307812,-2.74334945218,3.67790744798e+58,205.0,0.833333333333
Gorgonzola,133,0.128751210068,0.523932725161,-3.13235516192,-1.44092815976,1.48054256336e+61,146.932330827,0.288667058133
granola,7,0.00677637947725,0.39668614966,0,-2.75104721044,3.54884712632e+58,146.0,1.0
hardtack,27,0.026137463698,0.480169795715,-5.27203353952,-2.0138608467,1.05835298803e+60,225.703703704,0.666666666667
starter,29,0.02807357212,0.493527037034,-4.67096622647,-1.96803079784,1.30674195636e+60,249.482758621,0.481481481481
couscous,107,0.103581800581,0.514501936108,-3.73665801158,-1.42217770642,1.61429693581e+61,199.962616822,0.48315018315
black_olive,178,0.172313649564,0.52796504475,-2.85079485893,-1.3536583088,2.21322738635e+61,127.348314607,0.258246753247
cress,28,0.027105517909,0.485837522293,-4.98502133537,-1.98848893513,1.18933627298e+60,228.107142857,0.470769230769
pork_belly,109,0.105517909003,0.518128837974,-3.59447733086,-1.42834161368,1.56901733795e+61,192.706422018,0.427790513137
Stilton,18,0.0174249757986,0.47158747581,-5.48957364132,-2.2279142777,3.94835689619e+59,199.055555556,0.541666666667
ingredient,208,0.201355275895,0.527423819691,-1.95878385358,-1.47891469855,1.2427435354e+61,83.8701923077,0.120530428605
malmsey,12,0.0116166505324,0.431086666199,-7.59370249398,-2.4661822303,1.31759343465e+59,185.333333333,0.977777777778
lima_bean,83,0.080348499516,0.503672967311,-4.06529012249,-1.51644558979,1.04582692063e+61,215.192771084,0.535802469136
castor_sugar,229,0.221684414327,0.546180399266,-2.18521122012,-1.33659842541,2.39326281753e+61,110.131004367,0.240146582979
jack,71,0.0687318489835,0.510418587409,-3.83416991164,-1.58442246166,7.64664406083e+60,220.366197183,0.441176470588
Boston_lettuce,91,0.0880929332043,0.515791414645,-3.84216606698,-1.47111467039,1.28855128729e+61,219.010989011,0.47037793667
quince,115,0.111326234269,0.515791414645,-3.44150447962,-1.44623661228,1.44464982075e+61,172.347826087,0.437579013906
ouzo,4,0.00387221684414,0.389184520506,0,-3.1326455143,6.12162747909e+57,142.25,1.0
porgy,37,0.0358180058083,0.493054083477,-4.70963068781,-1.8567591681,2.18180782307e+60,231.459459459,0.50756302521
red_snapper,95,0.0919651500484,0.514501936108,-3.87054524639,-1.47324124956,1.27600309196e+61,203.189473684,0.495558672277
