node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,21,0.0203291384318,0.448838687516,-6.85963630681,-2.19884091575,1.08482792011e+97,432.428571429,0.957142857143
pheasant,115,0.111326234269,0.48437280034,-4.27657660857,-1.51454011546,2.53493426192e+98,351.208695652,0.846224256293
whiting,38,0.0367860600194,0.456921587609,-6.14830651592,-1.96715963021,3.15299975394e+97,396.815789474,0.955903271693
mustard oil,34,0.0329138431752,0.453081910402,-5.2239480225,-2.04709958267,2.18196452781e+97,354.911764706,0.852049910873
sunflower_oil,232,0.22458857696,0.520306367555,-3.19803477867,-1.2937877407,7.00610777654e+98,272.556034483,0.612554112554
mackerel,91,0.0880929332043,0.47399338319,-4.60557017407,-1.62549009345,1.52078162993e+98,343.78021978,0.843467643468
ale,34,0.0329138431752,0.456196698787,-5.95507932022,-2.0089156485,2.60142482905e+97,407.705882353,0.919786096257
roe,81,0.0784123910939,0.472694771181,-4.98937780901,-1.65629715022,1.31962822388e+98,367.148148148,0.88487654321
hero roll,47,0.0454985479187,0.456921587609,-4.89785767112,-1.89851121778,4.32537365057e+97,357.70212766,0.898242368178
graham_bread,16,0.0154888673766,0.436352027013,0,-2.34644098444,5.4974673394e+96,386.875,1.0
bordeaux_wine,0,0.0,0.0,0,0,1.18695826983e+55,0.0,0.0
wood_sorrel,95,0.0919651500484,0.478197315635,-4.05966631424,-1.61846352654,1.57079536992e+98,339.557894737,0.775811870101
ice,3,0.00290416263311,0.328260257765,0,-3.63083526549,1.48385556548e+94,95.6666666667,1.0
parmesan,0,0.0,0.0,0,0,7.07482260363e+47,0.0,0.0
anchovy_sauce,4,0.00387221684414,0.373126279155,0,-3.01204921908,2.56421972675e+95,288.75,1.0
poppy_seed,32,0.0309777347531,0.452844072129,-5.34777478476,-2.07604695795,1.9096433432e+97,361.53125,0.840725806452
fish_steak,30,0.0290416263311,0.451422269705,0,-2.01700315931,2.50630337222e+97,465.133333333,1.0
pea,374,0.362052274927,0.568292462059,-2.35997168704,-1.17257230482,1.2243717983e+99,209.307486631,0.41266791874
freshwater_fish,17,0.0164569215876,0.432848950028,0,-2.23500270597,9.18399299767e+96,508.588235294,1.0
liquorice,30,0.0290416263311,0.443759237349,-5.41075683153,-2.16264265046,1.28163818834e+97,299.266666667,0.813793103448
crystallized_fruit,105,0.101645692159,0.478993868632,-3.95066486559,-1.65702954098,1.31520239532e+98,269.714285714,0.701831501832
corn cob,3,0.00290416263311,0.401988796554,0,-3.04124788336,2.24154024787e+95,438.0,1.0
grape,252,0.243949661181,0.527303152448,-2.87456772952,-1.27492246564,7.6420202995e+98,260.222222222,0.573104407766
peanut,72,0.0696999031946,0.470118777878,-3.93314226314,-1.79975412044,6.81617282668e+97,292.652777778,0.66510172144
sashimi,54,0.0522749273959,0.466307004003,-4.81545564579,-1.82265525212,6.13386497482e+97,384.296296296,0.90286512928
geranium,22,0.0212971926428,0.44103678804,-5.89838132524,-2.26670584012,7.93662019114e+96,334.363636364,0.844155844156
hardtack,25,0.0242013552759,0.443531083499,-7.34977688359,-2.16064164723,1.29348252951e+97,385.48,0.993333333333
starter,28,0.027105517909,0.454274859087,-6.06416335591,-2.08922477134,1.79718492877e+97,420.214285714,0.920634920635
couscous,115,0.111326234269,0.483287371096,-4.38822304441,-1.52206879217,2.44855470177e+98,342.434782609,0.844241037376
black_olive,323,0.312681510165,0.550170891203,-2.87210405983,-1.19611373683,1.09857314892e+99,233.13622291,0.500163452109
cress,26,0.0251694094869,0.44536291038,-5.7564511774,-2.15716511733,1.31436378566e+97,365.615384615,0.864615384615
pork_belly,145,0.1403678606,0.49323496707,-4.07447151991,-1.43671364809,3.6276187915e+98,325.386206897,0.791570881226
ingredient,533,0.515972894482,0.636655319119,-1.78712705838,-1.08832029826,1.80475931008e+99,175.001876173,0.288091241236
malmsey,10,0.00968054211036,0.401240910421,0,-2.65214080363,1.34515105524e+96,290.1,1.0
lima_bean,89,0.0861568247822,0.475561167258,-4.70712309162,-1.62489598141,1.52494588312e+98,352.078651685,0.858784473953
brownie,5,0.00484027105518,0.399938784147,0,-2.87463065042,4.82817879755e+95,385.4,1.0
jack,17,0.0164569215876,0.435911044672,-7.96729927143,-2.27309396732,7.70644066835e+96,439.411764706,0.992647058824
kidney_bean,83,0.080348499516,0.471145798692,-4.80647856779,-1.66178925549,1.2866742145e+98,345.518072289,0.842785777255
quince,152,0.147144240077,0.494649058145,-3.78243771522,-1.45585177136,3.3215968304e+98,295.157894737,0.705559428372
poultry,9,0.00871248789932,0.421430365122,0,-2.56290041592,2.0287982736e+96,443.0,1.0
ouzo,2,0.00193610842207,0.392121798821,0,-3.1640396547,1.27338705978e+95,517.5,1.0
porgy,48,0.0464666021297,0.462804698179,-5.89157281871,-1.85147048869,5.37158014899e+97,408.875,0.945921985816
red_snapper,111,0.107454017425,0.481399529802,-4.63445458769,-1.54504912455,2.20267203882e+98,334.738738739,0.846355446355
nectar,14,0.0135527589545,0.437236673799,-5.11079790895,-2.44604548038,3.47497685997e+96,366.285714286,0.747252747253
asparagus,288,0.278799612778,0.537822916088,-2.87403328663,-1.23046498765,9.37832221189e+98,244.760416667,0.540335849787
edam,0,0.0,0.0,0,0,1.0,0.0,0.0
turkish_coffee,0,0.0,0.0,0,0,1.0,0.0,0.0
cane_sugar,15,0.0145208131655,0.438347539332,-7.47102546079,-2.35469570436,5.29239042029e+96,424.733333333,0.980952380952
loganberry,12,0.0116166505324,0.426219346544,0,-2.50999444048,2.58856818591e+96,353.083333333,1.0
smoked_haddock,25,0.0242013552759,0.452606483424,-6.46355882576,-2.09104077483,1.78219951871e+97,487.8,0.976666666667
prosciutto,380,0.367860600194,0.57130328305,-2.31934185154,-1.15803722267,1.30913239329e+99,212.857894737,0.422941258159
haricot,88,0.0851887705712,0.474775980961,-3.96387834673,-1.64363799266,1.39884936792e+98,339.375,0.817920585162
triple_sec,0,0.0,0.0,0,0,1.0,0.0,0.0
quahog,7,0.00677637947725,0.415143386624,0,-2.70567914382,1.05119820311e+96,402.571428571,1.0
beet_green,94,0.0909970958374,0.477403407529,-4.61174964433,-1.59627512411,1.73978630886e+98,359.0,0.863417982155
pea_flour,3,0.00290416263311,0.406343832975,0,-3.00676004011,2.62735559858e+95,485.666666667,1.0
scampi,103,0.0997095837367,0.479526379881,-4.45437513806,-1.5751320112,1.91771102009e+98,340.553398058,0.847325337902
round,76,0.0735721200387,0.47063172799,-3.80637676243,-1.67442843504,1.21391278831e+98,378.381578947,0.875087719298
dessert_wine,67,0.0648596321394,0.4637999771,-4.71419763197,-1.81871330089,6.24632902339e+97,294.47761194,0.807779285391
garlic_butter,10,0.00968054211036,0.430903075627,0,-2.54463577794,2.20683281728e+96,414.1,1.0
sultana,200,0.193610842207,0.510454412666,-3.39322937935,-1.33807693533,5.71343608857e+98,289.59,0.675979899497
tomato_sauce,283,0.273959341723,0.536485048138,-3.05882135315,-1.23998156075,8.97620037264e+98,242.431095406,0.539909280004
lemon_curd,14,0.0135527589545,0.421636342818,-6.29977608625,-2.48475832512,2.90759303612e+96,314.428571429,0.868131868132
tea,54,0.0522749273959,0.459599337989,-4.40325693043,-1.89106425396,4.47629755715e+97,318.703703704,0.735150244584
almond,407,0.393998063892,0.582490180557,-2.19497270528,-1.16689882613,1.25677855681e+99,198.793611794,0.36121567156
bacon,305,0.295256534366,0.544613609473,-2.9069864845,-1.21390150217,1.01216838142e+99,238.8,0.515789473684
millet,17,0.0164569215876,0.439688051685,-5.070988612,-2.35609328487,5.25840841631e+96,381.647058824,0.882352941176
strawberry_ice_cream,15,0.0145208131655,0.395537807155,-5.80948130474,-2.66420855573,1.27245033584e+96,182.266666667,0.838095238095
burger,20,0.0193610842207,0.437015175991,-6.27801471947,-2.31443904451,6.37045709055e+96,317.55,0.910526315789
soft_roll,15,0.0145208131655,0.420608462899,-6.76744347469,-2.41705859362,3.971287651e+96,329.133333333,0.895238095238
currant,218,0.211035818006,0.515641337361,-3.29575353292,-1.30762772599,6.57349571353e+98,282.78440367,0.656660888682
ravioli,48,0.0464666021297,0.461813681695,-5.50559755991,-1.83547656082,5.7821471652e+97,423.145833333,0.960992907801
spaghetti,241,0.23330106486,0.522196100124,-3.07192420059,-1.28076318036,7.4392106093e+98,266.618257261,0.607503457815
almond_extract,104,0.100677637948,0.478462538772,-3.70769576097,-1.67503257333,1.21056328922e+98,259.615384615,0.689133681852
gnocchi,34,0.0329138431752,0.452606483424,-6.63109422121,-1.98113663169,2.95643268721e+97,436.088235294,0.980392156863
giblet,22,0.0212971926428,0.447674082722,-7.47715750672,-2.16757566516,1.25282335244e+97,445.863636364,0.991341991342
gorgonzola,0,0.0,0.0,0,0,1.0,0.0,0.0
powdered_sugar,18,0.0174249757986,0.426852032363,-6.16960161313,-2.39428966408,4.41033456433e+96,303.833333333,0.895424836601
red_onion,472,0.456921587609,0.608798840794,-2.21423741064,-1.1063020223,1.66132975511e+99,189.351694915,0.339477850948
egg_roll,5,0.00484027105518,0.415543332084,0,-2.80629983032,6.61359776033e+95,481.8,1.0
ground_beef,215,0.208131655373,0.514411423617,-3.35206206744,-1.31817709616,6.26178946294e+98,276.488372093,0.647294066507
tarragon,263,0.254598257502,0.529894322731,-3.11477917078,-1.25527640497,8.36568277825e+98,256.079847909,0.576582590776
