field,count
,130
1_000_Italian_Recipes,998
A_Sardinian_Cookbook,112
A_Tuscan_in_the_Kitchen:_Recipes_and_Tales_from_My_Home,158
A16:_Food_+_Wine,102
Adventures_of_an_Italian_Food_Lover:_With_Recipes_from_254_of_My_Very_Best_Friends,102
Alastair_Little_s_Italian_Kitchen:_Recipes_from_La_Cacciata,171
Allegro_Al_Dente:_Pasta_Opera,86
Amaretto__Apple_Cake_and_Artichokes:_The_Best_of_Anna_Del_Conte,300
American_Brasserie:_180_Simple__Robust_Recipes_Inspired_by_the_Rustic_Foods_of_France__Italy_and_America,194
American_Pie:_My_Search_For_The_Perfect_Pizza,70
An_Invitation_to_Italian_Cooking,149
Angela_Hartnett_s_Cucina:_Three_Generations_of_Italian_Family_Cooking,136
Angeli_Caffe_Pizza_Pasta_Panini:_Heavenly_Recipes_from_the_City_of_Angels_Most_Beloved_Caffe,138
Antipasti:_Fabulous_Appetizers_and_Small_Plates,59
Antipasti:_The_Little_Dishes_of_Italy,92
Antonio_Carluccio_s_Italia:_The_Recipes_and_Customs_of_the_Regions,122
Antonio_Carluccio_s_Italian_Feast:_Over_100_Recipes_Inspired_by_the_Flavours_of_Northern_Italy,108
Antonio_Carluccio_s_Simple_Cooking,109
Antonio_Carluccio_s_Southern_Italian_Feast:_More_Than_100_Recipes_Inspired_by_the_Flavours_of_Southern_Italy,105
Antonio_Carluccio_s_Vegetables,223
Antonio_Carluccio:_The_Collection,309
Biba_s_Italy:_Favorite_Recipes_from_the_Splendid_Cities,134
Biba_s_Northern_Italian_Cooking:_Revised_Edition,223
Biba_s_Taste_of_Italy:_Recipes_from_the_Homes__Trattorie_and_Restaurants_of_Emilia-Romagna,260
Big_Night_In:_More_Than_100_Wonderful_Recipes_for_Feeding_Family_and_Friends_Italian-Style,113
Biscotti,28
Bocca_Cookbook,231
Bottega:_Bold_Italian_Flavors_from_the_Heart_of_California_s_Wine_Country,98
Bugialli_on_Pasta__Revised_and_Enlarged,211
Bugialli_s_Italy:_Traditional_Recipes_from_the_Regions_of_Italy,193
Buon_Appetito:_Regional_Italian_Recipes/Ricette_Regionali_Italiani,73
Buonissimo!:_Italian_Food_Has_Never_Been_So_Sexy,103
Canal_House_Cooking__Volume_7:_La_Dolce_Vita,71
Canal_House_Cooking__Volume_8:_Pronto,75
Carluccio_s_Complete_Italian_Food,179
Carmine_s_Family-Style_Cookbook:_More_Than_100_Classic_Italian_Dishes_to_Make_at_Home,119
Celebrating_Italy:_Tastes_Traditions_of_Italy_as_Revealed_Through_Its_Feasts__Festivals_Sumptuous_Foods,168
