node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,20,0.0207684319834,0.491560633464,-7.07769066941,-2.20990388192,2.89677197474e+97,453.15,0.968421052632
pheasant,121,0.125649013499,0.531233299293,-4.25205951397,-1.49851035468,7.66844473232e+98,351.917355372,0.844628099174
whiting,41,0.0425752855659,0.501828218497,-5.54052366605,-1.94548003874,9.78956943071e+97,392.756097561,0.928048780488
mustard oil,37,0.0384215991693,0.498703185481,-5.09888365036,-2.01597268229,7.07591196443e+97,356.594594595,0.848348348348
sunflower_oil,233,0.241952232606,0.567967516798,-3.0649227615,-1.29866246029,1.92490425e+99,273.660944206,0.599415421045
mackerel,98,0.101765316719,0.521433010538,-4.43293301227,-1.60102602353,4.78273428712e+98,342.37755102,0.831264464549
ale,38,0.0394600207684,0.500260821667,-5.72625232084,-1.97583538835,8.51242138505e+97,394.315789474,0.907539118065
roe,82,0.0851505711319,0.518059858987,-4.78967863075,-1.65688430631,3.69792120217e+98,369.926829268,0.870822041554
graham_bread,16,0.0166147455867,0.484131505502,0,-2.34263641375,1.5719945802e+97,405.1875,1.0
wood_sorrel,97,0.100726895119,0.523421044892,-4.07522563044,-1.60849165835,4.62108675009e+98,345.721649485,0.793599656357
ice,32,0.0332294911734,0.485599311987,-4.56286733573,-2.20248781478,2.99747373174e+97,272.6875,0.758064516129
anchovy_sauce,4,0.00415368639668,0.406342933793,0,-3.01738606543,7.03014344359e+95,287.75,1.0
poppy_seed,31,0.0321910695742,0.498186126709,-5.35191518564,-2.08362279253,5.18179069372e+97,381.225806452,0.855913978495
egg_roll,6,0.00623052959502,0.460029218967,0,-2.70662975542,2.94073551646e+96,521.666666667,1.0
freshwater_fish,17,0.0176531671859,0.471541235732,0,-2.23899281476,2.53355544785e+97,510.529411765,1.0
liquorice,26,0.0269989615784,0.47834795342,-5.66393259293,-2.25176428775,2.38893932572e+97,280.692307692,0.8
crystallized_fruit,111,0.115264797508,0.526287534733,-3.78885107821,-1.64761974415,3.85916836017e+98,265.90990991,0.675184275184
corn cob,3,0.00311526479751,0.438212967817,0,-3.04221793459,6.27027186566e+95,445.333333333,1.0
grape,255,0.264797507788,0.575794510738,-2.92315831031,-1.27263270689,2.1700501935e+99,262.850980392,0.57316658947
Scotch_whisky,37,0.0384215991693,0.504992663385,-6.05785316675,-1.9705087863,8.72380635733e+97,418.459459459,0.944444444444
sashimi,53,0.055036344756,0.51035636666,-4.70129804395,-1.83741289291,1.61027324626e+98,384.471698113,0.895500725689
Gorgonzola,100,0.103842159917,0.525711727802,-4.39850991237,-1.57429156396,5.40933430775e+98,365.3,0.846060606061
granola,5,0.00519210799585,0.40720382984,0,-3.04351370951,6.23319466521e+95,226.8,1.0
starter,11,0.0114226375909,0.483157887593,-6.57254593228,-2.4762538965,8.49593682044e+96,465.454545455,0.909090909091
couscous,130,0.134994807892,0.532115746634,-4.16655013584,-1.48995298986,7.9767163069e+98,326.261538462,0.806082289803
black_olive,325,0.33748701973,0.600250492456,-2.83257374185,-1.19863159005,3.05123673591e+99,234.270769231,0.495403608737
cress,18,0.018691588785,0.469238788292,-6.23179136493,-2.34666344031,1.54313618859e+97,327.333333333,0.869281045752
pork_belly,144,0.14953271028,0.538375931889,-3.91924437359,-1.44165900762,9.96349172588e+98,331.958333333,0.789627039627
ingredient,540,0.560747663551,0.694364912154,-1.70642631043,-1.0899736144,5.03264045237e+99,175.038888889,0.282354153783
lima_bean,86,0.0893042575286,0.518059858987,-4.77223455595,-1.63137964594,4.15879043708e+98,367.941860465,0.886456908345
