field,count
Afternoon_tea,7
Appetizers_/_starters,12
Baked_&_steamed_desserts,1
Beverages_/_drinks_(no-alcohol),9
Bread_&_rolls__savory,2
Cakes__large,4
Candy_/_sweets,1
Cocktails_/_drinks_(with_alcohol),9
Cooking_for_a_crowd,1
Dessert,8
Dips__spreads_&_salsas,1
Fried_doughs,4
Grills_&_BBQ,1
Jamaican,86
Lunch,21
Main_course,29
Mousses__trifles__custards_&_creams,1
Pancakes__waffles_&_crêpes,1
Pasta__doughs_&_sauces,1
Pies__tarts_&_pastries,6
Salads,2
Side_dish,11
Snacks,16
Soups,4
Spice_/_herb_blends_&_rubs,1
Stews_&_one-pot_meals,4
Stocks,3
Suppers,5
Vegan,3
Vegetarian,15
