node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
beef_roast,6,0.041095890411,0.444465584306,0,-1.46568927706,95897433.5261,36.3333333333,1.0
fennel_seed,11,0.0753424657534,0.464538223597,0,-1.15970092398,392449539.169,38.5454545455,1.0
kale,9,0.0616438356164,0.424798965531,0,-1.27546265835,230282140.679,36.0,1.0
ham_hock,9,0.0616438356164,0.45002140411,0,-1.26969173522,236484372.018,37.1111111111,1.0
mackerel,6,0.041095890411,0.457164601,0,-1.26078487551,246382959.911,62.0,1.0
chicken,22,0.150684931507,0.514310176125,-2.08711837276,-0.939917023559,1079824192.26,31.8181818182,0.47619047619
ham,7,0.0479452054795,0.436384391864,0,-1.27816630084,227431140.276,48.2857142857,1.0
peanut,3,0.0205479452055,0.359119324975,0,-2.16812895543,3775227.4936,16.6666666667,1.0
avocado,11,0.0753424657534,0.472153604312,0,-1.11885064515,473677955.621,43.9090909091,1.0
walnut,3,0.0205479452055,0.369248331577,0,-2.04687473058,6598489.79528,19.3333333333,1.0
celery,25,0.171232876712,0.488158811238,-1.8472402306,-0.950759882602,1027232061.99,26.32,0.423333333333
tomato_paste,13,0.0890410958904,0.448619468271,-2.35454034045,-1.17607243178,363948253.67,32.6923076923,0.641025641026
spring_onion,44,0.301369863014,0.547554560133,-1.30309172585,-0.755448316225,2525202702.83,21.4090909091,0.274841437632
polenta,20,0.13698630137,0.507066370828,-2.16304563968,-0.991948876922,849747766.288,31.2,0.526315789474
orange,20,0.13698630137,0.470610618677,-1.6960796556,-1.37327143213,146773913.063,15.1,0.284210526316
rice,12,0.0821917808219,0.452851727406,-3.40164463093,-1.11528423706,481523222.019,39.5,0.80303030303
ingredient,19,0.130136986301,0.498293596246,-1.13661056943,-1.23794867836,273707617.134,21.4736842105,0.251461988304
aubergine,11,0.0753424657534,0.460085780559,0,-1.13020727809,449542323.522,41.9090909091,1.0
flour,1,0.00684931506849,0.332579328672,0,-2.63812385779,433470.54711,19.0,0.0
game,5,0.0342465753425,0.436384391864,0,-1.58185995256,56164962.2662,35.0,1.0
molasses,9,0.0616438356164,0.415005329438,-3.18924222865,-1.50576962102,79736309.3453,21.4444444444,0.722222222222
offal,9,0.0616438356164,0.455717877579,0,-1.21253907481,307684813.069,43.7777777778,1.0
kidney_bean,14,0.0958904109589,0.472153604312,-2.28901596669,-1.14795845916,414255360.548,32.1428571429,0.516483516484
rock_lobster,11,0.0753424657534,0.460085780559,0,-1.13020727809,449542323.522,41.9090909091,1.0
bread,10,0.0684931506849,0.44173880158,-2.74896696219,-1.21685630704,301628142.436,37.7,0.688888888889
