source,target,weight
tomato,chili_con_carne,0.0001846
chili_con_carne,onion,9.2302e-05
chili_con_carne,coriander_seed,9.2302e-05
tomato,onion,0.0001846
chili_con_carne,garlic,9.2302e-05
lime,chili_con_carne,0.00046151
chili_con_carne,corn,9.2302e-05
tomato,coriander_seed,0.0001846
garlic,onion,9.2302e-05
chili_con_carne,cumin_seed,9.2302e-05
chili_con_carne,oregano,9.2302e-05
tortilla,corn,9.2302e-05
coriander_seed,onion,9.2302e-05
lime,coriander_seed,0.00046151
tomato,garlic,0.0001846
tortilla,chili_con_carne,9.2302e-05
tomato,oregano,0.0001846
tomato,corn,0.0001846
onion,corn,9.2302e-05
oregano,onion,9.2302e-05
chili_con_carne,tomatillo,9.2302e-05
chili_con_carne,chicken,9.2302e-05
lime,tomato,0.00046151
cumin_seed,garlic,9.2302e-05
chili_con_carne,bay_leaf,9.2302e-05
stick,chili_con_carne,0.00036921
peppercorn,chili_con_carne,9.2302e-05
chicken_stock,chili_con_carne,9.2302e-05
garlic,coriander_seed,9.2302e-05
avocado,chili_con_carne,0.0001846
bay_leaf,onion,9.2302e-05
cumin_seed,onion,9.2302e-05
oregano,cumin_seed,9.2302e-05
chili_con_carne,lard,9.2302e-05
tomato,cumin_seed,0.0001846
coriander_seed,corn,9.2302e-05
pork,chili_con_carne,0.0022152
chicken,onion,9.2302e-05
chicken_stock,onion,9.2302e-05
peppercorn,onion,9.2302e-05
cumin_seed,coriander_seed,9.2302e-05
lime,onion,0.00046151
tomato,bay_leaf,0.0001846
tomato,tortilla,0.0001846
oregano,garlic,9.2302e-05
thyme,chili_con_carne,0.0001846
tortilla,onion,9.2302e-05
tomato,chicken,0.0001846
peppercorn,garlic,9.2302e-05
bay_leaf,garlic,9.2302e-05
tomato,peppercorn,0.0001846
coriander_seed,tomatillo,9.2302e-05
tomato,chicken_stock,0.0001846
cinnamon,stick,0.00073842
chili_con_carne,potato,9.2302e-05
tortilla,coriander_seed,9.2302e-05
avocado,coriander_seed,0.0001846
bay_leaf,oregano,9.2302e-05
onion,lard,9.2302e-05
carrot,chili_con_carne,0.00027691
cinnamon,chili_con_carne,0.00064611
carrot,onion,0.00027691
tomato,avocado,0.0001846
lime,garlic,0.00046151
garlic,corn,9.2302e-05
stick,onion,0.00036921
chili_con_carne,parsley,9.2302e-05
stick,tomato,0.00036921
red_onion,chili_con_carne,0.0013845
thyme,bay_leaf,0.0001846
parsley,onion,9.2302e-05
oregano,coriander_seed,9.2302e-05
lime,corn,0.00046151
peppercorn,bay_leaf,9.2302e-05
tomato,thyme,0.0001846
tomato,lard,0.0001846
thyme,oregano,0.0001846
lime,avocado,0.00046151
peppercorn,oregano,9.2302e-05
pork,onion,0.0023999
adobo,chili_con_carne,9.2302e-05
stick,garlic,0.00036921
stick,peppercorn,0.00036921
thyme,onion,0.0001846
ingredient,chili_con_carne,0.0044305
chili_con_carne,cider_vinegar,9.2302e-05
chicken_stock,coriander_seed,9.2302e-05
chicken_stock,corn,9.2302e-05
tomato,parsley,0.0001846
red_pepper,chili_con_carne,9.2302e-05
pork,tomato,0.0023076
carrot,bay_leaf,0.00027691
onion,potato,9.2302e-05
chili_con_carne,spring_onion,9.2302e-05
red_onion,coriander_seed,0.0012922
chili_con_carne,beef,9.2302e-05
chicken,garlic,9.2302e-05
carrot,tomato,0.00027691
vinegar,chili_con_carne,0.00073842
peppercorn,cumin_seed,9.2302e-05
