field,count
Alice_Guadalupe_Tapp,83
Anne_Mendelson,156
Benjamin_Hargett,98
Cheryl_Alters_Jamison,314
Chevy_s_Inc_Staff,81
Daisy_Martinez,205
Deann_Groen_Bayless,510
Deborah_M._Schneider,166
Deborah_Schneider,71
Diana_Barrios_Trevino,144
Diana_Kennedy,1757
Donna_Nordin,97
Elisabeth_Lambert_Ortiz,802
Eva_Longoria,118
Evangelina_Soza,108
Fany_Gerson,170
Gourmet_Magazine_Editors,455
J._J._Goode,251
Jacqueline_Higuera_McMahan,151
Jean_Marie_Brownson,58
John_Sedlar,105
Katharine_Kagel,128
Lisa_Fain,157
Marcela_Valladolid,105
Maria_Teresa_Bermudez,232
Maricel_E._Presilla,535
Marie-Pierre_Colle,117
Marilyn_Tausend,188
Mark_Kiffin,119
Mark_Miller,131
Martha_Rose_Shulman,212
Mary_Sue_Milliken,200
Miguel_Ravago,253
Mike_Wille,96
Nicole_Curtis_Ammerman,102
Norma_Kerr,150
Norman_Kolpas,201
Patricia_Quintana,176
Reed_Hearon,38
Rick_Bayless,401
Robb_Walsh,107
Roberto_Santiba_ez,139
Sunset_Books,222
Susan_Curtis,128
Susanna_Palazuelos,253
Thomasina_Miers,275
Vincent_Satkoff,82
W._Park_Kerr,30
Zarela_Martinez,157
