field,count
Afternoon_tea,135
Appetizers_/_starters,976
Argentinian,45
Asian,13
Australian,1
Austrian,2
Baked_&_steamed_desserts,110
Basque,1
Beverages_/_drinks_(no-alcohol),275
Bolivian,16
Brazilian,111
Bread_&_buns__sweet,64
Bread_&_rolls__savory,252
Breakfast_/_brunch,399
British,2
Brownies__slices_&_bars,11
Cajun_&_Creole,22
Cakes__large,120
Cakes__small,19
Canapés_/_hors_d'oeuvre,136
Candy_/_sweets,65
Caribbean,16
Catalan,1
Central_American,143
Central_Southern_States,9
Cheesecakes,11
Children_&_baby_food,12
Children's_parties,2
Chilean,78
Chili,46
Chinese,9
Christmas,129
Chutneys__pickles_&_relishes,147
Cocktails_/_drinks_(with_alcohol),355
Colombian,87
Cookies__biscuits_&_crackers,112
Cooking_ahead,899
Cooking_for_1_or_2,151
Cooking_for_a_crowd,326
Costa_Rican,4
Crumbles__cobblers__crisps_&_bettys,9
Cuban,63
Curry,6
Czech,3
Dairy-free,1
Danish,4
Dessert,992
Dinner_parties/entertaining,356
Dips__spreads_&_salsas,821
Dominican_(Republic),21
Dressings_&_marinades,394
Easter,24
Ecuadorian,96
Egg_dishes,287
Egg-free,1
English,3
European,3
Fall_/_autumn,77
French,61
Fried_doughs,156
Frostings_&_fillings,23
German,4
Greek,3
Grills_&_BBQ,300
Guatemalan,26
Halloween,14
Honduran,2
Hungarian,1
Ice_cream_&_frozen_desserts,191
Indian,5
Irish,2
Italian,69
Jams__jellies_&_preserves,28
Japanese,8
Jewish,2
Low_calorie,1
Low_carb,1
Low_fat,218
Lunch,106
Main_course,3715
Mediterranean,10
Mexican,8156
Middle_Eastern,6
Moroccan,14
Mousses__trifles__custards_&_creams,177
Native_American,37
New_Zealand,1
Nicaraguan,7
North_African,3
North_American,1842
Panamanian,3
Pancakes__waffles_&_crêpes,57
Paraguayan,15
Pasta__baked,24
Pasta__doughs_&_sauces,73
Pasta__filled,4
Peruvian,122
Philippine,1
Picnics_&_outdoors,136
Pies__tarts_&_pastries,218
Pizza_&_calzones,18
Portuguese,1
Puerto_Rican,36
Quick_/_easy,299
Rice_dishes,334
Russian,2
Salads,506
Salvadoran,11
Sandwiches_&_burgers,418
Sauces_for_desserts,95
Sauces_for_fish,83
Sauces_for_meat,109
Sauces_for_poultry,68
Sauces__general,549
Scandinavian,2
Side_dish,1520
Small_plates_-_tapas__meze,120
Snacks,281
Soups,612
South_American,225
Spanish,97
Spice_/_herb_blends_&_rubs,76
Spring,54
Stews_&_one-pot_meals,807
Stir-fries,6
Stocks,63
Stuffing,69
Summer,187
Suppers,80
Swedish,1
Tahitian,1
Thai,24
Thanksgiving,28
Trinidadian,2
Uruguayan,1
Valentine's_Day_/_romantic,5
Vegan,1280
Vegetarian,2720
Venezuelan,59
Vietnamese,2
West_African,1
Winter,91
