node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,6,0.00684931506849,0.38280627611,7.13064884174e-08,0.00235612746529,3.05102894841e+46,158.666666667,0.833333333333
pheasant,35,0.0399543378995,0.452341797038,2.38813568163e-05,0.0201698649315,2.2360024095e+48,196.542857143,0.573863636364
sunflower_oil,36,0.041095890411,0.4461722251,0.000205324410897,0.0169685708638,1.58254496971e+48,160.083333333,0.447415329768
mackerel,47,0.0536529680365,0.456647080639,5.49983856163e-05,0.0274844822137,4.15190628973e+48,193.29787234,0.567676767677
ale,22,0.0251141552511,0.427360925823,6.12331348035e-06,0.0118236316382,7.683902115e+47,179.181818182,0.689473684211
roe,12,0.013698630137,0.401380813768,3.94929011553e-06,0.00646950286667,2.30054970707e+47,193.916666667,0.822222222222
barbecue,48,0.0547945205479,0.451773885177,0.000167439207061,0.0241591475719,3.20797401558e+48,161.020833333,0.551690821256
poppy_seed,10,0.0114155251142,0.414798731462,2.94581215708e-06,0.00384566792479,8.1279676582e+46,153.5,0.535714285714
fish_steak,37,0.0422374429224,0.452057662743,2.23826255499e-05,0.0227686334611,2.84934523099e+48,212.027027027,0.603361344538
hominy_grits,10,0.0114155251142,0.42786908388,8.62017836188e-07,0.00547137822658,1.64539767318e+47,213.2,0.785714285714
freshwater_fish,9,0.0102739726027,0.39739138547,0.0,0.00574048026671,1.81128067546e+47,231.888888889,1.0
crystallized_fruit,31,0.0353881278539,0.435375559036,2.95102016618e-05,0.0123474615446,8.37873145016e+47,146.774193548,0.662561576355
corn cob,21,0.0239726027397,0.436167150962,5.49109437747e-06,0.0126937841105,8.85650474435e+47,211.476190476,0.72514619883
grape,71,0.0810502283105,0.465207368511,0.000428056063357,0.0318253162249,5.56677432789e+48,142.253521127,0.375106564365
crappie,7,0.00799086757991,0.411949512929,7.86873282213e-07,0.00316863888976,5.51843096896e+46,182.285714286,0.6
dumpling,11,0.0125570776256,0.40363196808,1.12847188079e-06,0.00484829875731,1.29197714261e+47,145.545454545,0.75
sashimi,11,0.0125570776256,0.408906704027,6.27582804508e-07,0.00567152226009,1.76798948494e+47,176.0,0.777777777778
mate,6,0.00684931506849,0.389224336986,7.13064884174e-08,0.00254040809923,3.54698146559e+46,170.0,0.833333333333
couscous,29,0.0331050228311,0.440977818068,1.43656179763e-05,0.0167531220762,1.54263518611e+48,192.0,0.603988603989
black_olive,126,0.143835616438,0.480424431967,0.000984894453965,0.05666956372,1.76509431058e+49,136.26984127,0.372541306058
pickle_relish,16,0.0182648401826,0.414559792101,3.29934398997e-06,0.00744133589692,3.04345856148e+47,151.0625,0.703296703297
pork_belly,44,0.0502283105023,0.452626288734,4.14659655543e-05,0.0247944011587,3.37895558672e+48,187.545454545,0.607433217189
ingredient,144,0.164383561644,0.46945583763,0.00748450982743,0.034639088352,6.59437020298e+48,70.0625,0.120167815403
jerk,21,0.0239726027397,0.439630909644,9.25129634697e-06,0.0122359841793,8.22916538814e+47,204.523809524,0.701754385965
lima_bean,80,0.0913242009132,0.461035105116,0.000276750974058,0.0395389243661,8.59258818872e+48,152.85,0.467199467199
kidney_bean,84,0.0958904109589,0.466111268839,0.000442542473945,0.041720014185,9.56668065703e+48,157.154761905,0.454080096357
quince,53,0.060502283105,0.450924686145,0.000137444606646,0.0258797621892,3.68108659269e+48,153.830188679,0.474509803922
sorrel,29,0.0331050228311,0.44233300497,2.18353048184e-05,0.0159564556567,1.39942884173e+48,188.586206897,0.635327635328
margarita,4,0.00456621004566,0.350719200335,0.0,0.000900720232342,4.45892007169e+45,108.25,1.0
red_snapper,93,0.106164383562,0.470683975858,0.00026656893408,0.0459174450099,1.15884254734e+49,152.494623656,0.457631257631
nectar,19,0.0216894977169,0.407056447447,7.88894185267e-06,0.00699165091582,2.68652212096e+47,128.210526316,0.632352941176
round_steak,41,0.046803652968,0.451490463668,4.20729740049e-05,0.0218346928531,2.62037248528e+48,178.634146341,0.529014844804
asparagus,74,0.0844748858447,0.460739948199,0.000136245694416,0.0386860639001,8.22575763205e+48,162.986486486,0.488654147105
vegetable_oil,161,0.183789954338,0.495644489729,0.00539966211777,0.0569552067592,1.78291156692e+49,103.366459627,0.216941326328
mandarin_orange,12,0.013698630137,0.419636034453,4.7154421233e-06,0.00499192200502,1.36958374303e+47,152.916666667,0.488888888889
smoked_haddock,11,0.0125570776256,0.405908516123,4.32668173901e-07,0.00608439707084,2.03475921088e+47,188.272727273,0.861111111111
prosciutto,46,0.0525114155251,0.447281416462,0.000119304815995,0.0238230982061,3.11936877128e+48,164.434782609,0.503171247357
quahog,7,0.00799086757991,0.397610938722,9.77066515379e-08,0.00329867296401,5.98087586377e+46,181.714285714,0.8
round,20,0.0228310502283,0.435375559036,6.31594894842e-06,0.0120023834385,7.91789681658e+47,202.6,0.764705882353
orzo,39,0.0445205479452,0.449797374429,4.94045241765e-05,0.0193160856314,2.05071905181e+48,162.538461538,0.540540540541
pork,190,0.216894977169,0.501166991007,0.00486231903892,0.0687234177639,2.59582937899e+49,104.810526316,0.241267493458
sultana,25,0.0285388127854,0.424087094335,1.78971367724e-05,0.0122273686959,8.21752511956e+47,157.92,0.683794466403
taro_root,36,0.041095890411,0.440438065537,3.26082206533e-05,0.0193133065246,2.05018187195e+48,176.527777778,0.618538324421
lemon_curd,9,0.0102739726027,0.379375750705,1.23282099806e-06,0.00262485446033,3.78645132304e+46,109.0,0.714285714286
tea,19,0.0216894977169,0.412421661368,0.000409781870742,0.00646280897936,2.29544581161e+47,125.894736842,0.588235294118
almond,211,0.240867579909,0.516637328849,0.00567347961109,0.0734666574391,2.96639110282e+49,103.976303318,0.235645933014
bacon,195,0.222602739726,0.503621972769,0.00325804867429,0.0733845549627,2.95990838738e+49,108.461538462,0.253993955095
sirloin_tip,41,0.046803652968,0.449235829642,2.47986495619e-05,0.0241507577458,3.20582571446e+48,196.073170732,0.689608636977
millet,7,0.00799086757991,0.32432437994,0.0,0.000655420732355,2.36103557062e+45,32.5714285714,1.0
currant,86,0.0981735159817,0.472228214624,0.000440421367021,0.0439998378479,1.06405010839e+49,164.476744186,0.45553643144
marinade,12,0.013698630137,0.410773857926,3.8189146202e-07,0.00618223391244,2.1007319313e+47,177.916666667,0.866666666667
spaghetti,31,0.0353881278539,0.428889034021,6.14499760133e-05,0.018344399286,1.8496444014e+48,192.709677419,0.73645320197
almond_extract,56,0.0639269406393,0.450642328796,0.000185399643056,0.0208189079087,2.38198750164e+48,130.535714286,0.517120894479
powdered_sugar,50,0.0570776255708,0.447559576546,8.16141354498e-05,0.0197874573689,2.15181783628e+48,138.18,0.570921985816
red_onion,242,0.276255707763,0.523400581154,0.00888076519104,0.0835876542799,3.84019685023e+49,98.1611570248,0.211785216179
guava,59,0.0673515981735,0.449516426663,0.000304747284275,0.0221365933346,2.69313180585e+48,124.13559322,0.392230576441
ground_beef,127,0.14497716895,0.480745356771,0.00126552593983,0.0578430276501,1.83895023223e+49,136.25984252,0.379612903226
tarragon,143,0.163242009132,0.487915795991,0.00178892934693,0.0624943083201,2.14659109063e+49,131.055944056,0.350557244174
potato_chip,64,0.0730593607306,0.46251658039,0.00020779459063,0.0304131522206,5.08380864002e+48,152.125,0.445795875198
soy_sauce,158,0.180365296804,0.494622542328,0.00286974771625,0.0615713549386,2.08363997965e+49,115.715189873,0.287510339123
