node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,4,0.00456621004566,0.400710355839,0,-2.71755819849,6.00657393286e+71,366.0,1.0
pheasant,33,0.0376712328767,0.452341797038,-5.86603891289,-1.85287387077,3.22104782998e+73,306.696969697,0.922348484848
sauvignon_blanc,0,0.0,0.0,0,0,2.0163894351e+45,0.0,0.0
sunflower_oil,36,0.041095890411,0.453481914989,-3.99550416001,-1.89289607329,2.67887662109e+73,260.111111111,0.7
mackerel,49,0.0559360730594,0.459563090094,-5.26555521102,-1.68264161169,7.0544266498e+73,302.12244898,0.90306122449
ale,20,0.0228310502283,0.431719135625,-6.39857843808,-2.07802282582,1.14208704471e+73,299.65,0.957894736842
roe,10,0.0114155251142,0.419147233015,-5.7220293127,-2.3519476066,3.23475888043e+72,368.2,0.911111111111
parmesan,0,0.0,0.0,0,0,3.0046544002e+37,0.0,0.0
barbecue,47,0.0536529680365,0.452911138506,-4.05887690805,-1.77346414475,4.64322676498e+73,246.042553191,0.785383903793
poppy_seed,9,0.0102739726027,0.432237717169,-6.86280071834,-2.41633135667,2.40481578963e+72,324.888888889,0.916666666667
fish_steak,37,0.0422374429224,0.452626288734,-5.94240829892,-1.76987323768,4.72059011035e+73,338.297297297,0.965465465465
hominy_grits,8,0.00913242009132,0.432237717169,0,-2.37299571326,2.93593049769e+72,441.0,1.0
freshwater_fish,7,0.00799086757991,0.416961644894,0,-2.41060446269,2.46902286571e+72,473.571428571,1.0
crystallized_fruit,31,0.0353881278539,0.4461722251,-4.86333140378,-1.9546754277,2.01557142258e+73,248.967741935,0.851612903226
corn cob,19,0.0216894977169,0.438292204072,-7.03111794273,-2.05796826863,1.25257770011e+73,351.526315789,0.982456140351
grape,81,0.0924657534247,0.473470920452,-3.75023525437,-1.5558329094,1.26497751286e+74,234.432098765,0.657407407407
crappie,5,0.00570776255708,0.422097242866,0,-2.59739483015,1.04459749102e+72,421.4,1.0
dumpling,9,0.0102739726027,0.414559792101,0,-2.48688294163,1.73772771254e+72,254.555555556,1.0
sashimi,9,0.0102739726027,0.417930196914,0,-2.41594587067,2.40907531668e+72,324.777777778,1.0
mate,4,0.00456621004566,0.402953974853,0,-2.70682217105,6.31099775256e+71,381.0,1.0
couscous,28,0.0319634703196,0.444244320424,-5.86418828947,-1.93009214277,2.25715303582e+73,300.75,0.912698412698
black_olive,155,0.176940639269,0.499774860477,-3.22715546585,-1.29007476882,4.30132393935e+74,213.309677419,0.623544197738
pickle_relish,14,0.0159817351598,0.416238171826,-6.16277692487,-2.30249191231,4.06223141988e+72,241.357142857,0.879120879121
pork_belly,43,0.0490867579909,0.454054131916,-5.25580020306,-1.74657982854,5.25514605141e+73,300.395348837,0.887043189369
ingredient,352,0.401826484018,0.582261973371,-1.94696078791,-1.06268993981,1.22568041827e+75,148.235795455,0.33377039627
jerk,19,0.0216894977169,0.439630909644,0,-2.0610461479,1.23495042648e+73,347.736842105,1.0
lima_bean,89,0.101598173516,0.471609304775,-3.89897837499,-1.498568999,1.64668578662e+74,240.505617978,0.718335035751
jack,0,0.0,0.0,0,0,1.0,0.0,0.0
kidney_bean,97,0.110730593607,0.47914500605,-3.67844992144,-1.44972944157,2.06200362023e+74,247.969072165,0.737972508591
quince,67,0.0764840182648,0.468234091794,-4.20089720349,-1.57901120258,1.13690692711e+74,273.014925373,0.831750339213
sorrel,27,0.0308219178082,0.443970264705,-5.88485254224,-1.9282287923,2.27659485514e+73,319.555555556,0.928774928775
bologna_sausages,0,0.0,0.0,0,0,1.0,0.0,0.0
margarita,2,0.00228310502283,0.387130607362,0,-3.02847133239,1.43482705292e+71,376.5,1.0
red_snapper,121,0.138127853881,0.486925439166,-3.91654928999,-1.36264335328,3.07938018063e+74,237.834710744,0.723553719008
nectar,17,0.0194063926941,0.408906704027,-5.64497257962,-2.28859388218,4.33076696062e+72,198.882352941,0.75
round_steak,53,0.060502283105,0.46221952414,-5.00896774041,-1.64646170623,8.33337712227e+73,306.396226415,0.895500725689
asparagus,87,0.0993150684932,0.474720184094,-4.39064690888,-1.4730518979,1.85201405808e+74,263.011494253,0.809141940658
edam,0,0.0,0.0,0,0,1.0,0.0,0.0
vegetable_oil,262,0.299086757991,0.541516778846,-2.30045273144,-1.1343435219,8.81186951072e+74,173.171755725,0.441812172794
mandarin_orange,10,0.0114155251142,0.426095795788,-6.55331389698,-2.43108986748,2.24680892574e+72,276.6,0.888888888889
smoked_haddock,9,0.0102739726027,0.410773857926,0,-2.39156934772,2.69527766913e+72,334.555555556,1.0
prosciutto,47,0.0536529680365,0.451490463668,-4.28181328204,-1.75733570823,5.00121546631e+73,257.617021277,0.761332099907
triple_sec,0,0.0,0.0,0,0,1.0,0.0,0.0
quahog,5,0.00570776255708,0.419147233015,0,-2.60806319159,9.94513997871e+71,415.2,1.0
dubonnet,0,0.0,0.0,0,0,1.0,0.0,0.0
round,18,0.0205479452055,0.436167150962,0,-2.09469809105,1.05766288701e+73,327.944444444,1.0
orzo,42,0.0479452054795,0.45549101208,-4.77706218285,-1.79573151663,4.19066584287e+73,271.904761905,0.808362369338
pork,307,0.350456621005,0.560495170628,-2.28448397837,-1.1012199584,1.02640022943e+75,156.599348534,0.371505822742
sultana,24,0.027397260274,0.429913858475,-4.99076422599,-2.06767185648,1.19784685785e+73,259.125,0.826086956522
taro_root,35,0.0399543378995,0.444244320424,-4.89235345531,-1.87869387184,2.85993796552e+73,276.771428571,0.8
lemon_curd,7,0.00799086757991,0.38754754932,0,-2.63436494061,8.81093016944e+71,220.571428571,1.0
tea,17,0.0194063926941,0.415517205015,-3.60939427197,-2.30023817392,4.1046322794e+72,202.0,0.683823529412
almond,305,0.348173515982,0.560932033583,-2.34106878325,-1.09390198042,1.06157830999e+75,161.491803279,0.391954270923
bacon,271,0.309360730594,0.543972637254,-2.60999809389,-1.12639930016,9.14023254756e+74,168.752767528,0.428590952576
sirloin_tip,39,0.0445205479452,0.449235829642,-5.71680447577,-1.77872225219,4.53210766901e+73,304.564102564,0.948717948718
millet,5,0.00570776255708,0.337875962013,0,-3.32353368031,3.6871236081e+70,60.2,1.0
currant,93,0.106164383562,0.477555274776,-3.76489337877,-1.4642210991,1.92888482713e+74,249.817204301,0.741234221599
marinade,10,0.0114155251142,0.418903259073,0,-2.32468726146,3.66747615626e+72,352.1,1.0
spaghetti,30,0.0342465753425,0.433800963886,-4.41870914352,-1.90199641932,2.56892252691e+73,303.366666667,0.885057471264
almond_extract,70,0.0799086757991,0.469149803838,-4.08341891551,-1.61181921184,9.77485777108e+73,240.242857143,0.743685300207
powdered_sugar,49,0.0559360730594,0.450360324835,-4.47172432213,-1.82020234145,3.74410064776e+73,203.959183673,0.71343537415
red_onion,352,0.401826484018,0.58132132398,-2.06538626804,-1.05950753146,1.24377726012e+75,148.338068182,0.337056462056
guava,77,0.087899543379,0.470992015109,-3.68966784392,-1.58344256493,1.11394510044e+74,232.051948052,0.671907040328
ground_beef,175,0.199771689498,0.507528772276,-3.0317154851,-1.23946913893,5.43017416066e+74,211.08,0.617208538588
tarragon,169,0.192922374429,0.505390308347,-2.9784710746,-1.27197379109,4.6752438771e+74,204.467455621,0.572414764722
potato_chip,72,0.0821917808219,0.468844168786,-4.18772385395,-1.56960727336,1.18722631633e+74,256.263888889,0.783646322379
soy_sauce,202,0.230593607306,0.518125125332,-2.67695440099,-1.22662370422,5.76110076555e+74,187.391089109,0.492783606719
mustard_greens,169,0.192922374429,0.505035648482,-3.09358506215,-1.26443019091,4.84051434371e+74,207.715976331,0.586503240349
espresso,54,0.0616438356164,0.46221952414,-4.21906657528,-1.75118184382,5.14499373242e+73,231.555555556,0.727463312369
fillet,140,0.159817351598,0.494282829043,-3.51133686905,-1.32321952278,3.69242573355e+74,222.814285714,0.651695786228
chocolate_cake,6,0.00684931506849,0.370584860498,0,-2.76825504511,4.75600824899e+71,188.833333333,1.0
dill_weed,81,0.0924657534247,0.472538279111,-3.64988151747,-1.53831344475,1.37126535166e+74,243.148148148,0.711419753086
applesauce,22,0.0251141552511,0.438292204072,-6.16070625122,-2.04933942171,1.3033752002e+73,281.636363636,0.935064935065
lemon_balm,13,0.0148401826484,0.432237717169,-6.98183989329,-2.25163602532,5.13419177824e+72,324.0,0.961538461538
galangal,23,0.0262557077626,0.430170830297,-6.10020952513,-2.09800358281,1.04169870022e+73,234.608695652,0.940711462451
cranberry_sauce,7,0.00799086757991,0.404085232502,-6.76304363362,-2.57266669189,1.17061296194e+72,268.0,0.857142857143
celery_salt,25,0.0285388127854,0.441518895145,-5.56274636488,-2.03272265471,1.40702011454e+73,269.36,0.866666666667
celery_seed,55,0.0627853881279,0.460739948199,-4.04839958089,-1.6992816961,6.53405928733e+73,256.745454545,0.731986531987
grapefruit_juice,41,0.046803652968,0.453767843056,-4.96490426074,-1.80769286054,3.96607981501e+73,267.609756098,0.80243902439
toast,6,0.00684931506849,0.389013945452,0,-2.61224218543,9.75581444418e+71,274.333333333,1.0
plain_flour,53,0.060502283105,0.463410044486,-3.73877988654,-1.74625013148,5.26317291776e+73,236.603773585,0.687953555878
yautia,35,0.0399543378995,0.43802544071,-5.29317495575,-1.8449158777,3.34127859085e+73,291.571428571,0.889075630252
yellow_bean,21,0.0239726027397,0.439899632694,-6.9198640261,-1.9998030269,1.63732245387e+73,367.571428571,0.980952380952
