node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,4,0.00456621004566,0.400710355839,0,-2.71931840394,4.85628948761e+71,365.0,1.0
pheasant,33,0.0376712328767,0.452341797038,-5.84534176592,-1.85335308838,2.6196144362e+73,306.212121212,0.910984848485
sauvignon_blanc,0,0.0,0.0,0,0,5.91666096924e+46,0.0,0.0
sunflower_oil,36,0.041095890411,0.453481914989,-3.99488667502,-1.8939713487,2.17270447414e+73,259.555555556,0.684126984127
mackerel,49,0.0559360730594,0.459563090094,-5.25653348853,-1.68287626285,5.74369159518e+73,301.714285714,0.894557823129
ale,20,0.0228310502283,0.431719135625,-6.37440654314,-2.07891454841,9.27073776768e+72,299.05,0.942105263158
roe,10,0.0114155251142,0.419147233015,-5.71134318836,-2.35585792302,2.58951444956e+72,366.6,0.777777777778
parmesan,0,0.0,0.0,0,0,2.44903107867e+37,0.0,0.0
barbecue,47,0.0536529680365,0.452911138506,-4.05876002646,-1.77339212727,3.78584665773e+73,245.787234043,0.782608695652
poppy_seed,9,0.0102739726027,0.432237717169,-6.80926615127,-2.41809167297,1.94428301138e+72,324.0,0.888888888889
fish_steak,37,0.0422374429224,0.452626288734,-5.90286616236,-1.77038808988,3.83853058997e+73,337.756756757,0.95045045045
hominy_grits,8,0.00913242009132,0.432237717169,-7.14017683205,-2.37709680596,2.3482296586e+72,439.0,0.785714285714
freshwater_fish,7,0.00799086757991,0.416961644894,-7.33765440813,-2.41518529496,1.97042536154e+72,471.285714286,0.714285714286
crystallized_fruit,31,0.0353881278539,0.4461722251,-4.86333140378,-1.95407082657,1.6474288412e+73,248.838709677,0.851612903226
corn cob,19,0.0216894977169,0.438292204072,-6.78561906595,-2.05939714066,1.01424990974e+73,350.684210526,0.947368421053
grape,81,0.0924657534247,0.473470920452,-3.74833729061,-1.55577146499,1.03134704372e+74,234.185185185,0.654320987654
crappie,5,0.00570776255708,0.422097242866,-7.41149083559,-2.60284783062,8.30309061951e+71,419.0,0.7
dumpling,9,0.0102739726027,0.414559792101,0,-2.48751335809,1.41227666471e+72,254.111111111,1.0
sashimi,9,0.0102739726027,0.417930196914,-8.07966902369,-2.41774045109,1.94741848993e+72,323.888888889,0.972222222222
mate,4,0.00456621004566,0.402953974853,0,-2.70850969144,5.10412222714e+71,380.0,1.0
