field,count
,108
A_Little_Taste_of_Morocco,99
A_Month_in_Marrakesh:_A_Food_Journey_to_the_Heart_of_Morocco,145
A_Taste_of_Morocco:_Cuisine_and_Culture,82
A_Taste_of_Morocco:_From_Harira_Soup_to_Chicken_Kdra,34
Casa_Moro:_The_Second_Cookbook,204
Cooking_at_the_Kasbah:_Recipes_from_My_Moroccan_Kitchen,69
Couscous_and_Other_Good_Food_from_Morocco,179
Culinary_Adventures_in_Marrakech,45
Feast_Bazaar:_India__Morocco__Syria,95
Flavors_of_Morocco:_Delicious_Recipes_from_North_Africa,75
Made_in_Morocco:_A_Journey_of_Exotic_Tastes_Places,67
Make_it_Moroccan:_Modern_Cuisine_from_the_Place_where_the_Sun_Sets,86
Modern_Moroccan:_Ancient_Traditions__Contemporary_Cooking,75
Moroccan,85
Moroccan_Modern,122
Morocco:_A_Culinary_Journey_with_Recipes_from_the_Spice-Scented_Markets_of_Marrakech_to_the_Date-Filled_Oasis_of_Zagora,80
Mourad:_New_Moroccan:_The_Cookbook,162
Step-by-Step_Moroccan_Cooking,30
Tagine:_Spicy_Stews_from_Morocco,32
Tagines_Couscous:_Delicious_Recipes_for_Moroccan_One-Pot_Cooking,56
The_Food_of_Morocco,208
The_Food_of_Morocco:_A_Journey_for_Food_Lovers,122
The_Moroccan_Collection:_Traditional_Flavours_from_Northern_Africa,124
