node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
sunflower_oil,57,0.122317596567,0.529545454545,-2.9389362806,-1.41289619381,1.73871071264e+46,149.526315789,0.672305764411
mackerel,18,0.0386266094421,0.491043203372,-4.86622509353,-1.79324886324,3.01655200915e+45,220.222222222,0.915032679739
Brussels_sprouts,13,0.0278969957082,0.476482617587,0,-2.00119799602,1.1577695058e+45,169.076923077,1.0
poppy_seed,27,0.0579399141631,0.505971769815,-4.8608635169,-1.63867322827,6.14702569993e+45,202.592592593,0.891737891738
mascarpone,39,0.0836909871245,0.513215859031,-3.36053624261,-1.63864278777,6.14800324902e+45,131.051282051,0.59649122807
milk,162,0.347639484979,0.604409857328,-1.99358795811,-1.05213517576,9.15703671747e+46,111.580246914,0.441837282417
honeydew_melon,2,0.00429184549356,0.40769903762,0,-2.77353016571,3.30337214491e+43,188.5,1.0
grape,46,0.0987124463519,0.519509476031,-4.04233543811,-1.47556132749,1.30285055332e+46,163.434782609,0.768115942029
peanut,2,0.00429184549356,0.395921835174,0,-2.79728594278,2.96108114533e+43,170.5,1.0
melon,5,0.0107296137339,0.438381937912,0,-2.57311737139,8.31356748677e+43,122.8,1.0
black_olive,101,0.216738197425,0.559423769508,-2.85262683937,-1.20748515254,4.47767908098e+46,128.475247525,0.56396039604
ingredient,132,0.283261802575,0.5825,-2.16119177296,-1.13550348759,6.23761426697e+46,113.727272727,0.453388850335
lima_bean,32,0.068669527897,0.509846827133,-5.17989304241,-1.56451356999,8.64939206519e+45,199.53125,0.925403225806
castor_sugar,173,0.371244635193,0.613157894737,-1.73586586631,-1.08172129074,7.99066831751e+46,97.9768786127,0.341376529103
kidney_bean,11,0.0236051502146,0.478439425051,0,-1.94941463831,1.46952230058e+45,258.454545455,1.0
truffle,17,0.0364806866953,0.488469601677,-5.40312694911,-1.86529076461,2.16486553767e+45,188.941176471,0.926470588235
asparagus,28,0.0600858369099,0.502155172414,-3.77795592932,-1.68788200848,4.90065485997e+45,163.392857143,0.81746031746
egg_noodle,16,0.0343347639485,0.489495798319,0,-1.86286216665,2.18922315871e+45,196.8125,1.0
gum,68,0.145922746781,0.532571428571,-3.48665973586,-1.32602809379,2.59396537973e+46,149.676470588,0.718612818262
haricot,16,0.0343347639485,0.490526315789,-4.58766804279,-1.85976630353,2.22062269608e+45,217.875,0.908333333333
beet_green,21,0.0450643776824,0.48643006263,0,-1.79277505772,3.02318699235e+45,175.619047619,1.0
dessert_wine,8,0.0171673819742,0.465069860279,0,-2.34038624455,2.42799146642e+44,134.75,1.0
pork,12,0.0257510729614,0.477948717949,-5.52260935198,-2.01196031728,1.10177427951e+45,188.833333333,0.893939393939
sultana,49,0.105150214592,0.524774774775,-4.41371322938,-1.41924229682,1.68862251585e+46,174.979591837,0.860544217687
tomato_sauce,27,0.0579399141631,0.504329004329,-4.52963888346,-1.67554269077,5.18713785857e+45,183.37037037,0.849002849003
almond,223,0.478540772532,0.656338028169,-1.63231967401,-0.985429171137,1.24500524331e+47,90.9282511211,0.306023512302
currant,35,0.0751072961373,0.508178844057,-4.75655401091,-1.53945870506,9.70728066889e+45,187.142857143,0.902521008403
almond_extract,30,0.0643776824034,0.493121693122,-3.49453493189,-1.75412893236,3.61215321694e+45,124.833333333,0.673563218391
red_onion,221,0.474248927039,0.655414908579,-1.95297255522,-0.962495887318,1.38368908e+47,95.9547511312,0.343274372686
fish_steak,9,0.019313304721,0.466,0,-2.07161905853,8.37085215335e+44,235.0,1.0
ground_beef,66,0.141630901288,0.535632183908,-3.58130114073,-1.32873449384,2.56182856537e+46,155.075757576,0.732400932401
tarragon,79,0.169527896996,0.542491268917,-3.29023114466,-1.29989415634,2.92572788205e+46,134.291139241,0.620253164557
soy_sauce,29,0.0622317596567,0.496272630458,-4.85608406515,-1.63800830889,6.16593085054e+45,180.206896552,0.906403940887
fillet,100,0.214592274678,0.558752997602,-3.05119917591,-1.18916896129,4.87175000515e+46,135.53,0.624242424242
string_bean,16,0.0343347639485,0.490010515247,0,-1.84737689351,2.35102873286e+45,210.75,1.0
galangal,18,0.0386266094421,0.482401656315,-5.57862802325,-1.84370764389,2.39111350134e+45,179.777777778,0.967320261438
celery_salt,6,0.0128755364807,0.450241545894,0,-2.36028838243,2.21532361279e+44,171.166666667,1.0
plain_flour,78,0.167381974249,0.544392523364,-3.03467217396,-1.28688140668,3.10640065746e+46,143.205128205,0.638694638695
curry,56,0.12017167382,0.523595505618,-3.81307330295,-1.40431509028,1.80879604135e+46,151.553571429,0.748051948052
leg,56,0.12017167382,0.529545454545,-4.25570335112,-1.35323299378,2.28849911015e+46,177.375,0.853246753247
herb,14,0.0300429184549,0.468341708543,-4.13221794988,-2.08532858736,7.85894520045e+44,126.285714286,0.648351648352
semolina,83,0.178111587983,0.544392523364,-3.0334558414,-1.26196200479,3.48414959401e+46,141.469879518,0.64119894211
dandelion_green,5,0.0107296137339,0.406986899563,0,-2.65033341996,5.82587937984e+43,91.8,1.0
water,173,0.371244635193,0.613965744401,-1.88128350254,-1.06329125969,8.69850044002e+46,100.815028902,0.367993009813
chicken leg,51,0.109442060086,0.523595505618,-3.92493440431,-1.40214401671,1.82696016389e+46,172.882352941,0.818823529412
mozzarella,22,0.0472103004292,0.494167550371,-4.74298816675,-1.81622267599,2.71377583557e+45,153.636363636,0.770562770563
vinegar,170,0.364806866953,0.609947643979,-2.19348693923,-1.05030111038,9.23474726878e+46,104.770588235,0.40243647755
maple_syrup,16,0.0343347639485,0.474541751527,-4.23249808363,-2.07113158727,8.38993288733e+44,119.1875,0.783333333333
