field,count
Appetizers_/_starters,14
Bangladeshi,4
Beverages_/_drinks_(no-alcohol),5
Bread_&_rolls__savory,3
Breakfast_/_brunch,2
British,1
Canapés_/_hors_d'oeuvre,9
Chinese,1
Chutneys__pickles_&_relishes,17
Cooking_for_1_or_2,1
Curry,28
Dessert,9
Dips__spreads_&_salsas,2
Egg_dishes,5
English,3
Fried_doughs,3
Grills_&_BBQ,3
Indian,187
Main_course,77
Mousses__trifles__custards_&_creams,9
Pakistani,8
Pancakes__waffles_&_crêpes,1
Pasta__doughs_&_sauces,2
Persian,1
Rice_dishes,18
Salads,4
Sandwiches_&_burgers,1
Sauces_for_desserts,1
Sauces__general,3
Side_dish,64
Soups,10
Spice_/_herb_blends_&_rubs,3
Sri_Lankan,11
Stews_&_one-pot_meals,3
Stir-fries,9
Vegan,75
Vegetarian,108
