ingredient,degree,lcc
Brussels_sprouts,7,0.75
Spanish_mackerel,9,0.733333333333
Swiss_chard,10,0.727272727273
Tabasco_sauce,8,0.777777777778
almond,18,0.684210526316
apple,5,0.666666666667
banana,3,0.5
bay_leaf,24,0.713333333333
beef,15,0.808333333333
beef_stock,17,0.751633986928
black-eyed_pea,9,0.8
black_bean,8,0.694444444444
black_mustard,13,0.813186813187
black_tea,5,0.666666666667
bread,3,0.5
broccoli,3,0.5
brown_rice,6,0.714285714286
bulghur,5,0.666666666667
butternut_squash,14,0.809523809524
cardamom,55,0.381168831169
carrot,34,0.6
cashew,2,0.333333333333
cauliflower,18,0.777777777778
chapati,3,0.5
cheese,3,0.5
cherry tomato,28,0.630541871921
chicken,33,0.643493761141
chicken leg,12,0.782051282051
chicken_stock,40,0.541463414634
chickpea,27,0.706349206349
chile,76,0.302460697198
cider_vinegar,18,0.74269005848
cinnamon,54,0.426936026936
clove,42,0.52380952381
coconut,19,0.736842105263
coconut_milk,37,0.580369843528
cod,10,0.818181818182
collard_greens,2,0.333333333333
condensed_milk,4,0.4
coriander_seed,84,0.272549019608
corn,13,0.835164835165
cucumber,12,0.717948717949
cumin_seed,99,0.222828282828
curry,58,0.407948568089
curry_powder,21,0.722943722944
dill,3,0.5
dried_apricot,9,0.755555555556
dry_mustard,14,0.761904761905
duck,4,0.6
egg,21,0.675324675325
eggplant,19,0.663157894737
fennel_seed,54,0.421548821549
fenugreek_seed,25,0.713846153846
fish,10,0.818181818182
fish fillet,7,0.75
fish_steak,9,0.711111111111
flounder,6,0.714285714286
flour,32,0.507575757576
garlic,33,0.606060606061
ghee,17,0.673202614379
ginger,86,0.25715049452
grain,15,0.758333333333
green,39,0.476923076923
green_bean,29,0.6
halibut,5,0.666666666667
heavy_cream,27,0.671957671958
lamb,27,0.732804232804
lamb_chop,2,0.333333333333
leg,6,0.666666666667
lemon,13,0.857142857143
lemongrass,8,0.777777777778
lentil,21,0.770562770563
lime,15,0.708333333333
liver,7,0.75
mango,2,0.333333333333
milk,20,0.257142857143
mint,33,0.450980392157
mix,3,0.5
mushroom,19,0.842105263158
mussel,11,0.833333333333
mustard oil,19,0.705263157895
mustard_greens,63,0.386904761905
mustard_seed,73,0.324694557571
noodle,7,0.75
nutmeg,8,0.722222222222
oil,7,0.75
okra,18,0.766081871345
olive_oil,9,0.555555555556
onion,60,0.409836065574
oyster mushroom,10,0.818181818182
paprika,34,0.557983193277
pasta,2,0.333333333333
paste,8,0.777777777778
pea,31,0.568548387097
peach,3,0.5
peanut_butter,5,0.666666666667
peanut_oil,4,0.6
peppercorn,60,0.392896174863
pineapple,13,0.791208791209
pistachio_nut,7,0.642857142857
popcorn,8,0.777777777778
pork,15,0.775
potato,35,0.650793650794
quail,6,0.714285714286
radish,1,0.0
raisin,13,0.615384615385
red_onion,30,0.698924731183
red_pepper,110,0.187551187551
red_wine,3,0.5
rice,37,0.486486486486
saffron,29,0.544827586207
salmon,13,0.824175824176
salt,2,0.333333333333
sea_bass,6,0.714285714286
semolina,8,0.777777777778
sesame_seed,16,0.683823529412
shallot,40,0.432926829268
shrimp,21,0.748917748918
soy_sauce,8,0.777777777778
spice,3,0.5
spinach,19,0.8
split,7,0.642857142857
squid,12,0.769230769231
striped_bass,5,0.666666666667
sugar,21,0.645021645022
swordfish,8,0.777777777778
tamarind,7,0.75
tapioca,5,0.666666666667
tea,3,0.5
thyme,10,0.563636363636
tomato,62,0.387096774194
tomato_juice,8,0.777777777778
tomato_paste,14,0.657142857143
turkey,11,0.787878787879
turmeric,75,0.309824561404
vegetable,1,0.0
white_rice,7,0.75
whitebait,2,0.333333333333
wine_vinegar,3,0.5
yellow_squash,4,0.6
yogurt,69,0.332919254658
zucchini,13,0.747252747253
