node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
peanut_oil,4,0.0283687943262,0.479591836735,0,-1.69214422047,6.73055061578e+12,81.75,1.0
fennel_seed,54,0.382978723404,0.61038961039,-1.88373044352,-0.805839157946,3.98722343362e+14,35.7777777778,0.437456324249
coriander_seed,84,0.595744680851,0.701492537313,-1.1642619345,-0.698667388977,6.53154468891e+14,28.1666666667,0.279116465863
cider_vinegar,18,0.127659574468,0.512727272727,-3.66852699327,-1.1355937079,8.73285424352e+13,56.2777777778,0.830065359477
cherry tomato,28,0.198581560284,0.544401544402,-2.60397904138,-1.00715235551,1.57775848189e+14,47.5,0.677248677249
saffron,29,0.205673758865,0.552941176471,-1.97314743262,-1.05976673217,1.23826214848e+14,40.8275862069,0.583743842365
chicken,33,0.234042553191,0.557312252964,-2.73426659793,-0.923454265404,2.31972773931e+14,47.8484848485,0.683712121212
fish_steak,9,0.063829787234,0.494736842105,-3.99328434723,-1.41396807884,2.42329138738e+13,63.2222222222,0.888888888889
milk,20,0.141843971631,0.491289198606,-1.30593064844,-1.4725734315,1.85013009767e+13,22.35,0.284210526316
sugar,21,0.148936170213,0.536121673004,-2.40671571152,-1.11848768903,9.44862223266e+13,51.0,0.709523809524
tomato_paste,14,0.0992907801418,0.503571428571,-3.47030536244,-1.28430481606,4.40284930805e+13,52.4285714286,0.758241758242
tomato_juice,8,0.0567375886525,0.493006993007,0,-1.4875797916,1.72655825273e+13,63.5,1.0
ghee,17,0.120567375887,0.516483516484,-3.02110132318,-1.26888268025,4.72693690071e+13,44.2352941176,0.757352941176
rice,37,0.262411347518,0.573170731707,-1.79444193035,-0.942794946867,2.1220491425e+14,41.7297297297,0.513513513514
split,7,0.0496453900709,0.465346534653,-4.52755434937,-1.50519815436,1.59200474024e+13,65.0,0.857142857143
pistachio_nut,7,0.0496453900709,0.41348973607,-3.93659080835,-1.86866211883,2.98556913313e+12,25.7142857143,0.857142857143
flour,32,0.22695035461,0.564,-1.71166611323,-1.00051775159,1.62670788799e+14,42.1875,0.540322580645
fenugreek_seed,25,0.177304964539,0.532075471698,-3.13635091898,-1.01862660184,1.49654943505e+14,52.24,0.773333333333
swordfish,8,0.0567375886525,0.476351351351,0,-1.42684072982,2.28381077935e+13,66.5,1.0
black_tea,5,0.0354609929078,0.449044585987,0,-1.7454595011,5.26533790743e+12,51.4,1.0
peanut_butter,5,0.0354609929078,0.473154362416,0,-1.67985519847,7.1224839167e+12,63.8,1.0
