field,count
Afternoon_tea,17
Algerian,4
Appetizers_/_starters,23
Baked_&_steamed_desserts,1
Belgian,21
Beverages_/_drinks_(no-alcohol),3
Bread_&_buns__sweet,1
Bread_&_rolls__savory,1
Breakfast_/_brunch,5
Bulgarian,13
Cakes__large,11
Canapés_/_hors_d'oeuvre,8
Candy_/_sweets,2
Christmas,4
Chutneys__pickles_&_relishes,7
Cocktails_/_drinks_(with_alcohol),3
Cookies__biscuits_&_crackers,7
Cooking_for_1_or_2,1
Cooking_for_a_crowd,1
Dessert,33
Dips__spreads_&_salsas,3
Dressings_&_marinades,2
Dutch,13
Easter,1
Egg_dishes,3
Fried_doughs,8
Frostings_&_fillings,1
Grills_&_BBQ,2
Jams__jellies_&_preserves,2
Jewish,2
Lunch,4
Luxembourgish,1
Main_course,68
Moroccan,17
Mousses__trifles__custards_&_creams,2
Pancakes__waffles_&_crêpes,7
Pasta__doughs_&_sauces,2
Picnics_&_outdoors,2
Pies__tarts_&_pastries,15
Polish,76
Rice_dishes,1
Romanian,15
Russian,2
Salads,12
Sandwiches_&_burgers,1
Sauces__general,1
Side_dish,22
Small_plates_-_tapas__meze,2
Snacks,2
Soups,19
Spice_/_herb_blends_&_rubs,1
Stews_&_one-pot_meals,18
Summer,52
Swiss,20
Tunisian,20
Vegan,19
Vegetarian,48
